// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:31:00.10,228,-253,-2031,15,2,-4,-283,-50,-233,166
,2,2023-10-27 12:31:00.11,218,-253,-2032,14,10,-5,-324,68,-392,128
,3,2023-10-27 12:31:00.12,230,-259,-2034,15,7,-5,-283,-50,-233,166
,4,2023-10-27 12:31:00.13,234,-265,-2023,10,9,-9,-334,67,-401,133
,5,2023-10-27 12:31:00.14,238,-261,-2031,8,11,-10,-281,-46,-235,163
,6,2023-10-27 12:31:00.15,226,-252,-2031,9,20,-8,-331,58,-389,136
,7,2023-10-27 12:31:00.16,227,-262,-2025,2,14,-13,-277,-50,-227,163
,8,2023-10-27 12:31:00.17,234,-263,-2031,3,19,-7,-323,54,-377,134
,9,2023-10-27 12:31:00.18,234,-259,-2030,-1,18,-11,-259,-52,-207,155
,10,2023-10-27 12:31:00.19,242,-252,-2033,-2,22,-13,-320,64,-384,128
,11,2023-10-27 12:31:00.20,231,-259,-2035,-1,22,-13,-262,-43,-219,152
,12,2023-10-27 12:31:00.21,241,-253,-2037,-2,20,-16,-335,66,-401,134
,13,2023-10-27 12:31:00.22,230,-257,-2041,0,24,-13,-265,-32,-233,148
,14,2023-10-27 12:31:00.23,233,-260,-2041,1,16,-15,-352,54,-406,149
,15,2023-10-27 12:31:00.24,240,-257,-2041,0,17,-16,-268,-37,-231,152
,16,2023-10-27 12:31:00.25,235,-256,-2042,-1,11,-14,-336,68,-404,134
,17,2023-10-27 12:31:00.26,225,-252,-2040,-3,7,-18,-252,-31,-221,141
,18,2023-10-27 12:31:00.27,239,-265,-2041,0,11,-13,-335,63,-398,136
,19,2023-10-27 12:31:00.28,240,-261,-2038,-1,0,-13,-246,-27,-219,136
,20,2023-10-27 12:31:00.29,229,-261,-2041,-1,1,-13,-333,57,-390,138
,21,2023-10-27 12:31:00.30,238,-267,-2038,-1,2,-6,-243,-35,-208,139
,22,2023-10-27 12:31:00.31,231,-262,-2036,3,1,-5,-351,53,-404,149
,23,2023-10-27 12:31:00.32,232,-258,-2032,3,6,0,-255,-29,-226,142
,24,2023-10-27 12:31:00.33,236,-257,-2036,4,3,-2,-350,58,-408,146
,25,2023-10-27 12:31:00.34,239,-260,-2034,5,9,4,-242,-21,-221,131
,26,2023-10-27 12:31:00.35,245,-260,-2037,11,-3,4,-346,56,-402,145
,27,2023-10-27 12:31:00.36,236,-259,-2035,10,7,9,-243,-28,-215,135
,28,2023-10-27 12:31:00.37,236,-258,-2035,10,4,10,-362,47,-409,157
,29,2023-10-27 12:31:00.38,229,-256,-2037,9,-9,7,-248,-17,-231,132
,30,2023-10-27 12:31:00.39,230,-265,-2036,11,1,14,-362,53,-415,154
,31,2023-10-27 12:31:00.40,229,-256,-2029,12,-2,13,-239,-12,-227,125
,32,2023-10-27 12:31:00.41,224,-252,-2036,10,1,14,-356,62,-418,147
,33,2023-10-27 12:31:00.42,242,-258,-2043,14,-5,13,-234,-5,-229,119
,34,2023-10-27 12:31:00.43,232,-256,-2045,10,-1,11,-358,50,-408,154
,35,2023-10-27 12:31:00.44,236,-258,-2032,10,7,16,-229,-7,-222,118
,36,2023-10-27 12:31:00.45,221,-262,-2035,10,-6,13,-356,46,-402,155
,37,2023-10-27 12:31:00.46,233,-257,-2042,12,3,14,-222,-9,-213,115
