// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:43:25.66,-123,165,-2048,36,-42,143,308,131,177,-219
,2,2023-10-27 11:43:25.67,-119,167,-2053,48,-36,145,250,108,142,-179
,3,2023-10-27 11:43:25.68,-121,160,-2046,43,-43,146,316,139,177,-227
,4,2023-10-27 11:43:25.69,-123,159,-2052,46,-48,145,254,113,141,-183
,5,2023-10-27 11:43:25.70,-116,172,-2049,47,-59,145,333,149,184,-241
,6,2023-10-27 11:43:25.71,-116,160,-2050,40,-59,154,259,117,142,-188
,7,2023-10-27 11:43:25.72,-114,159,-2034,37,-64,159,336,156,180,-246
,8,2023-10-27 11:43:25.73,-119,150,-2046,35,-56,174,258,112,146,-185
,9,2023-10-27 11:43:25.74,-112,129,-2045,32,-54,186,342,159,183,-250
,10,2023-10-27 11:43:25.75,-113,124,-2037,26,-63,200,260,118,142,-189
,11,2023-10-27 11:43:25.76,-101,106,-2043,21,-63,224,349,172,177,-260
,12,2023-10-27 11:43:25.77,-109,97,-2069,15,-69,251,257,123,134,-190
,13,2023-10-27 11:43:25.78,-106,87,-2056,21,-87,271,355,178,177,-266
,14,2023-10-27 11:43:25.79,-100,76,-2040,23,-74,305,257,121,136,-189
,15,2023-10-27 11:43:25.80,-94,71,-2049,19,-67,329,360,185,175,-272
,16,2023-10-27 11:43:25.81,-88,76,-2048,30,-70,349,267,131,136,-199
,17,2023-10-27 11:43:25.82,-96,83,-2046,37,-68,371,374,199,175,-286
,18,2023-10-27 11:43:25.83,-84,97,-2044,49,-67,391,268,134,134,-201
,19,2023-10-27 11:43:25.84,-109,90,-2035,60,-49,412,381,212,169,-296
,20,2023-10-27 11:43:25.85,-123,95,-2023,64,-33,434,270,143,127,-206
,21,2023-10-27 11:43:25.86,-117,113,-2029,56,-25,449,388,225,163,-306
,22,2023-10-27 11:43:25.87,-121,121,-2037,44,-10,462,266,137,129,-201
,23,2023-10-27 11:43:25.88,-105,122,-2028,34,-4,473,374,203,171,-288
,24,2023-10-27 11:43:25.89,-119,118,-2030,34,15,480,260,113,147,-186
,25,2023-10-27 11:43:25.90,-118,97,-2054,33,35,494,386,195,191,-290
,26,2023-10-27 11:43:25.91,-116,85,-2050,39,38,509,264,115,149,-189
,27,2023-10-27 11:43:25.92,-128,78,-2042,45,36,533,383,192,191,-287
,28,2023-10-27 11:43:25.93,-115,54,-2051,56,43,562,250,100,150,-175
,29,2023-10-27 11:43:25.94,-103,39,-2019,64,51,601,372,172,200,-272
,30,2023-10-27 11:43:25.95,-107,39,-2006,77,72,636,247,87,160,-167
,31,2023-10-27 11:43:25.96,-112,55,-2018,91,78,655,390,182,208,-286
,32,2023-10-27 11:43:25.97,-120,88,-2033,107,71,667,256,89,167,-172
,33,2023-10-27 11:43:25.98,-112,138,-2027,130,39,663,395,182,213,-288
,34,2023-10-27 11:43:25.99,-94,160,-2008,135,20,671,252,83,169,-167
,35,2023-10-27 11:43:26.00,-101,167,-2011,120,36,686,386,175,211,-280
,36,2023-10-27 11:43:26.01,-119,185,-2043,95,59,682,238,72,166,-155
,37,2023-10-27 11:43:26.02,-124,186,-2041,75,73,682,389,175,214,-282
,38,2023-10-27 11:43:26.03,-120,139,-2036,48,77,696,241,71,170,-156
,39,2023-10-27 11:43:26.04,-134,126,-2041,22,96,709,371,162,209,-266
,40,2023-10-27 11:43:26.05,-98,159,-2022,-8,103,713,212,43,169,-127
,41,2023-10-27 11:43:26.06,-130,158,-2034,-20,107,714,339,125,214,-232
,42,2023-10-27 11:43:26.07,-99,154,-2035,-3,101,708,182,6,176,-94
,43,2023-10-27 11:43:26.08,-92,144,-1995,55,91,686,303,95,208,-199
,44,2023-10-27 11:43:26.09,-78,123,-1978,81,108,705,149,-12,161,-68
,45,2023-10-27 11:43:26.10,-137,145,-2063,50,104,711,288,105,183,-196
,46,2023-10-27 11:43:26.11,-94,212,-2069,0,21,706,162,17,145,-89
,47,2023-10-27 11:43:26.12,-99,241,-2056,-25,4,723,353,169,184,-261
