// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:02:17.57,-24,-79,-2057,2,1,14,-186,-376,190,281
,2,2023-10-27 12:02:17.58,-25,-85,-2051,7,8,19,-139,-316,177,227
,3,2023-10-27 12:02:17.59,-32,-81,-2059,10,3,20,-164,-354,190,259
,4,2023-10-27 12:02:17.60,-25,-75,-2046,9,8,21,-130,-306,176,218
,5,2023-10-27 12:02:17.61,-27,-79,-2057,8,12,20,-152,-337,185,244
,6,2023-10-27 12:02:17.62,-23,-82,-2054,9,7,20,-120,-291,171,205
,7,2023-10-27 12:02:17.63,-29,-77,-2046,13,13,23,-143,-324,181,233
,8,2023-10-27 12:02:17.64,-22,-78,-2051,12,9,18,-113,-285,172,199
,9,2023-10-27 12:02:17.65,-27,-80,-2056,13,9,18,-135,-316,181,225
,10,2023-10-27 12:02:17.66,-22,-81,-2056,17,13,22,-114,-285,171,199
,11,2023-10-27 12:02:17.67,-29,-80,-2055,22,5,20,-135,-314,179,224
,12,2023-10-27 12:02:17.68,-32,-82,-2045,22,6,20,-114,-285,171,199
,13,2023-10-27 12:02:17.69,-33,-86,-2054,20,6,20,-133,-309,176,221
,14,2023-10-27 12:02:17.70,-19,-87,-2052,21,9,22,-116,-289,173,202
,15,2023-10-27 12:02:17.71,-19,-91,-2057,20,11,26,-136,-312,176,224
,16,2023-10-27 12:02:17.72,-22,-92,-2056,19,8,24,-118,-294,176,206
,17,2023-10-27 12:02:17.73,-21,-94,-2053,17,9,29,-133,-313,180,223
,18,2023-10-27 12:02:17.74,-33,-87,-2051,13,9,32,-123,-298,175,210
,19,2023-10-27 12:02:17.75,-19,-89,-2055,10,13,32,-137,-316,179,226
,20,2023-10-27 12:02:17.76,-23,-84,-2064,6,11,32,-126,-304,178,215
,21,2023-10-27 12:02:17.77,-20,-84,-2068,0,13,33,-137,-318,181,227
,22,2023-10-27 12:02:17.78,-22,-87,-2064,-1,13,32,-130,-309,179,219
