// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:32:19.59,236,-182,-2046,12,14,-6,-378,-26,-352,202
,2,2023-10-27 12:32:19.60,242,-184,-2038,12,13,-6,-263,90,-353,86
,3,2023-10-27 12:32:19.61,239,-183,-2032,11,14,-8,-358,-23,-335,190
,4,2023-10-27 12:32:19.62,227,-178,-2038,10,16,-11,-252,94,-346,79
,5,2023-10-27 12:32:19.63,232,-183,-2037,9,17,-14,-355,-29,-326,192
,6,2023-10-27 12:32:19.64,231,-184,-2038,12,15,-15,-246,92,-338,77
,7,2023-10-27 12:32:19.65,234,-179,-2046,13,15,-17,-343,-34,-309,188
,8,2023-10-27 12:32:19.66,240,-190,-2052,11,14,-19,-253,93,-346,80
,9,2023-10-27 12:32:19.67,233,-185,-2043,14,13,-20,-343,-27,-316,185
,10,2023-10-27 12:32:19.68,236,-183,-2044,12,14,-21,-249,97,-346,76
,11,2023-10-27 12:32:19.69,228,-185,-2038,11,12,-23,-334,-29,-305,181
,12,2023-10-27 12:32:19.70,237,-188,-2043,8,14,-25,-261,102,-363,79
,13,2023-10-27 12:32:19.71,225,-186,-2042,6,13,-24,-348,-32,-316,190
,14,2023-10-27 12:32:19.72,239,-190,-2039,5,14,-24,-267,88,-355,89
,15,2023-10-27 12:32:19.73,234,-184,-2033,4,18,-25,-339,-42,-297,190
,16,2023-10-27 12:32:19.74,235,-184,-2027,1,18,-25,-265,88,-353,88
,17,2023-10-27 12:32:19.75,224,-189,-2031,-3,20,-31,-331,-36,-295,183
,18,2023-10-27 12:32:19.76,230,-184,-2047,-4,21,-34,-283,92,-375,95
,19,2023-10-27 12:32:19.77,234,-180,-2046,-4,25,-40,-344,-37,-307,190
,20,2023-10-27 12:32:19.78,238,-178,-2035,-7,26,-48,-298,83,-381,107
,21,2023-10-27 12:32:19.79,247,-143,-2014,-9,34,-58,-343,-47,-296,195
,22,2023-10-27 12:32:19.80,247,-180,-2028,-19,41,-69,-278,86,-364,96
,23,2023-10-27 12:32:19.81,223,-153,-2023,-31,55,-82,-314,-33,-281,173
,24,2023-10-27 12:32:19.82,225,-150,-2021,-36,67,-98,-276,99,-375,88
