// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:39:58.38,117,-79,-2049,19,-10,13,-732,-893,161,812
,2,2023-10-27 11:39:58.39,126,-85,-2047,19,-3,18,-582,-749,167,665
,3,2023-10-27 11:39:58.40,123,-91,-2060,21,-2,22,-735,-891,156,813
,4,2023-10-27 11:39:58.41,119,-80,-2056,21,-2,28,-583,-751,168,667
,5,2023-10-27 11:39:58.42,133,-71,-2042,22,4,31,-731,-888,157,809
,6,2023-10-27 11:39:58.43,140,-59,-2039,21,10,28,-580,-749,169,664
,7,2023-10-27 11:39:58.44,123,-60,-2040,14,16,22,-730,-888,158,809
,8,2023-10-27 11:39:58.45,136,-60,-2059,11,17,19,-585,-752,167,668
,9,2023-10-27 11:39:58.46,138,-71,-2072,7,14,16,-727,-884,157,805
,10,2023-10-27 11:39:58.47,127,-100,-2069,18,12,20,-581,-748,167,664
,11,2023-10-27 11:39:58.48,137,-56,-2031,36,15,18,-722,-878,156,800
,12,2023-10-27 11:39:58.49,125,-69,-2027,41,29,17,-586,-752,166,669
,13,2023-10-27 11:39:58.50,111,-67,-2074,10,22,28,-727,-883,156,805
,14,2023-10-27 11:39:58.51,113,-65,-2081,17,11,30,-594,-760,166,677
,15,2023-10-27 11:39:58.52,118,-67,-2065,36,4,32,-728,-885,157,806
,16,2023-10-27 11:39:58.53,128,-70,-2056,41,-3,36,-592,-760,168,676
,17,2023-10-27 11:39:58.54,140,-76,-2048,35,1,33,-711,-874,163,792
,18,2023-10-27 11:39:58.55,130,-70,-2046,36,5,33,-589,-759,170,674
,19,2023-10-27 11:39:58.56,131,-73,-2052,42,9,34,-713,-876,163,794
,20,2023-10-27 11:39:58.57,136,-89,-2051,55,16,34,-592,-765,173,678
,21,2023-10-27 11:39:58.58,134,-83,-2086,63,25,34,-712,-872,160,792
,22,2023-10-27 11:39:58.59,134,-88,-2048,72,22,32,-591,-762,171,676
,23,2023-10-27 11:39:58.60,137,-100,-2040,84,36,28,-705,-868,163,786
,24,2023-10-27 11:39:58.61,133,-77,-2035,96,47,28,-593,-759,166,676
,25,2023-10-27 11:39:58.62,131,-76,-2059,97,50,26,-702,-862,160,782
,26,2023-10-27 11:39:58.63,127,-91,-2056,93,48,24,-587,-760,173,673
,27,2023-10-27 11:39:58.64,120,-79,-2035,100,57,20,-686,-857,171,771
,28,2023-10-27 11:39:58.65,126,-81,-2047,105,57,23,-586,-760,174,673
,29,2023-10-27 11:39:58.66,123,-87,-2048,110,53,24,-690,-854,164,772
,30,2023-10-27 11:39:58.67,113,-73,-2050,106,52,29,-592,-762,170,677
,31,2023-10-27 11:39:58.68,113,-70,-2059,86,46,29,-681,-853,172,767
,32,2023-10-27 11:39:58.69,103,-98,-2074,53,28,38,-583,-764,181,673
,33,2023-10-27 11:39:58.70,117,-94,-2067,25,7,46,-672,-845,173,758
,34,2023-10-27 11:39:58.71,119,-85,-2064,20,3,56,-578,-759,181,668
