// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:03:51.14,50,-251,-2045,32,1,17,-102,-265,163,183
,2,2023-10-27 12:03:51.15,50,-251,-2031,31,6,16,-64,-225,161,144
,3,2023-10-27 12:03:51.16,44,-252,-2036,28,9,16,-102,-263,161,182
,4,2023-10-27 12:03:51.17,45,-257,-2039,23,15,12,-64,-225,161,144
,5,2023-10-27 12:03:51.18,43,-254,-2042,18,14,11,-104,-267,163,185
,6,2023-10-27 12:03:51.19,38,-254,-2046,18,16,16,-63,-220,157,141
,7,2023-10-27 12:03:51.20,38,-257,-2051,13,10,14,-103,-262,159,182
,8,2023-10-27 12:03:51.21,39,-250,-2055,7,11,16,-63,-218,155,140
,9,2023-10-27 12:03:51.22,57,-247,-2048,2,2,21,-109,-272,163,190
,10,2023-10-27 12:03:51.23,51,-255,-2042,2,0,19,-71,-226,155,148
,11,2023-10-27 12:03:51.24,47,-248,-2038,-2,2,19,-119,-275,156,197
,12,2023-10-27 12:03:51.25,40,-248,-2040,-3,0,18,-72,-223,151,147
,13,2023-10-27 12:03:51.26,37,-246,-2042,-3,5,17,-122,-283,161,202
,14,2023-10-27 12:03:51.27,36,-248,-2044,-3,1,13,-72,-232,160,152
,15,2023-10-27 12:03:51.28,35,-248,-2040,1,5,12,-130,-291,161,210
,16,2023-10-27 12:03:51.29,47,-248,-2046,1,4,12,-78,-233,155,155
,17,2023-10-27 12:03:51.30,49,-250,-2047,2,1,11,-118,-271,153,194
,18,2023-10-27 12:03:51.31,38,-250,-2046,2,-2,9,-70,-218,148,144
,19,2023-10-27 12:03:51.32,41,-254,-2050,6,-7,9,-132,-288,156,210
,20,2023-10-27 12:03:51.33,39,-254,-2041,3,-3,10,-76,-236,160,156
,21,2023-10-27 12:03:51.34,35,-249,-2043,2,0,9,-134,-294,160,214
,22,2023-10-27 12:03:51.35,40,-250,-2044,2,1,12,-76,-231,155,153
,23,2023-10-27 12:03:51.36,37,-250,-2046,1,4,16,-133,-287,154,210
,24,2023-10-27 12:03:51.37,54,-246,-2042,0,6,14,-72,-227,155,149
,25,2023-10-27 12:03:51.38,46,-250,-2046,1,7,17,-132,-291,159,211
,26,2023-10-27 12:03:51.39,36,-249,-2042,0,6,18,-72,-230,158,151
,27,2023-10-27 12:03:51.40,52,-245,-2044,2,9,20,-136,-291,155,213
,28,2023-10-27 12:03:51.41,40,-249,-2042,2,4,21,-73,-228,155,150
