// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:03:04.87,-40,-241,-2042,9,1,28,-145,-307,162,226
,2,2023-10-27 12:03:04.88,-32,-242,-2042,8,2,25,-158,-323,165,240
,3,2023-10-27 12:03:04.89,-32,-237,-2040,7,5,24,-152,-316,164,234
,4,2023-10-27 12:03:04.90,-48,-242,-2040,6,4,20,-181,-345,164,263
,5,2023-10-27 12:03:04.91,-29,-242,-2039,6,6,21,-172,-343,171,257
,6,2023-10-27 12:03:04.92,-30,-234,-2042,7,5,20,-206,-374,168,290
,7,2023-10-27 12:03:04.93,-48,-243,-2045,4,2,20,-205,-371,166,288
,8,2023-10-27 12:03:04.94,-39,-240,-2045,6,1,20,-242,-407,165,324
,9,2023-10-27 12:03:04.95,-40,-237,-2046,5,0,18,-233,-390,157,311
,10,2023-10-27 12:03:04.96,-35,-246,-2045,6,-1,19,-255,-409,154,332
,11,2023-10-27 12:03:04.97,-32,-250,-2045,6,-9,19,-223,-376,153,299
,12,2023-10-27 12:03:04.98,-32,-243,-2047,8,-9,20,-236,-387,151,311
,13,2023-10-27 12:03:04.99,-35,-242,-2042,6,-14,23,-198,-343,145,270
,14,2023-10-27 12:03:05.00,-33,-242,-2046,7,-11,23,-216,-360,144,288
,15,2023-10-27 12:03:05.01,-38,-236,-2044,8,-14,22,-176,-318,142,247
,16,2023-10-27 12:03:05.02,-46,-242,-2040,7,-11,25,-198,-342,144,270
,17,2023-10-27 12:03:05.03,-45,-236,-2036,8,-12,24,-154,-297,143,225
,18,2023-10-27 12:03:05.04,-36,-241,-2041,6,-8,24,-180,-325,145,252
,19,2023-10-27 12:03:05.05,-47,-233,-2037,8,-12,21,-135,-280,145,207
,20,2023-10-27 12:03:05.06,-47,-238,-2043,10,-6,24,-172,-320,148,246
,21,2023-10-27 12:03:05.07,-41,-240,-2034,11,-4,21,-122,-274,152,198
,22,2023-10-27 12:03:05.08,-23,-238,-2033,13,-1,21,-163,-315,152,239
,23,2023-10-27 12:03:05.09,-46,-254,-2046,14,4,19,-116,-266,150,191
,24,2023-10-27 12:03:05.10,-48,-242,-2046,16,4,19,-160,-313,153,236
,25,2023-10-27 12:03:05.11,-29,-250,-2036,16,6,23,-110,-264,154,187
,26,2023-10-27 12:03:05.12,-44,-244,-2042,16,9,19,-155,-315,160,235
,27,2023-10-27 12:03:05.13,-44,-243,-2034,16,6,18,-104,-262,158,183
,28,2023-10-27 12:03:05.14,-39,-250,-2045,16,4,18,-154,-315,161,234
,29,2023-10-27 12:03:05.15,-38,-248,-2041,14,6,19,-106,-263,157,184
,30,2023-10-27 12:03:05.16,-42,-241,-2051,14,2,17,-158,-319,161,238
,31,2023-10-27 12:03:05.17,-35,-246,-2040,14,1,14,-106,-264,158,185
