// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:19:51.02,163,-91,-2055,34,-1,9,-329,-219,-110,274
,2,2023-10-27 11:19:51.03,179,-95,-2055,40,-8,9,-482,-374,-108,428
,3,2023-10-27 11:19:51.04,166,-89,-2050,40,-12,8,-328,-210,-118,269
,4,2023-10-27 11:19:51.05,167,-100,-2058,38,-7,10,-485,-376,-109,430
,5,2023-10-27 11:19:51.06,178,-96,-2044,32,5,7,-328,-217,-111,272
,6,2023-10-27 11:19:51.07,171,-93,-2053,32,0,7,-486,-380,-106,433
,7,2023-10-27 11:19:51.08,175,-97,-2054,31,-2,7,-331,-222,-109,276
,8,2023-10-27 11:19:51.09,162,-96,-2051,30,-5,8,-494,-383,-111,438
,9,2023-10-27 11:19:51.10,173,-101,-2063,27,-6,10,-331,-226,-105,278
,10,2023-10-27 11:19:51.11,163,-103,-2062,25,-7,12,-494,-380,-114,437
,11,2023-10-27 11:19:51.12,163,-96,-2060,21,-6,15,-324,-218,-106,271
,12,2023-10-27 11:19:51.13,163,-103,-2049,14,-5,17,-490,-379,-111,434
,13,2023-10-27 11:19:51.14,164,-105,-2051,10,0,22,-320,-219,-101,269
,14,2023-10-27 11:19:51.15,158,-100,-2052,6,-1,22,-493,-379,-114,436
,15,2023-10-27 11:19:51.16,167,-97,-2054,8,-7,27,-322,-221,-101,271
,16,2023-10-27 11:19:51.17,172,-99,-2052,7,-8,28,-492,-379,-113,435
,17,2023-10-27 11:19:51.18,173,-97,-2044,7,-3,27,-315,-220,-95,267
,18,2023-10-27 11:19:51.19,176,-98,-2041,4,6,28,-490,-375,-115,432
,19,2023-10-27 11:19:51.20,157,-101,-2053,4,5,27,-315,-218,-97,266
,20,2023-10-27 11:19:51.21,164,-102,-2062,6,7,27,-496,-377,-119,436
,21,2023-10-27 11:19:51.22,170,-106,-2056,8,0,28,-318,-224,-94,271
,22,2023-10-27 11:19:51.23,161,-102,-2063,9,-6,31,-494,-384,-110,439
,23,2023-10-27 11:19:51.24,165,-97,-2066,10,-9,35,-313,-224,-89,268
,24,2023-10-27 11:19:51.25,163,-89,-2053,8,-4,36,-496,-377,-119,436
,25,2023-10-27 11:19:51.26,168,-83,-2052,8,-4,34,-312,-216,-96,264
,26,2023-10-27 11:19:51.27,169,-89,-2064,3,-6,34,-492,-372,-120,432
,27,2023-10-27 11:19:51.28,166,-94,-2063,-1,-5,31,-309,-224,-85,266
,28,2023-10-27 11:19:51.29,158,-93,-2058,-3,-11,32,-496,-375,-121,435
,29,2023-10-27 11:19:51.30,160,-91,-2059,-2,-12,33,-311,-225,-86,268
,30,2023-10-27 11:19:51.31,152,-92,-2049,-3,-17,33,-495,-373,-122,434
,31,2023-10-27 11:19:51.32,149,-90,-2047,-11,-14,34,-310,-229,-81,269
,32,2023-10-27 11:19:51.33,144,-87,-2045,-9,-24,33,-500,-376,-124,438
,33,2023-10-27 11:19:51.34,155,-89,-2045,-12,-23,35,-321,-233,-88,277
,34,2023-10-27 11:19:51.35,154,-77,-2047,-10,-23,38,-506,-380,-126,443
,35,2023-10-27 11:19:51.36,163,-83,-2048,-15,-13,34,-309,-225,-84,267
,36,2023-10-27 11:19:51.37,142,-83,-2051,-18,-12,33,-501,-367,-134,434
,37,2023-10-27 11:19:51.38,149,-87,-2062,-20,-15,34,-320,-227,-93,273
,38,2023-10-27 11:19:51.39,152,-99,-2072,-16,-15,36,-511,-376,-135,443
,39,2023-10-27 11:19:51.40,139,-94,-2050,-11,-12,42,-322,-234,-88,278
,40,2023-10-27 11:19:51.41,165,-96,-2049,-5,-11,49,-504,-371,-133,437
,41,2023-10-27 11:19:51.42,159,-96,-2049,-6,2,49,-326,-243,-83,284
,42,2023-10-27 11:19:51.43,153,-93,-2042,-5,18,47,-504,-369,-135,436
