// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 10:30:08.78,-64,1,-2045,69,-16,-27,402,-60,462,-171
,2,2023-10-27 10:30:08.79,-63,-7,-2037,62,-7,-23,22,256,-234,-139
,3,2023-10-27 10:30:08.80,-64,4,-2034,60,-1,-18,394,-64,458,-165
,4,2023-10-27 10:30:08.81,-47,-2,-2045,52,7,-8,32,226,-194,-129
,5,2023-10-27 10:30:08.82,-54,-2,-2049,44,13,-1,400,-76,476,-162
,6,2023-10-27 10:30:08.83,-65,-9,-2048,43,15,7,34,225,-191,-129
,7,2023-10-27 10:30:08.84,-62,-11,-2055,42,18,14,392,-70,462,-161
,8,2023-10-27 10:30:08.85,-61,-10,-2056,41,14,25,35,231,-196,-133
,9,2023-10-27 10:30:08.86,-58,-8,-2052,41,11,33,392,-68,460,-162
,10,2023-10-27 10:30:08.87,-64,-3,-2053,45,7,36,39,229,-190,-134
,11,2023-10-27 10:30:08.88,-55,9,-2041,53,3,40,385,-60,445,-162
,12,2023-10-27 10:30:08.89,-57,4,-2052,54,-1,36,36,232,-196,-134
,13,2023-10-27 10:30:08.90,-52,4,-2037,53,-1,35,389,-56,445,-166
,14,2023-10-27 10:30:08.91,-58,2,-2037,55,-2,37,52,224,-172,-138
,15,2023-10-27 10:30:08.92,-50,-6,-2032,60,1,34,387,-60,447,-163
,16,2023-10-27 10:30:08.93,-59,-21,-2049,65,-1,33,40,218,-178,-129
,17,2023-10-27 10:30:08.94,-65,-24,-2065,70,-5,37,384,-59,443,-162
,18,2023-10-27 10:30:08.95,-63,-30,-2065,74,-9,41,52,212,-160,-132
,19,2023-10-27 10:30:08.96,-55,-40,-2075,79,-4,45,375,-47,422,-164
,20,2023-10-27 10:30:08.97,-62,-20,-2073,85,-6,50,43,222,-179,-132
,21,2023-10-27 10:30:08.98,-85,-20,-2075,92,-7,50,372,-50,422,-161
,22,2023-10-27 10:30:08.99,-84,-24,-2081,97,-15,48,51,199,-148,-125
,23,2023-10-27 10:30:09.00,-73,-23,-2074,101,-28,47,372,-41,413,-165
,24,2023-10-27 10:30:09.01,-76,-23,-2067,98,-34,47,57,210,-153,-133
,25,2023-10-27 10:30:09.02,-65,-28,-2067,97,-43,47,370,-32,402,-169
,26,2023-10-27 10:30:09.03,-68,-24,-2047,97,-44,47,60,203,-143,-131
,27,2023-10-27 10:30:09.04,-66,-26,-2045,96,-40,43,368,-34,402,-167
,28,2023-10-27 10:30:09.05,-65,-28,-2029,92,-29,36,63,195,-132,-129
,29,2023-10-27 10:30:09.06,-82,-26,-2032,91,-26,35,363,-25,388,-169
,30,2023-10-27 10:30:09.07,-88,-37,-2051,95,-29,38,68,199,-131,-133
,31,2023-10-27 10:30:09.08,-103,-58,-2057,95,-36,37,364,-16,380,-174
,32,2023-10-27 10:30:09.09,-87,-29,-2063,89,-47,40,76,188,-112,-132
,33,2023-10-27 10:30:09.10,-101,-49,-2073,80,-47,43,361,-21,382,-170
,34,2023-10-27 10:30:09.11,-90,-32,-2054,72,-46,46,78,180,-102,-129
,35,2023-10-27 10:30:09.12,-83,-29,-2048,65,-44,42,353,-13,366,-170
,36,2023-10-27 10:30:09.13,-85,-27,-2047,58,-35,41,81,178,-97,-129
,37,2023-10-27 10:30:09.14,-83,-13,-2036,52,-34,35,356,-7,363,-174
,38,2023-10-27 10:30:09.15,-78,-18,-2040,46,-24,25,87,172,-85,-129
,39,2023-10-27 10:30:09.16,-81,-33,-2053,38,-12,16,345,8,337,-176
,40,2023-10-27 10:30:09.17,-72,-39,-2049,32,-4,12,87,173,-86,-130
,41,2023-10-27 10:30:09.18,-76,-31,-2052,35,9,11,346,11,335,-178
,42,2023-10-27 10:30:09.19,-82,-48,-2048,35,18,6,104,167,-63,-135
,43,2023-10-27 10:30:09.20,-74,-43,-2054,37,18,4,337,13,324,-175
,44,2023-10-27 10:30:09.21,-90,-45,-2062,42,11,0,91,152,-61,-121
,45,2023-10-27 10:30:09.22,-88,-36,-2062,41,4,-2,314,8,306,-161
,46,2023-10-27 10:30:09.23,-83,-38,-2064,36,4,-5,105,149,-44,-127
,47,2023-10-27 10:30:09.24,-78,-36,-2052,31,0,-5,326,25,301,-175
,48,2023-10-27 10:30:09.25,-67,-37,-2046,26,-2,-10,104,142,-38,-123
,49,2023-10-27 10:30:09.26,-78,-34,-2045,14,-6,-11,321,29,292,-175
,50,2023-10-27 10:30:09.27,-79,-34,-2039,7,-8,-11,113,134,-21,-123
,51,2023-10-27 10:30:09.28,-93,-44,-2052,1,-13,-10,314,36,278,-175
,52,2023-10-27 10:30:09.29,-89,-50,-2063,-4,-16,-5,120,131,-11,-125
,53,2023-10-27 10:30:09.30,-99,-49,-2064,0,-21,-3,313,50,263,-181
,54,2023-10-27 10:30:09.31,-89,-55,-2060,-1,-28,3,134,127,7,-130
,55,2023-10-27 10:30:09.32,-93,-51,-2053,4,-34,7,308,50,258,-179
,56,2023-10-27 10:30:09.33,-92,-44,-2058,10,-34,12,134,114,20,-124
,57,2023-10-27 10:30:09.34,-94,-46,-2056,17,-26,17,294,59,235,-176
,58,2023-10-27 10:30:09.35,-102,-32,-2057,19,-32,19,136,115,21,-125
