// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:54:10.58,-30,-135,-2043,11,6,11,-279,-786,507,532
,2,2023-10-27 11:54:10.59,-57,-135,-2046,9,-1,13,-169,-651,482,410
,3,2023-10-27 11:54:10.60,-48,-133,-2055,10,7,19,-306,-775,469,540
,4,2023-10-27 11:54:10.61,-43,-135,-2053,8,3,18,-200,-640,440,420
,5,2023-10-27 11:54:10.62,-51,-134,-2052,7,9,28,-329,-761,432,545
,6,2023-10-27 11:54:10.63,-45,-129,-2051,4,6,23,-216,-628,412,422
,7,2023-10-27 11:54:10.64,-57,-133,-2049,3,7,26,-348,-760,412,554
,8,2023-10-27 11:54:10.65,-46,-129,-2049,3,4,21,-220,-620,400,420
,9,2023-10-27 11:54:10.66,-54,-132,-2045,8,3,27,-335,-748,413,541
,10,2023-10-27 11:54:10.67,-52,-126,-2046,9,6,25,-210,-618,408,414
,11,2023-10-27 11:54:10.68,-51,-123,-2047,9,-2,22,-316,-758,442,537
,12,2023-10-27 11:54:10.69,-45,-124,-2048,10,8,21,-190,-626,436,408
,13,2023-10-27 11:54:10.70,-62,-120,-2049,8,2,19,-304,-766,462,535
,14,2023-10-27 11:54:10.71,-54,-117,-2064,10,9,19,-194,-638,444,416
,15,2023-10-27 11:54:10.72,-62,-122,-2055,8,-2,13,-317,-775,458,546
,16,2023-10-27 11:54:10.73,-47,-128,-2057,11,1,17,-209,-633,424,421
,17,2023-10-27 11:54:10.74,-54,-123,-2059,11,-6,12,-327,-754,427,540
,18,2023-10-27 11:54:10.75,-53,-122,-2052,10,-3,15,-212,-610,398,411
,19,2023-10-27 11:54:10.76,-61,-122,-2045,8,-4,14,-315,-747,432,531
,20,2023-10-27 11:54:10.77,-68,-120,-2040,5,3,17,-197,-620,423,408
,21,2023-10-27 11:54:10.78,-53,-122,-2039,1,5,12,-300,-769,469,534
,22,2023-10-27 11:54:10.79,-60,-112,-2045,-1,18,14,-189,-635,446,412
,23,2023-10-27 11:54:10.80,-53,-121,-2046,-3,20,9,-311,-774,463,542
,24,2023-10-27 11:54:10.81,-59,-123,-2053,-5,28,10,-213,-632,419,422
,25,2023-10-27 11:54:10.82,-52,-122,-2046,-3,25,9,-324,-771,447,547
,26,2023-10-27 11:54:10.83,-52,-126,-2053,-2,21,7,-217,-637,420,427
,27,2023-10-27 11:54:10.84,-55,-131,-2051,1,20,9,-326,-782,456,554
