// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:28:44.26,117,-146,-2057,3,-12,34,-317,318,-635,0
,2,2023-10-27 12:28:44.27,132,-159,-2058,6,-22,33,-422,556,-978,-67
,3,2023-10-27 12:28:44.28,124,-153,-2051,9,-18,32,-312,318,-630,-3
,4,2023-10-27 12:28:44.29,130,-162,-2062,10,-27,33,-420,556,-976,-68
,5,2023-10-27 12:28:44.30,120,-169,-2059,8,-33,31,-311,319,-630,-4
,6,2023-10-27 12:28:44.31,118,-166,-2065,9,-34,36,-429,549,-978,-60
,7,2023-10-27 12:28:44.32,99,-170,-2066,9,-39,36,-302,329,-631,-13
,8,2023-10-27 12:28:44.33,113,-168,-2061,11,-36,42,-429,555,-984,-63
,9,2023-10-27 12:28:44.34,105,-170,-2063,11,-47,41,-304,327,-631,-11
,10,2023-10-27 12:28:44.35,104,-166,-2062,7,-45,48,-434,553,-987,-59
,11,2023-10-27 12:28:44.36,99,-166,-2051,7,-46,50,-303,334,-637,-15
,12,2023-10-27 12:28:44.37,98,-170,-2049,6,-38,50,-439,553,-992,-57
,13,2023-10-27 12:28:44.38,103,-166,-2054,-4,-41,47,-294,334,-628,-20
,14,2023-10-27 12:28:44.39,110,-158,-2046,-10,-26,50,-433,567,-1000,-67
,15,2023-10-27 12:28:44.40,97,-156,-2045,-14,-23,47,-296,339,-635,-21
,16,2023-10-27 12:28:44.41,99,-158,-2049,-21,-18,41,-443,543,-986,-50
,17,2023-10-27 12:28:44.42,106,-151,-2037,-22,-13,43,-293,328,-621,-17
,18,2023-10-27 12:28:44.43,116,-157,-2042,-26,-8,38,-440,547,-987,-53
,19,2023-10-27 12:28:44.44,108,-157,-2045,-30,6,42,-282,340,-622,-29
,20,2023-10-27 12:28:44.45,116,-153,-2041,-29,0,36,-447,538,-985,-45
,21,2023-10-27 12:28:44.46,126,-149,-2043,-29,16,39,-281,343,-624,-31
,22,2023-10-27 12:28:44.47,120,-152,-2037,-28,11,40,-442,553,-995,-55
,23,2023-10-27 12:28:44.48,125,-156,-2054,-18,11,44,-296,352,-648,-28
,24,2023-10-27 12:28:44.49,119,-156,-2067,-10,9,48,-460,554,-1014,-47
,25,2023-10-27 12:28:44.50,126,-155,-2059,0,1,46,-292,362,-654,-35
,26,2023-10-27 12:28:44.51,138,-148,-2055,8,4,49,-453,545,-998,-46
,27,2023-10-27 12:28:44.52,128,-153,-2057,13,4,40,-276,365,-641,-44
,28,2023-10-27 12:28:44.53,121,-153,-2058,18,13,45,-452,540,-992,-44
,29,2023-10-27 12:28:44.54,113,-144,-2047,26,0,40,-274,366,-640,-46
,30,2023-10-27 12:28:44.55,127,-152,-2044,30,5,44,-454,530,-984,-38
,31,2023-10-27 12:28:44.56,121,-156,-2040,32,-1,42,-264,371,-635,-53
,32,2023-10-27 12:28:44.57,117,-151,-2052,30,2,41,-455,527,-982,-36
,33,2023-10-27 12:28:44.58,124,-146,-2048,32,-7,40,-261,369,-630,-54
,34,2023-10-27 12:28:44.59,120,-149,-2050,25,-7,36,-458,528,-986,-35
,35,2023-10-27 12:28:44.60,116,-146,-2055,20,-4,36,-264,379,-643,-57
,36,2023-10-27 12:28:44.61,115,-153,-2065,11,-7,34,-465,519,-984,-27
,37,2023-10-27 12:28:44.62,110,-146,-2060,5,-7,36,-261,379,-640,-59
,38,2023-10-27 12:28:44.63,111,-151,-2062,-4,-7,34,-467,520,-987,-26
,39,2023-10-27 12:28:44.64,108,-145,-2061,-9,-10,32,-260,386,-646,-63
,40,2023-10-27 12:28:44.65,104,-149,-2065,-14,-19,31,-469,513,-982,-22
,41,2023-10-27 12:28:44.66,111,-143,-2056,-20,-21,34,-257,394,-651,-68
,42,2023-10-27 12:28:44.67,110,-147,-2057,-23,-28,29,-470,506,-976,-18
,43,2023-10-27 12:28:44.68,116,-152,-2049,-22,-29,28,-254,392,-646,-69
,44,2023-10-27 12:28:44.69,126,-148,-2052,-21,-25,32,-468,505,-973,-18
,45,2023-10-27 12:28:44.70,114,-146,-2046,-24,-25,26,-253,399,-652,-73
,46,2023-10-27 12:28:44.71,111,-148,-2048,-25,-22,26,-472,494,-966,-11
,47,2023-10-27 12:28:44.72,126,-137,-2044,-24,-20,29,-250,402,-652,-76
,48,2023-10-27 12:28:44.73,111,-142,-2056,-22,-18,26,-476,492,-968,-8
,49,2023-10-27 12:28:44.74,109,-137,-2043,-21,-24,25,-249,406,-655,-78
,50,2023-10-27 12:28:44.75,111,-140,-2045,-21,-18,27,-479,484,-963,-2
,51,2023-10-27 12:28:44.76,118,-137,-2052,-21,-22,27,-253,416,-669,-81
,52,2023-10-27 12:28:44.77,114,-134,-2049,-20,-24,28,-484,482,-966,1
,53,2023-10-27 12:28:44.78,120,-136,-2051,-14,-22,26,-253,418,-671,-82
,54,2023-10-27 12:28:44.79,118,-132,-2052,-15,-20,23,-483,479,-962,2
,55,2023-10-27 12:28:44.80,127,-134,-2051,-11,-19,21,-244,434,-678,-95
,56,2023-10-27 12:28:44.81,122,-137,-2052,-3,-15,22,-486,470,-956,8
,57,2023-10-27 12:28:44.82,124,-136,-2044,3,-10,23,-248,425,-673,-88
,58,2023-10-27 12:28:44.83,133,-145,-2045,8,-9,18,-491,457,-948,17
,59,2023-10-27 12:28:44.84,130,-141,-2047,18,-2,21,-250,435,-685,-92
,60,2023-10-27 12:28:44.85,127,-143,-2052,25,-6,19,-491,466,-957,12
,61,2023-10-27 12:28:44.86,112,-150,-2053,31,-12,20,-250,448,-698,-99
,62,2023-10-27 12:28:44.87,124,-142,-2057,34,-13,20,-489,463,-952,13
,63,2023-10-27 12:28:44.88,116,-145,-2060,36,-19,24,-249,443,-692,-97
,64,2023-10-27 12:28:44.89,117,-136,-2060,34,-22,23,-493,443,-936,25
