// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:21:25.59,141,-245,-2047,16,88,-14,-347,-364,17,355
,2,2023-10-27 11:21:25.60,156,-231,-2037,10,93,-15,-528,-506,-22,517
,3,2023-10-27 11:21:25.61,165,-219,-2029,2,102,-21,-341,-355,14,348
,4,2023-10-27 11:21:25.62,160,-219,-2048,-5,118,-27,-520,-495,-25,507
,5,2023-10-27 11:21:25.63,168,-202,-2054,-13,119,-33,-313,-328,15,320
,6,2023-10-27 11:21:25.64,187,-201,-2051,-20,124,-42,-489,-455,-34,472
,7,2023-10-27 11:21:25.65,155,-223,-2055,-30,132,-47,-289,-289,0,289
,8,2023-10-27 11:21:25.66,152,-249,-2087,-38,123,-45,-468,-418,-50,443
,9,2023-10-27 11:21:25.67,153,-249,-2083,-42,114,-37,-262,-252,-10,257
,10,2023-10-27 11:21:25.68,158,-238,-2054,-43,106,-28,-436,-373,-63,404
,11,2023-10-27 11:21:25.69,135,-246,-2034,-38,94,-23,-234,-212,-22,223
,12,2023-10-27 11:21:25.70,155,-246,-2031,-34,82,-15,-401,-328,-73,364
,13,2023-10-27 11:21:25.71,163,-247,-1995,-30,79,-13,-202,-173,-29,187
,14,2023-10-27 11:21:25.72,162,-257,-1984,-16,72,-10,-390,-314,-76,352
,15,2023-10-27 11:21:25.73,151,-277,-2004,5,64,-3,-215,-191,-24,203
,16,2023-10-27 11:21:25.74,150,-279,-2007,29,46,7,-396,-328,-68,362
,17,2023-10-27 11:21:25.75,153,-268,-1986,52,44,10,-224,-199,-25,211
,18,2023-10-27 11:21:25.76,184,-254,-1981,72,46,10,-393,-343,-50,368
,19,2023-10-27 11:21:25.77,165,-254,-1972,80,51,8,-210,-225,15,217
,20,2023-10-27 11:21:25.78,175,-240,-1981,87,62,2,-401,-366,-35,383
,21,2023-10-27 11:21:25.79,189,-233,-1996,92,70,-10,-250,-260,10,255
,22,2023-10-27 11:21:25.80,183,-228,-2023,91,73,-22,-437,-387,-50,412
,23,2023-10-27 11:21:25.81,174,-222,-2043,85,71,-36,-291,-293,2,292
,24,2023-10-27 11:21:25.82,172,-204,-2067,72,66,-48,-470,-432,-38,451
,25,2023-10-27 11:21:25.83,179,-207,-2082,52,55,-61,-326,-349,23,337
,26,2023-10-27 11:21:25.84,173,-205,-2089,29,47,-72,-507,-485,-22,496
,27,2023-10-27 11:21:25.85,193,-205,-2109,6,40,-83,-363,-396,33,379
,28,2023-10-27 11:21:25.86,188,-215,-2102,-18,34,-91,-532,-512,-20,522
,29,2023-10-27 11:21:25.87,191,-235,-2088,-35,35,-100,-386,-413,27,399
,30,2023-10-27 11:21:25.88,180,-263,-2096,-41,36,-103,-538,-504,-34,521
,31,2023-10-27 11:21:25.89,180,-285,-2107,-36,25,-96,-388,-408,20,398
,32,2023-10-27 11:21:25.90,210,-277,-2101,-30,23,-90,-532,-501,-31,516
,33,2023-10-27 11:21:25.91,203,-269,-2094,-25,34,-87,-374,-401,27,387
,34,2023-10-27 11:21:25.92,195,-265,-2082,-17,40,-78,-502,-468,-34,485
,35,2023-10-27 11:21:25.93,223,-260,-2090,-7,47,-74,-341,-355,14,348
,36,2023-10-27 11:21:25.94,216,-261,-2078,1,52,-67,-470,-416,-54,443
,37,2023-10-27 11:21:25.95,218,-244,-2063,0,63,-63,-324,-323,-1,323
,38,2023-10-27 11:21:25.96,220,-230,-2042,-2,76,-58,-454,-388,-66,421
,39,2023-10-27 11:21:25.97,211,-249,-2031,-5,91,-52,-318,-314,-4,316
,40,2023-10-27 11:21:25.98,206,-271,-2039,-3,84,-41,-437,-373,-64,405
,41,2023-10-27 11:21:25.99,203,-261,-2047,2,82,-26,-302,-306,4,304
,42,2023-10-27 11:21:26.00,214,-256,-2030,11,73,-14,-422,-360,-62,391
,43,2023-10-27 11:21:26.01,220,-244,-2016,17,68,-1,-297,-298,1,297
,44,2023-10-27 11:21:26.02,223,-246,-2010,17,66,7,-411,-345,-66,378
