// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 10:44:05.91,101,-275,-2048,-47,-9,61,-579,675,-1254,-48
,2,2023-10-27 10:44:05.92,81,-281,-2058,-50,-7,63,-388,452,-840,-32
,3,2023-10-27 10:44:05.93,84,-297,-2054,-45,-10,63,-584,675,-1259,-45
,4,2023-10-27 10:44:05.94,91,-284,-2047,-45,-9,60,-389,449,-838,-30
,5,2023-10-27 10:44:05.95,80,-298,-2043,-32,-12,60,-578,662,-1240,-42
,6,2023-10-27 10:44:05.96,92,-294,-2037,-29,-6,62,-388,438,-826,-25
,7,2023-10-27 10:44:05.97,84,-279,-2036,-23,-1,61,-573,662,-1235,-44
,8,2023-10-27 10:44:05.98,93,-278,-2039,-15,-1,59,-390,440,-830,-25
,9,2023-10-27 10:44:05.99,100,-268,-2039,-19,4,49,-575,664,-1239,-44
,10,2023-10-27 10:44:06.00,104,-263,-2034,-16,8,48,-388,454,-842,-33
,11,2023-10-27 10:44:06.01,106,-280,-2044,-7,3,46,-569,675,-1244,-53
,12,2023-10-27 10:44:06.02,113,-278,-2052,-12,9,42,-394,454,-848,-30
,13,2023-10-27 10:44:06.03,103,-267,-2044,-21,8,42,-570,672,-1242,-51
,14,2023-10-27 10:44:06.04,107,-267,-2051,-22,4,39,-383,454,-837,-35
,15,2023-10-27 10:44:06.05,103,-266,-2066,-24,-2,43,-565,658,-1223,-46
,16,2023-10-27 10:44:06.06,118,-257,-2047,-21,-10,38,-391,445,-836,-27
,17,2023-10-27 10:44:06.07,106,-276,-2049,-22,-12,43,-558,656,-1214,-49
,18,2023-10-27 10:44:06.08,114,-264,-2052,-18,-18,42,-388,456,-844,-34
,19,2023-10-27 10:44:06.09,115,-259,-2053,-17,-23,34,-556,666,-1222,-55
,20,2023-10-27 10:44:06.10,97,-260,-2060,-20,-22,37,-393,446,-839,-26
,21,2023-10-27 10:44:06.11,100,-271,-2064,-27,-21,34,-562,656,-1218,-47
,22,2023-10-27 10:44:06.12,99,-263,-2058,-33,-23,39,-401,452,-853,-25
,23,2023-10-27 10:44:06.13,79,-272,-2040,-30,-32,39,-568,637,-1205,-34
,24,2023-10-27 10:44:06.14,84,-261,-2044,-34,-30,41,-406,448,-854,-21
,25,2023-10-27 10:44:06.15,72,-274,-2054,-35,-45,42,-560,649,-1209,-44
,26,2023-10-27 10:44:06.16,76,-263,-2043,-40,-45,40,-405,460,-865,-27
,27,2023-10-27 10:44:06.17,78,-249,-2058,-44,-47,39,-562,666,-1228,-52
,28,2023-10-27 10:44:06.18,87,-277,-2017,-53,-36,42,-415,478,-893,-31
,29,2023-10-27 10:44:06.19,54,-222,-2066,-49,-38,39,-560,663,-1223,-51
,30,2023-10-27 10:44:06.20,68,-280,-2031,-49,-31,35,-418,469,-887,-25
,31,2023-10-27 10:44:06.21,57,-262,-2045,-63,-23,41,-549,652,-1201,-51
,32,2023-10-27 10:44:06.22,50,-250,-2059,-71,-20,38,-412,460,-872,-24
,33,2023-10-27 10:44:06.23,86,-260,-2026,-66,-18,34,-537,647,-1184,-55
,34,2023-10-27 10:44:06.24,71,-269,-2045,-64,-17,38,-407,475,-882,-34
,35,2023-10-27 10:44:06.25,69,-257,-2025,-66,-21,37,-536,647,-1183,-55
,36,2023-10-27 10:44:06.26,77,-258,-2034,-66,-8,36,-416,467,-883,-25
,37,2023-10-27 10:44:06.27,80,-233,-2034,-59,-8,34,-534,639,-1173,-52
,38,2023-10-27 10:44:06.28,81,-249,-2034,-55,4,25,-418,467,-885,-24
,39,2023-10-27 10:44:06.29,84,-249,-2051,-63,0,19,-530,635,-1165,-52
,40,2023-10-27 10:44:06.30,87,-258,-2071,-75,15,16,-420,474,-894,-27
,41,2023-10-27 10:44:06.31,67,-236,-2070,-72,16,23,-530,632,-1162,-51
,42,2023-10-27 10:44:06.32,90,-232,-2069,-77,8,23,-426,480,-906,-27
,43,2023-10-27 10:44:06.33,87,-237,-2055,-82,6,26,-527,642,-1169,-57
,44,2023-10-27 10:44:06.34,80,-225,-2056,-88,13,26,-431,498,-929,-33
,45,2023-10-27 10:44:06.35,106,-226,-2066,-90,5,27,-524,641,-1165,-58
,46,2023-10-27 10:44:06.36,77,-224,-2073,-93,1,30,-432,492,-924,-30
,47,2023-10-27 10:44:06.37,80,-224,-2073,-90,-4,33,-515,628,-1143,-56
,48,2023-10-27 10:44:06.38,81,-214,-2060,-93,-9,33,-438,492,-930,-27
,49,2023-10-27 10:44:06.39,81,-217,-2060,-86,-15,37,-514,629,-1143,-57
,50,2023-10-27 10:44:06.40,88,-220,-2059,-80,-24,37,-440,497,-937,-28
,51,2023-10-27 10:44:06.41,76,-194,-2054,-78,-21,35,-510,620,-1130,-55
,52,2023-10-27 10:44:06.42,73,-219,-2046,-69,-25,29,-444,505,-949,-30
,53,2023-10-27 10:44:06.43,74,-204,-2054,-71,-17,28,-507,624,-1131,-58
,54,2023-10-27 10:44:06.44,74,-189,-2043,-63,-26,29,-452,506,-958,-27
,55,2023-10-27 10:44:06.45,79,-193,-2050,-57,-25,25,-499,622,-1121,-61
,56,2023-10-27 10:44:06.46,61,-197,-2056,-52,-23,22,-452,505,-957,-26
,57,2023-10-27 10:44:06.47,57,-201,-2051,-49,-23,13,-500,606,-1106,-53
,58,2023-10-27 10:44:06.48,57,-172,-2034,-55,-11,9,-456,513,-969,-28
,59,2023-10-27 10:44:06.49,77,-200,-2037,-51,-17,4,-493,615,-1108,-61
,60,2023-10-27 10:44:06.50,67,-171,-2045,-54,-4,-7,-460,514,-974,-27
,61,2023-10-27 10:44:06.51,75,-197,-2054,-54,3,-13,-495,590,-1085,-47
,62,2023-10-27 10:44:06.52,71,-184,-2054,-52,4,-14,-465,511,-976,-23
,63,2023-10-27 10:44:06.53,71,-193,-2062,-43,1,-16,-489,592,-1081,-51
,64,2023-10-27 10:44:06.54,76,-186,-2055,-43,4,-15,-468,523,-991,-27
,65,2023-10-27 10:44:06.55,73,-194,-2055,-38,8,-25,-481,589,-1070,-54
,66,2023-10-27 10:44:06.56,77,-204,-2067,-37,7,-21,-472,515,-987,-21
,67,2023-10-27 10:44:06.57,68,-179,-2062,-38,8,-19,-476,583,-1059,-53
,68,2023-10-27 10:44:06.58,87,-192,-2063,-40,7,-14,-476,530,-1006,-27
,69,2023-10-27 10:44:06.59,79,-189,-2071,-39,6,-10,-475,576,-1051,-50
,70,2023-10-27 10:44:06.60,78,-189,-2079,-34,1,-4,-481,532,-1013,-25
,71,2023-10-27 10:44:06.61,71,-198,-2065,-27,-3,-1,-465,576,-1041,-55
,72,2023-10-27 10:44:06.62,74,-183,-2080,-27,-7,5,-478,533,-1011,-27
,73,2023-10-27 10:44:06.63,72,-184,-2059,-34,-3,14,-460,572,-1032,-56
,74,2023-10-27 10:44:06.64,78,-151,-2047,-31,-10,17,-482,543,-1025,-30
,75,2023-10-27 10:44:06.65,80,-196,-2060,-32,2,13,-458,572,-1030,-57
,76,2023-10-27 10:44:06.66,67,-175,-2042,-34,-2,23,-490,559,-1049,-34
,77,2023-10-27 10:44:06.67,67,-159,-2067,-37,4,25,-454,577,-1031,-61
,78,2023-10-27 10:44:06.68,84,-211,-2048,-24,1,23,-489,553,-1042,-32
,79,2023-10-27 10:44:06.69,68,-175,-2054,-20,0,33,-446,563,-1009,-58
,80,2023-10-27 10:44:06.70,80,-173,-2045,-11,-13,36,-490,565,-1055,-37
,81,2023-10-27 10:44:06.71,78,-167,-2070,-12,-1,41,-444,564,-1008,-60
,82,2023-10-27 10:44:06.72,62,-165,-2064,-11,0,39,-498,566,-1064,-34
,83,2023-10-27 10:44:06.73,74,-171,-2055,-5,-1,43,-444,552,-996,-54
,84,2023-10-27 10:44:06.74,77,-156,-2040,8,-5,42,-507,562,-1069,-27
,85,2023-10-27 10:44:06.75,75,-160,-2047,9,2,42,-440,548,-988,-54
,86,2023-10-27 10:44:06.76,93,-162,-2044,13,2,41,-502,577,-1079,-37
,87,2023-10-27 10:44:06.77,89,-168,-2035,27,3,39,-433,553,-986,-60
,88,2023-10-27 10:44:06.78,79,-177,-2057,39,9,41,-506,579,-1085,-36
,89,2023-10-27 10:44:06.79,76,-175,-2055,50,5,43,-432,537,-969,-52
,90,2023-10-27 10:44:06.80,79,-170,-2040,62,10,40,-516,583,-1099,-33
,91,2023-10-27 10:44:06.81,76,-181,-2042,70,11,42,-420,543,-963,-61
,92,2023-10-27 10:44:06.82,83,-196,-2059,72,12,41,-505,589,-1094,-42
,93,2023-10-27 10:44:06.83,86,-190,-2052,80,13,40,-417,535,-952,-59
,94,2023-10-27 10:44:06.84,79,-190,-2049,90,6,36,-517,586,-1103,-34
,95,2023-10-27 10:44:06.85,82,-204,-2058,91,14,35,-419,523,-942,-52
,96,2023-10-27 10:44:06.86,84,-199,-2066,93,15,30,-527,593,-1120,-33
,97,2023-10-27 10:44:06.87,77,-192,-2072,88,16,26,-423,520,-943,-48
,98,2023-10-27 10:44:06.88,77,-205,-2069,81,14,20,-528,589,-1117,-30
,99,2023-10-27 10:44:06.89,89,-200,-2052,74,8,16,-417,517,-934,-50
,100,2023-10-27 10:44:06.90,90,-204,-2057,75,3,12,-535,598,-1133,-31
,101,2023-10-27 10:44:06.91,91,-198,-2053,71,-2,11,-414,510,-924,-48
,102,2023-10-27 10:44:06.92,82,-202,-2053,60,-7,7,-538,588,-1126,-25
,103,2023-10-27 10:44:06.93,78,-206,-2054,51,-11,1,-410,503,-913,-46
,104,2023-10-27 10:44:06.94,86,-200,-2058,47,-14,2,-535,595,-1130,-30
,105,2023-10-27 10:44:06.95,85,-213,-2049,42,-17,-1,-403,499,-902,-48
,106,2023-10-27 10:44:06.96,79,-219,-2048,38,-18,-2,-539,608,-1147,-34
,107,2023-10-27 10:44:06.97,86,-224,-2049,34,-16,-2,-400,499,-899,-49
,108,2023-10-27 10:44:06.98,73,-227,-2053,40,-16,-1,-537,605,-1142,-34
,109,2023-10-27 10:44:06.99,80,-225,-2055,41,-21,0,-396,491,-887,-47
,110,2023-10-27 10:44:07.00,81,-226,-2051,40,-24,3,-538,610,-1148,-36
,111,2023-10-27 10:44:07.01,84,-221,-2049,39,-25,4,-398,490,-888,-46
,112,2023-10-27 10:44:07.02,75,-226,-2051,36,-19,5,-546,620,-1166,-37
,113,2023-10-27 10:44:07.03,80,-224,-2048,34,-19,6,-393,496,-889,-51
,114,2023-10-27 10:44:07.04,74,-232,-2047,35,-16,11,-547,627,-1174,-40
,115,2023-10-27 10:44:07.05,75,-232,-2051,33,-14,11,-390,487,-877,-48
,116,2023-10-27 10:44:07.06,70,-233,-2051,36,-13,17,-547,625,-1172,-39
,117,2023-10-27 10:44:07.07,69,-231,-2055,36,-13,19,-391,484,-875,-46
,118,2023-10-27 10:44:07.08,70,-234,-2050,35,-16,26,-553,629,-1182,-38
,119,2023-10-27 10:44:07.09,71,-228,-2049,39,-16,25,-385,478,-863,-46
,120,2023-10-27 10:44:07.10,66,-230,-2041,37,-12,27,-549,633,-1182,-42
,121,2023-10-27 10:44:07.11,69,-233,-2053,33,-9,29,-382,480,-862,-49
,122,2023-10-27 10:44:07.12,74,-228,-2058,33,-8,30,-554,631,-1185,-38
,123,2023-10-27 10:44:07.13,68,-234,-2059,37,-10,29,-380,469,-849,-44
,124,2023-10-27 10:44:07.14,64,-237,-2057,36,-11,30,-557,628,-1185,-35
,125,2023-10-27 10:44:07.15,67,-229,-2058,35,-14,33,-381,463,-844,-41
,126,2023-10-27 10:44:07.16,50,-234,-2045,31,-16,32,-556,637,-1193,-40
,127,2023-10-27 10:44:07.17,62,-232,-2042,32,-17,33,-377,466,-843,-44
,128,2023-10-27 10:44:07.18,59,-233,-2040,31,-19,34,-558,635,-1193,-38
,129,2023-10-27 10:44:07.19,68,-233,-2044,30,-18,33,-374,455,-829,-40
,130,2023-10-27 10:44:07.20,57,-232,-2032,30,-17,33,-562,625,-1187,-31
,131,2023-10-27 10:44:07.21,66,-235,-2034,29,-11,28,-381,448,-829,-33
,132,2023-10-27 10:44:07.22,55,-230,-2044,24,-6,24,-562,642,-1204,-40
,133,2023-10-27 10:44:07.23,52,-225,-2046,21,-2,18,-370,450,-820,-40
,134,2023-10-27 10:44:07.24,56,-229,-2042,21,-1,17,-560,635,-1195,-37
,135,2023-10-27 10:44:07.25,57,-239,-2055,17,1,14,-371,449,-820,-39
,136,2023-10-27 10:44:07.26,56,-237,-2065,17,-3,14,-562,637,-1199,-37
,137,2023-10-27 10:44:07.27,51,-235,-2053,15,-8,12,-375,453,-828,-39
,138,2023-10-27 10:44:07.28,59,-236,-2056,11,-10,13,-564,657,-1221,-46
,139,2023-10-27 10:44:07.29,69,-221,-2052,5,-6,13,-371,451,-822,-40
,140,2023-10-27 10:44:07.30,65,-231,-2054,-2,-2,14,-568,650,-1218,-41
,141,2023-10-27 10:44:07.31,56,-232,-2050,-2,-5,16,-371,448,-819,-38
,142,2023-10-27 10:44:07.32,59,-228,-2046,-4,-7,16,-567,650,-1217,-41
,143,2023-10-27 10:44:07.33,53,-231,-2046,-6,-4,18,-377,444,-821,-33
,144,2023-10-27 10:44:07.34,55,-230,-2047,-4,-7,19,-572,651,-1223,-39
,145,2023-10-27 10:44:07.35,46,-227,-2050,-5,-1,21,-368,441,-809,-36
,146,2023-10-27 10:44:07.36,46,-226,-2054,-6,-2,24,-575,638,-1213,-31
,147,2023-10-27 10:44:07.37,59,-228,-2047,-4,-1,26,-368,446,-814,-39
,148,2023-10-27 10:44:07.38,56,-221,-2045,-3,-1,30,-566,649,-1215,-41
,149,2023-10-27 10:44:07.39,37,-219,-2044,-8,-1,28,-364,449,-813,-42
,150,2023-10-27 10:44:07.40,53,-223,-2047,-7,1,32,-568,665,-1233,-48
,151,2023-10-27 10:44:07.41,56,-221,-2053,-9,7,32,-367,449,-816,-41
,152,2023-10-27 10:44:07.42,60,-218,-2047,-12,13,36,-568,672,-1240,-52
,153,2023-10-27 10:44:07.43,56,-228,-2059,-13,11,40,-365,452,-817,-43
,154,2023-10-27 10:44:07.44,59,-221,-2055,-12,14,40,-568,667,-1235,-49
,155,2023-10-27 10:44:07.45,63,-216,-2056,-11,14,47,-372,450,-822,-39
,156,2023-10-27 10:44:07.46,59,-220,-2057,-15,9,50,-573,675,-1248,-51
,157,2023-10-27 10:44:07.47,59,-202,-2067,-13,12,51,-369,445,-814,-38
,158,2023-10-27 10:44:07.48,52,-201,-2063,-12,10,53,-572,658,-1230,-43
,159,2023-10-27 10:44:07.49,61,-202,-2062,-10,2,52,-370,431,-801,-30
,160,2023-10-27 10:44:07.50,50,-205,-2068,-4,-2,51,-568,651,-1219,-41
,161,2023-10-27 10:44:07.51,53,-203,-2056,-2,-4,49,-373,434,-807,-30
,162,2023-10-27 10:44:07.52,49,-212,-2059,0,-1,48,-570,661,-1231,-45
,163,2023-10-27 10:44:07.53,56,-217,-2060,7,-5,44,-369,437,-806,-34
,164,2023-10-27 10:44:07.54,55,-202,-2052,17,-4,40,-567,660,-1227,-46
,165,2023-10-27 10:44:07.55,63,-201,-2052,16,-4,36,-371,440,-811,-34
,166,2023-10-27 10:44:07.56,43,-204,-2056,18,4,39,-565,665,-1230,-50
,167,2023-10-27 10:44:07.57,52,-199,-2044,20,2,33,-371,445,-816,-37
,168,2023-10-27 10:44:07.58,48,-203,-2041,18,2,33,-568,670,-1238,-51
,169,2023-10-27 10:44:07.59,55,-215,-2057,14,14,30,-374,451,-825,-38
,170,2023-10-27 10:44:07.60,48,-217,-2057,17,15,27,-564,673,-1237,-54
,171,2023-10-27 10:44:07.61,62,-218,-2045,20,10,20,-377,450,-827,-36
,172,2023-10-27 10:44:07.62,59,-224,-2046,27,20,18,-568,666,-1234,-49
,173,2023-10-27 10:44:07.63,63,-210,-2042,41,18,11,-380,428,-808,-24
,174,2023-10-27 10:44:07.64,61,-216,-2057,39,23,2,-572,645,-1217,-36
,175,2023-10-27 10:44:07.65,65,-202,-2068,37,18,-5,-386,437,-823,-25
,176,2023-10-27 10:44:07.66,62,-222,-2066,33,8,-10,-567,660,-1227,-46
,177,2023-10-27 10:44:07.67,72,-215,-2062,37,-5,-16,-383,442,-825,-29
,178,2023-10-27 10:44:07.68,57,-214,-2057,28,-8,-18,-572,656,-1228,-42
,179,2023-10-27 10:44:07.69,63,-222,-2053,26,-21,-19,-386,450,-836,-32
,180,2023-10-27 10:44:07.70,65,-213,-2055,22,-21,-21,-564,670,-1234,-53
,181,2023-10-27 10:44:07.71,66,-215,-2041,11,-19,-17,-385,454,-839,-34
,182,2023-10-27 10:44:07.72,62,-232,-2043,7,-16,-15,-560,658,-1218,-49
,183,2023-10-27 10:44:07.73,61,-238,-2040,6,-15,-13,-388,450,-838,-31
,184,2023-10-27 10:44:07.74,61,-236,-2050,8,-19,-5,-554,657,-1211,-51
,185,2023-10-27 10:44:07.75,54,-224,-2057,8,-16,1,-383,451,-834,-34
,186,2023-10-27 10:44:07.76,50,-233,-2045,4,-12,2,-547,658,-1205,-55
,187,2023-10-27 10:44:07.77,52,-240,-2040,5,-14,7,-392,440,-832,-24
,188,2023-10-27 10:44:07.78,33,-233,-2053,10,-9,13,-550,659,-1209,-54
,189,2023-10-27 10:44:07.79,55,-231,-2055,5,-10,17,-391,457,-848,-33
,190,2023-10-27 10:44:07.80,52,-219,-2049,8,-1,20,-543,660,-1203,-58
,191,2023-10-27 10:44:07.81,46,-224,-2056,9,2,20,-397,466,-863,-34
,192,2023-10-27 10:44:07.82,53,-226,-2055,11,-2,24,-544,667,-1211,-61
,193,2023-10-27 10:44:07.83,52,-227,-2045,10,-3,24,-396,470,-866,-37
,194,2023-10-27 10:44:07.84,58,-215,-2050,10,-6,28,-545,662,-1207,-58
,195,2023-10-27 10:44:07.85,48,-227,-2044,3,1,28,-404,466,-870,-31
,196,2023-10-27 10:44:07.86,56,-229,-2052,5,-1,30,-541,646,-1187,-52
,197,2023-10-27 10:44:07.87,61,-223,-2040,13,-5,31,-405,465,-870,-30
,198,2023-10-27 10:44:07.88,59,-212,-2045,10,-4,30,-540,651,-1191,-55
,199,2023-10-27 10:44:07.89,50,-215,-2045,5,4,27,-411,472,-883,-30
,200,2023-10-27 10:44:07.90,43,-212,-2053,2,5,26,-535,648,-1183,-56
,201,2023-10-27 10:44:07.91,50,-212,-2059,-2,5,26,-411,464,-875,-26
,202,2023-10-27 10:44:07.92,46,-214,-2050,-4,2,23,-530,641,-1171,-55
,203,2023-10-27 10:44:07.93,50,-212,-2060,-8,1,24,-415,473,-888,-29
,204,2023-10-27 10:44:07.94,41,-204,-2048,-5,-2,25,-530,638,-1168,-54
,205,2023-10-27 10:44:07.95,42,-219,-2054,1,-6,25,-418,483,-901,-32
,206,2023-10-27 10:44:07.96,50,-211,-2041,8,-7,23,-525,645,-1170,-60
,207,2023-10-27 10:44:07.97,53,-209,-2038,9,-1,21,-423,478,-901,-27
,208,2023-10-27 10:44:07.98,49,-215,-2046,4,4,19,-516,632,-1148,-58
,209,2023-10-27 10:44:07.99,50,-219,-2054,7,3,17,-418,484,-902,-33
,210,2023-10-27 10:44:08.00,56,-196,-2056,11,5,16,-511,637,-1148,-63
,211,2023-10-27 10:44:08.01,54,-205,-2048,13,4,16,-425,492,-917,-33
,212,2023-10-27 10:44:08.02,57,-215,-2055,12,7,16,-509,626,-1135,-58
,213,2023-10-27 10:44:08.03,61,-206,-2054,9,4,15,-430,492,-922,-31
,214,2023-10-27 10:44:08.04,64,-230,-2058,7,3,17,-503,627,-1130,-62
,215,2023-10-27 10:44:08.05,50,-226,-2058,17,5,22,-430,506,-936,-38
,216,2023-10-27 10:44:08.06,45,-228,-2052,23,-2,27,-501,630,-1131,-64
,217,2023-10-27 10:44:08.07,44,-226,-2049,26,-7,29,-437,500,-937,-31
,218,2023-10-27 10:44:08.08,52,-225,-2054,26,-3,36,-492,617,-1109,-62
,219,2023-10-27 10:44:08.09,56,-214,-2057,27,-3,38,-442,498,-940,-28
,220,2023-10-27 10:44:08.10,51,-218,-2047,25,-2,38,-491,616,-1107,-62
,221,2023-10-27 10:44:08.11,51,-218,-2043,20,0,41,-444,513,-957,-34
,222,2023-10-27 10:44:08.12,55,-216,-2051,17,4,40,-484,616,-1100,-66
,223,2023-10-27 10:44:08.13,48,-217,-2058,15,6,39,-449,516,-965,-33
,224,2023-10-27 10:44:08.14,50,-217,-2055,16,3,40,-487,608,-1095,-60
,225,2023-10-27 10:44:08.15,55,-219,-2059,17,2,36,-458,507,-965,-24
,226,2023-10-27 10:44:08.16,49,-225,-2043,20,0,36,-483,591,-1074,-54
,227,2023-10-27 10:44:08.17,55,-225,-2054,23,-5,34,-455,521,-976,-33
,228,2023-10-27 10:44:08.18,41,-235,-2054,25,-7,31,-475,595,-1070,-60
,229,2023-10-27 10:44:08.19,54,-232,-2050,27,-7,31,-458,536,-994,-39
,230,2023-10-27 10:44:08.20,44,-231,-2047,30,-9,31,-471,602,-1073,-65
,231,2023-10-27 10:44:08.21,51,-229,-2044,31,-8,28,-462,524,-986,-31
,232,2023-10-27 10:44:08.22,52,-237,-2051,30,-7,28,-469,570,-1039,-50
,233,2023-10-27 10:44:08.23,60,-233,-2058,28,-3,27,-466,522,-988,-28
,234,2023-10-27 10:44:08.24,51,-231,-2052,23,-2,27,-457,580,-1037,-61
,235,2023-10-27 10:44:08.25,54,-237,-2055,18,5,23,-468,527,-995,-29
,236,2023-10-27 10:44:08.26,58,-230,-2048,14,7,24,-453,573,-1026,-60
,237,2023-10-27 10:44:08.27,44,-229,-2057,10,5,24,-468,538,-1006,-35
,238,2023-10-27 10:44:08.28,53,-236,-2052,7,5,21,-451,571,-1022,-60
,239,2023-10-27 10:44:08.29,48,-227,-2068,8,0,19,-476,543,-1019,-33
,240,2023-10-27 10:44:08.30,51,-221,-2058,4,0,21,-445,576,-1021,-65
,241,2023-10-27 10:44:08.31,46,-226,-2056,4,0,20,-478,557,-1035,-39
,242,2023-10-27 10:44:08.32,57,-239,-2050,0,3,21,-441,578,-1019,-68
,243,2023-10-27 10:44:08.33,34,-225,-2050,-1,5,22,-481,560,-1041,-39
,244,2023-10-27 10:44:08.34,50,-220,-2045,-7,10,13,-434,565,-999,-65
,245,2023-10-27 10:44:08.35,54,-275,-2042,-14,20,25,-484,576,-1060,-46
,246,2023-10-27 10:44:08.36,52,-228,-2045,-3,20,35,-434,577,-1011,-71
,247,2023-10-27 10:44:08.37,50,-235,-2030,10,12,37,-492,576,-1068,-42
,248,2023-10-27 10:44:08.38,56,-197,-2022,7,18,44,-433,560,-993,-63
,249,2023-10-27 10:44:08.39,69,-244,-2048,-3,25,41,-491,569,-1060,-39
,250,2023-10-27 10:44:08.40,65,-220,-2054,-10,26,45,-420,552,-972,-66
,251,2023-10-27 10:44:08.41,60,-211,-2056,-4,21,42,-492,578,-1070,-43
,252,2023-10-27 10:44:08.42,46,-209,-2053,-1,21,39,-420,553,-973,-66
,253,2023-10-27 10:44:08.43,61,-240,-2080,-1,19,39,-499,582,-1081,-41
,254,2023-10-27 10:44:08.44,42,-215,-2068,0,5,43,-420,542,-962,-61
,255,2023-10-27 10:44:08.45,52,-218,-2074,11,-9,43,-505,581,-1086,-38
,256,2023-10-27 10:44:08.46,60,-223,-2056,15,-13,44,-418,539,-957,-60
,257,2023-10-27 10:44:08.47,52,-214,-2056,18,-18,47,-508,591,-1099,-41
,258,2023-10-27 10:44:08.48,49,-209,-2038,22,-21,46,-415,537,-952,-61
,259,2023-10-27 10:44:08.49,45,-204,-2038,21,-21,42,-510,597,-1107,-43
,260,2023-10-27 10:44:08.50,39,-195,-2042,15,-18,37,-420,530,-950,-55
,261,2023-10-27 10:44:08.51,39,-198,-2057,11,-16,33,-518,593,-1111,-37
,262,2023-10-27 10:44:08.52,46,-199,-2055,5,-16,25,-405,521,-926,-58
,263,2023-10-27 10:44:08.53,29,-204,-2062,-1,-16,21,-500,575,-1075,-37
,264,2023-10-27 10:44:08.54,31,-204,-2059,-3,-10,15,-392,479,-871,-43
