// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:56:07.32,44,-297,-2033,12,0,-1,-421,-679,258,550
,2,2023-10-27 11:56:07.33,38,-306,-2039,14,-4,-1,-467,-692,225,579
,3,2023-10-27 11:56:07.34,34,-311,-2026,12,-2,6,-417,-667,250,542
,4,2023-10-27 11:56:07.35,39,-302,-2035,12,-6,8,-465,-694,229,579
,5,2023-10-27 11:56:07.36,36,-308,-2037,8,2,13,-410,-667,257,538
,6,2023-10-27 11:56:07.37,36,-304,-2032,4,0,10,-470,-703,233,586
,7,2023-10-27 11:56:07.38,52,-300,-2043,2,13,14,-408,-667,259,537
,8,2023-10-27 11:56:07.39,45,-297,-2049,3,10,15,-474,-707,233,590
,9,2023-10-27 11:56:07.40,42,-301,-2047,1,6,17,-403,-669,266,536
,10,2023-10-27 11:56:07.41,46,-304,-2044,2,1,13,-471,-712,241,591
,11,2023-10-27 11:56:07.42,42,-302,-2035,6,-7,15,-397,-665,268,531
,12,2023-10-27 11:56:07.43,44,-300,-2038,10,-10,18,-476,-709,233,592
,13,2023-10-27 11:56:07.44,37,-304,-2034,16,-15,15,-405,-656,251,530
,14,2023-10-27 11:56:07.45,34,-294,-2035,19,-7,18,-481,-705,224,593
,15,2023-10-27 11:56:07.46,30,-299,-2028,20,-10,16,-398,-643,245,520
,16,2023-10-27 11:56:07.47,38,-305,-2033,22,-11,18,-479,-715,236,597
,17,2023-10-27 11:56:07.48,32,-307,-2028,23,-10,16,-393,-655,262,524
,18,2023-10-27 11:56:07.49,33,-307,-2034,25,-3,21,-481,-719,238,600
,19,2023-10-27 11:56:07.50,27,-312,-2040,23,-3,22,-394,-649,255,521
,20,2023-10-27 11:56:07.51,39,-303,-2040,23,-8,25,-484,-709,225,596
,21,2023-10-27 11:56:07.52,43,-302,-2042,22,-4,31,-391,-640,249,515
,22,2023-10-27 11:56:07.53,30,-296,-2042,17,-8,25,-484,-717,233,600
,23,2023-10-27 11:56:07.54,24,-300,-2049,15,-17,25,-392,-645,253,518
,24,2023-10-27 11:56:07.55,35,-297,-2050,12,-20,21,-487,-724,237,605
,25,2023-10-27 11:56:07.56,37,-296,-2049,11,-20,21,-391,-641,250,516
,26,2023-10-27 11:56:07.57,26,-295,-2040,8,-21,19,-490,-730,240,610
,27,2023-10-27 11:56:07.58,27,-292,-2031,5,-17,20,-385,-641,256,513
,28,2023-10-27 11:56:07.59,24,-296,-2029,4,-16,15,-490,-727,237,608
,29,2023-10-27 11:56:07.60,34,-291,-2028,0,-12,11,-385,-634,249,509
,30,2023-10-27 11:56:07.61,27,-295,-2022,-6,-12,5,-496,-715,219,605
,31,2023-10-27 11:56:07.62,34,-298,-2028,-9,-3,1,-389,-625,236,507
,32,2023-10-27 11:56:07.63,26,-298,-2028,-8,9,5,-493,-731,238,612
,33,2023-10-27 11:56:07.64,34,-306,-2028,-11,15,6,-383,-639,256,511
,34,2023-10-27 11:56:07.65,35,-304,-2040,-9,8,8,-492,-736,244,614
,35,2023-10-27 11:56:07.66,27,-304,-2040,-6,8,6,-376,-630,254,503
,36,2023-10-27 11:56:07.67,26,-312,-2043,-4,-5,8,-490,-735,245,612
,37,2023-10-27 11:56:07.68,25,-306,-2041,1,-2,13,-376,-629,253,502
,38,2023-10-27 11:56:07.69,16,-301,-2039,5,-5,16,-499,-729,230,614
,39,2023-10-27 11:56:07.70,34,-302,-2027,8,-5,18,-376,-618,242,497
,40,2023-10-27 11:56:07.71,36,-299,-2026,14,-1,20,-493,-733,240,613
,41,2023-10-27 11:56:07.72,27,-301,-2024,19,1,17,-375,-626,251,500
,42,2023-10-27 11:56:07.73,38,-296,-2033,22,2,16,-493,-735,242,614
,43,2023-10-27 11:56:07.74,31,-307,-2035,22,5,13,-374,-621,247,497
,44,2023-10-27 11:56:07.75,34,-306,-2039,21,9,13,-494,-742,248,618
,45,2023-10-27 11:56:07.76,21,-299,-2043,17,18,15,-375,-623,248,499
,46,2023-10-27 11:56:07.77,33,-298,-2043,10,16,16,-496,-741,245,618
,47,2023-10-27 11:56:07.78,32,-294,-2033,7,17,19,-370,-616,246,493
,48,2023-10-27 11:56:07.79,21,-289,-2039,2,10,15,-498,-741,243,619
,49,2023-10-27 11:56:07.80,27,-302,-2040,-1,6,12,-374,-615,241,494
,50,2023-10-27 11:56:07.81,21,-290,-2047,-4,2,11,-499,-743,244,621
,51,2023-10-27 11:56:07.82,35,-294,-2048,-4,3,12,-375,-616,241,495
,52,2023-10-27 11:56:07.83,32,-286,-2042,-3,9,13,-504,-727,223,615
,53,2023-10-27 11:56:07.84,25,-293,-2036,-6,7,11,-378,-604,226,491
,54,2023-10-27 11:56:07.85,21,-287,-2037,-3,6,11,-501,-746,245,623
,55,2023-10-27 11:56:07.86,24,-291,-2039,-2,7,8,-376,-623,247,499
,56,2023-10-27 11:56:07.87,25,-292,-2034,-1,5,10,-502,-754,252,628
,57,2023-10-27 11:56:07.88,26,-296,-2034,2,7,8,-374,-614,240,494
,58,2023-10-27 11:56:07.89,23,-298,-2032,4,2,9,-508,-749,241,628
,59,2023-10-27 11:56:07.90,27,-296,-2039,4,7,9,-376,-608,232,492
,60,2023-10-27 11:56:07.91,29,-300,-2024,8,5,10,-506,-752,246,629
,61,2023-10-27 11:56:07.92,25,-303,-2027,10,14,14,-372,-616,244,494
,62,2023-10-27 11:56:07.93,30,-303,-2029,15,17,13,-501,-757,256,629
,63,2023-10-27 11:56:07.94,27,-298,-2031,13,15,15,-367,-616,249,491
,64,2023-10-27 11:56:07.95,24,-309,-2036,16,14,13,-504,-751,247,627
,65,2023-10-27 11:56:07.96,34,-302,-2034,21,17,16,-379,-614,235,496
,66,2023-10-27 11:56:07.97,44,-296,-2034,21,8,14,-506,-761,255,633
,67,2023-10-27 11:56:07.98,41,-302,-2034,20,9,13,-374,-617,243,495
,68,2023-10-27 11:56:07.99,44,-307,-2034,23,3,11,-501,-744,243,622
,69,2023-10-27 11:56:08.00,36,-312,-2031,27,-1,9,-376,-601,225,488
,70,2023-10-27 11:56:08.01,40,-310,-2039,31,-5,10,-502,-751,249,626
,71,2023-10-27 11:56:08.02,34,-309,-2038,29,-5,6,-375,-615,240,495
,72,2023-10-27 11:56:08.03,39,-311,-2045,27,-9,7,-502,-764,262,633
,73,2023-10-27 11:56:08.04,26,-319,-2045,24,-15,8,-370,-617,247,493
,74,2023-10-27 11:56:08.05,38,-313,-2037,26,-21,11,-489,-759,270,624
,75,2023-10-27 11:56:08.06,23,-323,-2034,24,-21,14,-361,-611,250,486
,76,2023-10-27 11:56:08.07,29,-321,-2035,26,-19,14,-484,-740,256,612
,77,2023-10-27 11:56:08.08,22,-322,-2034,29,-25,17,-354,-597,243,475
,78,2023-10-27 11:56:08.09,25,-322,-2041,34,-28,17,-472,-745,273,608
,79,2023-10-27 11:56:08.10,18,-300,-2051,32,-15,19,-355,-607,252,481
,80,2023-10-27 11:56:08.11,22,-297,-2042,17,-4,14,-480,-748,268,614
,81,2023-10-27 11:56:08.12,29,-294,-2038,3,4,8,-367,-607,240,487
,82,2023-10-27 11:56:08.13,29,-298,-2035,-2,-3,3,-492,-753,261,622
,83,2023-10-27 11:56:08.14,24,-299,-2031,-4,-5,3,-372,-610,238,491
,84,2023-10-27 11:56:08.15,21,-291,-2034,-6,-5,-1,-489,-754,265,621
,85,2023-10-27 11:56:08.16,24,-293,-2036,-15,9,1,-368,-611,243,489
,86,2023-10-27 11:56:08.17,15,-300,-2037,-28,25,-2,-484,-752,268,618
,87,2023-10-27 11:56:08.18,20,-310,-2035,-27,18,3,-368,-609,241,488
,88,2023-10-27 11:56:08.19,32,-295,-2033,-19,4,8,-483,-740,257,611
,89,2023-10-27 11:56:08.20,26,-304,-2019,-12,5,9,-372,-609,237,490
,90,2023-10-27 11:56:08.21,33,-302,-2021,-13,19,15,-490,-745,255,617
,91,2023-10-27 11:56:08.22,33,-307,-2019,-12,35,14,-385,-619,234,502
,92,2023-10-27 11:56:08.23,30,-311,-2017,-4,37,19,-492,-755,263,623
,93,2023-10-27 11:56:08.24,32,-303,-2037,12,38,22,-381,-616,235,498
,94,2023-10-27 11:56:08.25,32,-298,-2032,18,41,24,-486,-745,259,615
,95,2023-10-27 11:56:08.26,47,-295,-2040,11,47,19,-384,-605,221,494
,96,2023-10-27 11:56:08.27,50,-287,-2039,4,51,17,-486,-734,248,610
,97,2023-10-27 11:56:08.28,57,-296,-2041,2,52,18,-380,-609,229,494
,98,2023-10-27 11:56:08.29,47,-292,-2053,4,45,15,-480,-753,273,616
,99,2023-10-27 11:56:08.30,43,-288,-2052,1,34,9,-377,-623,246,500
,100,2023-10-27 11:56:08.31,46,-291,-2052,1,18,2,-474,-747,273,610
,101,2023-10-27 11:56:08.32,51,-286,-2054,0,10,-2,-379,-621,242,500
,102,2023-10-27 11:56:08.33,63,-283,-2045,-2,4,-7,-474,-744,270,609
,103,2023-10-27 11:56:08.34,53,-287,-2048,-4,-1,-9,-381,-624,243,502
,104,2023-10-27 11:56:08.35,44,-298,-2049,2,-7,-12,-468,-746,278,607
,105,2023-10-27 11:56:08.36,44,-302,-2042,6,-20,-16,-386,-626,240,506
,106,2023-10-27 11:56:08.37,36,-296,-2043,9,-27,-9,-475,-744,269,609
,107,2023-10-27 11:56:08.38,35,-309,-2044,9,-26,-2,-390,-620,230,505
,108,2023-10-27 11:56:08.39,30,-312,-2032,10,-27,6,-469,-733,264,601
,109,2023-10-27 11:56:08.40,33,-313,-2028,11,-27,12,-384,-621,237,502
,110,2023-10-27 11:56:08.41,29,-310,-2021,10,-21,19,-467,-739,272,603
,111,2023-10-27 11:56:08.42,19,-313,-2026,5,-14,26,-390,-628,238,509
,112,2023-10-27 11:56:08.43,19,-301,-2024,5,-11,27,-467,-736,269,601
,113,2023-10-27 11:56:08.44,27,-311,-2028,4,-9,27,-393,-636,243,514
