// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:24:44.80,209,-87,-2059,153,-39,25,601,803,-202,-702
,2,2023-10-27 12:24:44.81,209,-100,-2047,154,-55,21,478,568,-90,-523
,3,2023-10-27 12:24:44.82,205,-105,-2038,162,-56,24,588,794,-206,-691
,4,2023-10-27 12:24:44.83,199,-123,-2048,174,-56,23,487,566,-79,-526
,5,2023-10-27 12:24:44.84,199,-127,-2050,179,-60,21,586,793,-207,-689
,6,2023-10-27 12:24:44.85,202,-133,-2037,191,-70,25,493,578,-85,-535
,7,2023-10-27 12:24:44.86,207,-144,-2041,202,-69,24,569,797,-228,-683
,8,2023-10-27 12:24:44.87,191,-148,-2042,209,-81,24,488,583,-95,-535
,9,2023-10-27 12:24:44.88,200,-148,-2027,210,-85,29,562,793,-231,-677
,10,2023-10-27 12:24:44.89,191,-152,-2033,209,-87,31,500,592,-92,-546
,11,2023-10-27 12:24:44.90,191,-167,-2042,204,-93,36,552,794,-242,-673
,12,2023-10-27 12:24:44.91,184,-168,-2037,203,-101,39,500,589,-89,-544
,13,2023-10-27 12:24:44.92,187,-181,-2042,202,-99,46,545,785,-240,-665
,14,2023-10-27 12:24:44.93,166,-186,-2041,197,-109,48,511,594,-83,-552
,15,2023-10-27 12:24:44.94,165,-188,-2048,193,-115,54,536,792,-256,-664
,16,2023-10-27 12:24:44.95,173,-195,-2054,187,-119,55,518,610,-92,-564
,17,2023-10-27 12:24:44.96,169,-197,-2039,182,-125,62,526,790,-264,-658
,18,2023-10-27 12:24:44.97,167,-196,-2028,178,-131,65,528,610,-82,-569
,19,2023-10-27 12:24:44.98,174,-197,-2031,167,-125,64,522,786,-264,-654
,20,2023-10-27 12:24:44.99,171,-198,-2024,153,-116,64,542,628,-86,-585
,21,2023-10-27 12:24:45.00,173,-198,-2013,142,-110,61,513,776,-263,-644
,22,2023-10-27 12:24:45.01,172,-202,-2012,134,-99,60,539,618,-79,-578
,23,2023-10-27 12:24:45.02,157,-203,-2023,120,-89,60,493,762,-269,-627
,24,2023-10-27 12:24:45.03,167,-204,-2037,106,-79,57,544,632,-88,-588
,25,2023-10-27 12:24:45.04,153,-201,-2043,93,-69,60,498,773,-275,-635
,26,2023-10-27 12:24:45.05,158,-196,-2046,79,-73,62,547,630,-83,-588
