// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:58:38.22,121,-264,-2042,25,-127,110,-282,-626,344,454
,2,2023-10-27 11:58:38.23,113,-239,-1992,60,-128,123,-374,-766,392,570
,3,2023-10-27 11:58:38.24,119,-221,-1994,73,-111,125,-258,-621,363,439
,4,2023-10-27 11:58:38.25,112,-223,-1995,81,-91,127,-351,-764,413,557
,5,2023-10-27 11:58:38.26,102,-236,-2020,94,-82,127,-250,-615,365,432
,6,2023-10-27 11:58:38.27,86,-254,-2042,107,-69,135,-356,-758,402,557
,7,2023-10-27 11:58:38.28,79,-267,-2064,116,-71,145,-254,-611,357,432
,8,2023-10-27 11:58:38.29,80,-274,-2060,123,-78,159,-356,-761,405,558
,9,2023-10-27 11:58:38.30,71,-260,-2054,120,-76,172,-260,-617,357,438
,10,2023-10-27 11:58:38.31,69,-264,-2037,116,-83,181,-367,-765,398,566
,11,2023-10-27 11:58:38.32,73,-265,-2015,117,-75,186,-258,-610,352,434
,12,2023-10-27 11:58:38.33,85,-249,-2003,114,-57,189,-371,-768,397,569
,13,2023-10-27 11:58:38.34,99,-245,-1984,104,-25,180,-272,-622,350,447
,14,2023-10-27 11:58:38.35,107,-232,-2009,91,3,164,-380,-776,396,578
,15,2023-10-27 11:58:38.36,104,-250,-2024,86,15,151,-278,-626,348,452
,16,2023-10-27 11:58:38.37,101,-265,-2053,91,7,137,-390,-776,386,583
,17,2023-10-27 11:58:38.38,90,-276,-2063,93,-7,127,-288,-631,343,459
,18,2023-10-27 11:58:38.39,99,-264,-2070,87,-16,121,-383,-774,391,578
,19,2023-10-27 11:58:38.40,85,-251,-2078,76,-23,110,-283,-634,351,458
,20,2023-10-27 11:58:38.41,79,-262,-2092,57,-29,110,-396,-783,387,589
,21,2023-10-27 11:58:38.42,60,-268,-2104,41,-48,104,-295,-640,345,467
,22,2023-10-27 11:58:38.43,60,-287,-2105,30,-72,107,-385,-778,393,581
,23,2023-10-27 11:58:38.44,43,-288,-2080,20,-84,114,-282,-634,352,458
,24,2023-10-27 11:58:38.45,40,-302,-2052,11,-91,123,-378,-771,393,574
,25,2023-10-27 11:58:38.46,43,-300,-2032,10,-92,126,-284,-632,348,458
,26,2023-10-27 11:58:38.47,39,-298,-2012,9,-81,137,-386,-772,386,579
,27,2023-10-27 11:58:38.48,26,-289,-2005,9,-76,143,-301,-642,341,471
,28,2023-10-27 11:58:38.49,29,-288,-1998,13,-74,156,-403,-783,380,593
,29,2023-10-27 11:58:38.50,14,-285,-2010,16,-78,166,-312,-649,337,480
,30,2023-10-27 11:58:38.51,-4,-280,-2034,15,-79,181,-399,-782,383,590
,31,2023-10-27 11:58:38.52,3,-277,-2034,8,-87,192,-314,-650,336,482
,32,2023-10-27 11:58:38.53,-13,-269,-2048,-5,-93,206,-406,-787,381,596
,33,2023-10-27 11:58:38.54,1,-264,-2045,-22,-90,220,-320,-655,335,487
,34,2023-10-27 11:58:38.55,-18,-251,-2042,-32,-98,227,-400,-788,388,594
,35,2023-10-27 11:58:38.56,-11,-246,-2032,-37,-108,229,-310,-652,342,481
,36,2023-10-27 11:58:38.57,-19,-236,-2029,-34,-102,226,-392,-782,390,587
,37,2023-10-27 11:58:38.58,2,-222,-2026,-31,-92,219,-313,-655,342,484
,38,2023-10-27 11:58:38.59,9,-206,-2025,-30,-66,202,-404,-784,380,594
,39,2023-10-27 11:58:38.60,18,-204,-2021,-27,-37,178,-326,-663,337,494
,40,2023-10-27 11:58:38.61,1,-208,-2016,-23,-6,155,-403,-784,381,593
,41,2023-10-27 11:58:38.62,6,-228,-2044,-6,13,132,-324,-662,338,493
,42,2023-10-27 11:58:38.63,3,-242,-2036,18,20,112,-397,-780,383,588
,43,2023-10-27 11:58:38.64,22,-248,-2022,38,31,91,-324,-664,340,494
,44,2023-10-27 11:58:38.65,15,-260,-2019,58,38,75,-388,-776,388,582
,45,2023-10-27 11:58:38.66,18,-262,-2026,76,44,60,-315,-660,345,487
,46,2023-10-27 11:58:38.67,27,-274,-2031,85,44,47,-378,-769,391,573
,47,2023-10-27 11:58:38.68,34,-282,-2025,93,45,38,-319,-665,346,492
,48,2023-10-27 11:58:38.69,33,-273,-2017,92,33,30,-387,-776,389,581
,49,2023-10-27 11:58:38.70,43,-281,-2033,80,32,25,-326,-672,346,499
,50,2023-10-27 11:58:38.71,50,-289,-2050,64,31,26,-383,-773,390,578
,51,2023-10-27 11:58:38.72,28,-298,-2044,46,22,30,-322,-669,347,495
,52,2023-10-27 11:58:38.73,50,-303,-2053,36,4,33,-367,-762,395,564
,53,2023-10-27 11:58:38.74,37,-308,-2049,23,-9,41,-312,-665,353,488
,54,2023-10-27 11:58:38.75,33,-306,-2060,15,-16,48,-365,-761,396,563
,55,2023-10-27 11:58:38.76,31,-307,-2059,5,-22,53,-315,-672,357,493
,56,2023-10-27 11:58:38.77,30,-310,-2056,0,-30,62,-366,-762,396,564
,57,2023-10-27 11:58:38.78,25,-305,-2050,3,-40,62,-320,-678,358,499
,58,2023-10-27 11:58:38.79,34,-290,-2048,1,-49,66,-378,-770,392,574
,59,2023-10-27 11:58:38.80,32,-270,-2051,1,-41,66,-327,-683,356,505
,60,2023-10-27 11:58:38.81,35,-256,-2041,-13,-22,58,-370,-763,393,566
,61,2023-10-27 11:58:38.82,41,-254,-2032,-23,-5,51,-320,-683,363,501
,62,2023-10-27 11:58:38.83,24,-258,-2032,-18,-12,42,-356,-755,399,555
,63,2023-10-27 11:58:38.84,28,-240,-2020,2,-38,36,-319,-682,363,500
,64,2023-10-27 11:58:38.85,28,-243,-2022,16,-44,24,-353,-751,398,552
,65,2023-10-27 11:58:38.86,27,-245,-2032,17,-35,15,-325,-688,363,506
,66,2023-10-27 11:58:38.87,34,-251,-2035,12,-18,3,-362,-755,393,558
,67,2023-10-27 11:58:38.88,23,-268,-2033,19,-8,-6,-343,-700,357,521
,68,2023-10-27 11:58:38.89,19,-289,-2032,35,-15,-12,-366,-756,390,561
,69,2023-10-27 11:58:38.90,25,-292,-2040,54,-32,-12,-341,-699,358,520
,70,2023-10-27 11:58:38.91,23,-295,-2045,63,-23,-11,-358,-752,394,555
,71,2023-10-27 11:58:38.92,12,-298,-2041,63,-15,-9,-342,-702,360,522
,72,2023-10-27 11:58:38.93,9,-308,-2036,60,-14,-9,-354,-747,393,550
,73,2023-10-27 11:58:38.94,20,-292,-2037,59,-6,-1,-331,-699,368,515
,74,2023-10-27 11:58:38.95,16,-296,-2045,49,3,0,-332,-737,405,534
,75,2023-10-27 11:58:38.96,17,-298,-2050,37,8,4,-322,-694,372,508
,76,2023-10-27 11:58:38.97,17,-305,-2054,32,3,8,-329,-730,401,529
,77,2023-10-27 11:58:38.98,0,-306,-2043,32,-6,13,-334,-700,366,517
,78,2023-10-27 11:58:38.99,8,-287,-2045,33,-13,15,-348,-740,392,544
,79,2023-10-27 11:58:39.00,11,-291,-2033,29,-9,15,-354,-715,361,534
,80,2023-10-27 11:58:39.01,6,-296,-2034,26,-5,17,-356,-741,385,548
,81,2023-10-27 11:58:39.02,9,-281,-2037,28,-5,16,-348,-713,365,530
,82,2023-10-27 11:58:39.03,-8,-276,-2025,20,10,13,-334,-728,394,531
,83,2023-10-27 11:58:39.04,-12,-272,-2025,17,5,11,-341,-710,369,525
,84,2023-10-27 11:58:39.05,19,-266,-2022,15,-1,11,-343,-728,385,535
,85,2023-10-27 11:58:39.06,2,-258,-2013,12,1,11,-364,-724,360,544
,86,2023-10-27 11:58:39.07,12,-245,-2015,0,3,5,-345,-727,382,536
,87,2023-10-27 11:58:39.08,15,-236,-2019,-6,10,3,-353,-721,368,537
,88,2023-10-27 11:58:39.09,-4,-240,-2052,-13,6,-1,-331,-717,386,524
,89,2023-10-27 11:58:39.10,-14,-264,-2082,-17,-8,-3,-358,-723,365,540
,90,2023-10-27 11:58:39.11,-14,-273,-2102,-12,-28,5,-338,-718,380,528
,91,2023-10-27 11:58:39.12,-25,-277,-2091,-5,-44,16,-368,-730,362,549
,92,2023-10-27 11:58:39.13,-34,-259,-2085,-8,-41,24,-345,-721,376,533
,93,2023-10-27 11:58:39.14,-33,-270,-2068,-9,-33,32,-368,-732,364,550
,94,2023-10-27 11:58:39.15,-34,-272,-2057,3,-36,40,-332,-718,386,525
,95,2023-10-27 11:58:39.16,-35,-258,-2041,22,-35,47,-368,-735,367,551
,96,2023-10-27 11:58:39.17,-26,-264,-2015,35,-23,46,-330,-713,383,521
,97,2023-10-27 11:58:39.18,-14,-269,-1993,46,2,45,-370,-737,367,553
,98,2023-10-27 11:58:39.19,-20,-271,-1986,59,27,39,-328,-708,380,518
,99,2023-10-27 11:58:39.20,-12,-280,-1968,76,55,36,-372,-741,369,556
,100,2023-10-27 11:58:39.21,-2,-282,-1961,91,75,24,-322,-705,383,513
,101,2023-10-27 11:58:39.22,17,-285,-1962,104,99,14,-370,-740,370,555
,102,2023-10-27 11:58:39.23,33,-271,-1975,101,146,2,-318,-699,381,508
,103,2023-10-27 11:58:39.24,37,-276,-1997,81,190,-18,-372,-743,371,557
,104,2023-10-27 11:58:39.25,59,-280,-2022,61,202,-34,-328,-702,374,515
,105,2023-10-27 11:58:39.26,76,-286,-2035,56,194,-44,-378,-750,372,564
,106,2023-10-27 11:58:39.27,81,-298,-2059,59,164,-52,-323,-701,378,512
,107,2023-10-27 11:58:39.28,75,-313,-2074,61,129,-50,-377,-753,376,565
,108,2023-10-27 11:58:39.29,84,-325,-2092,65,84,-50,-322,-697,375,509
,109,2023-10-27 11:58:39.30,75,-338,-2092,67,55,-41,-371,-752,381,561
,110,2023-10-27 11:58:39.31,96,-337,-2078,65,38,-29,-306,-687,381,496
,111,2023-10-27 11:58:39.32,86,-353,-2066,62,29,-15,-360,-746,386,553
,112,2023-10-27 11:58:39.33,88,-363,-2060,70,0,-6,-295,-679,384,487
,113,2023-10-27 11:58:39.34,86,-358,-2051,82,-21,13,-355,-746,391,550
,114,2023-10-27 11:58:39.35,59,-347,-2027,87,-37,38,-288,-672,384,480
,115,2023-10-27 11:58:39.36,56,-347,-2025,80,-34,52,-357,-745,388,551
,116,2023-10-27 11:58:39.37,53,-332,-2022,72,-34,62,-288,-666,378,477
,117,2023-10-27 11:58:39.38,41,-325,-2011,63,-31,71,-357,-744,387,550
,118,2023-10-27 11:58:39.39,35,-313,-2015,50,-28,75,-288,-662,374,475
,119,2023-10-27 11:58:39.40,43,-312,-2014,42,-19,76,-375,-753,378,564
,120,2023-10-27 11:58:39.41,41,-308,-2016,39,-21,73,-299,-666,367,482
,121,2023-10-27 11:58:39.42,39,-309,-2017,35,-20,66,-380,-756,376,568
,122,2023-10-27 11:58:39.43,40,-301,-2021,35,-11,59,-301,-663,362,482
,123,2023-10-27 11:58:39.44,33,-303,-2031,29,-3,50,-389,-760,371,574
