// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-20 13:45:07.41,271,-296,-2015,5,-11,15,-403,-628,225,515
,2,2023-10-20 13:45:07.42,270,-306,-2017,3,-6,20,-270,-637,367,453
,3,2023-10-20 13:45:07.43,262,-310,-2026,8,-3,28,-406,-699,293,552
,4,2023-10-20 13:45:07.44,260,-300,-2026,20,-10,25,-266,-694,428,480
,5,2023-10-20 13:45:07.45,275,-292,-2019,30,-7,24,-411,-710,299,560
,6,2023-10-20 13:45:07.46,272,-289,-2021,29,-3,19,-260,-681,421,470
,7,2023-10-20 13:45:07.47,279,-291,-2016,28,-5,11,-423,-691,268,557
,8,2023-10-20 13:45:07.48,274,-316,-2030,20,-2,13,-259,-699,440,479
,9,2023-10-20 13:45:07.49,266,-314,-2038,15,-4,21,-423,-720,297,571
,10,2023-10-20 13:45:07.50,262,-309,-2029,19,-4,19,-256,-669,413,462
,11,2023-10-20 13:45:07.51,271,-294,-2019,23,-3,23,-421,-655,234,538
,12,2023-10-20 13:45:07.52,259,-298,-2012,24,-4,26,-248,-672,424,460
,13,2023-10-20 13:45:07.53,263,-301,-2013,26,-3,22,-422,-692,270,557
,14,2023-10-20 13:45:07.54,267,-299,-2015,32,-2,20,-247,-690,443,468
,15,2023-10-20 13:45:07.55,269,-299,-2012,34,-1,21,-431,-683,252,557
,16,2023-10-20 13:45:07.56,265,-306,-2014,39,-1,24,-248,-694,446,471
,17,2023-10-20 13:45:07.57,272,-315,-2016,42,-1,28,-436,-692,256,564
,18,2023-10-20 13:45:07.58,271,-310,-2021,46,3,32,-246,-700,454,473
,19,2023-10-20 13:45:07.59,274,-299,-2015,51,7,39,-438,-687,249,562
,20,2023-10-20 13:45:07.60,265,-309,-2010,56,7,42,-238,-741,503,489
,21,2023-10-20 13:45:07.61,272,-314,-2006,64,11,48,-439,-730,291,584
,22,2023-10-20 13:45:07.62,270,-327,-2020,74,12,55,-238,-703,465,470
,23,2023-10-20 13:45:07.63,281,-331,-2020,79,12,61,-445,-660,215,552
,24,2023-10-20 13:45:07.64,276,-324,-2019,86,16,61,-241,-665,424,453
,25,2023-10-20 13:45:07.65,278,-327,-2017,90,16,59,-450,-648,198,549
,26,2023-10-20 13:45:07.66,283,-333,-2013,88,22,64,-244,-658,414,451
,27,2023-10-20 13:45:07.67,274,-342,-2023,88,21,72,-461,-635,174,548
,28,2023-10-20 13:45:07.68,278,-342,-2024,84,17,78,-241,-666,425,453
,29,2023-10-20 13:45:07.69,272,-333,-2026,81,20,79,-454,-649,195,551
,30,2023-10-20 13:45:07.70,275,-337,-2021,78,18,78,-232,-728,496,480
,31,2023-10-20 13:45:07.71,275,-325,-2014,73,23,77,-455,-702,247,578
,32,2023-10-20 13:45:07.72,274,-324,-2014,75,22,80,-234,-713,479,473
,33,2023-10-20 13:45:07.73,277,-331,-2019,80,15,71,-464,-655,191,559
,34,2023-10-20 13:45:07.74,283,-340,-2015,76,15,68,-238,-689,451,463
,35,2023-10-20 13:45:07.75,279,-350,-2017,76,16,67,-463,-653,190,558
,36,2023-10-20 13:45:07.76,269,-341,-2020,83,18,68,-235,-711,476,473
,37,2023-10-20 13:45:07.77,266,-347,-2020,99,14,61,-466,-668,202,567
,38,2023-10-20 13:45:07.78,263,-334,-2007,108,13,48,-237,-707,470,472
,39,2023-10-20 13:45:07.79,270,-344,-2009,103,12,44,-464,-642,178,553
,40,2023-10-20 13:45:07.80,254,-340,-2000,103,9,29,-234,-672,438,453
,41,2023-10-20 13:45:07.81,266,-347,-1993,99,13,23,-465,-623,158,544
,42,2023-10-20 13:45:07.82,266,-363,-1996,94,22,17,-236,-693,457,464
,43,2023-10-20 13:45:07.83,265,-379,-2000,82,28,17,-467,-638,171,552
,44,2023-10-20 13:45:07.84,270,-382,-2019,69,36,28,-228,-677,449,452
,45,2023-10-20 13:45:07.85,278,-362,-2021,56,38,31,-473,-625,152,549
,46,2023-10-20 13:45:07.86,270,-348,-2016,49,39,26,-233,-660,427,446
,47,2023-10-20 13:45:07.87,267,-349,-2015,36,50,17,-469,-596,127,532
,48,2023-10-20 13:45:07.88,277,-346,-2016,28,48,11,-236,-660,424,448
,49,2023-10-20 13:45:07.89,275,-350,-2005,27,46,7,-464,-607,143,535
,50,2023-10-20 13:45:07.90,275,-363,-2010,25,40,6,-229,-683,454,456
,51,2023-10-20 13:45:07.91,279,-366,-2013,22,40,9,-466,-620,154,543
,52,2023-10-20 13:45:07.92,285,-366,-2020,20,38,11,-232,-667,435,449
,53,2023-10-20 13:45:07.93,290,-364,-2023,19,39,12,-466,-596,130,531
,54,2023-10-20 13:45:07.94,287,-357,-2021,21,34,8,-228,-693,465,460
,55,2023-10-20 13:45:07.95,289,-347,-2014,23,30,3,-463,-626,163,544
,56,2023-10-20 13:45:07.96,273,-347,-2019,22,24,-2,-233,-665,432,449
,57,2023-10-20 13:45:07.97,296,-352,-2016,22,18,-5,-466,-592,126,529
,58,2023-10-20 13:45:07.98,291,-351,-2014,19,17,-6,-233,-730,497,481
,59,2023-10-20 13:45:07.99,287,-354,-2027,13,19,1,-462,-677,215,569
,60,2023-10-20 13:45:08.00,283,-355,-2017,17,17,-1,-225,-779,554,502
,61,2023-10-20 13:45:08.01,285,-358,-2013,15,10,-6,-456,-678,222,567
,62,2023-10-20 13:45:08.02,285,-359,-2007,13,9,-6,-234,-744,510,489
,63,2023-10-20 13:45:08.03,288,-365,-2018,6,8,-6,-461,-643,182,552
,64,2023-10-20 13:45:08.04,280,-364,-2017,1,7,-2,-234,-733,499,483
,65,2023-10-20 13:45:08.05,283,-359,-2019,4,9,4,-458,-633,175,545
,66,2023-10-20 13:45:08.06,299,-355,-2013,8,10,12,-236,-706,470,471
,67,2023-10-20 13:45:08.07,296,-368,-2007,5,19,24,-454,-610,156,532
,68,2023-10-20 13:45:08.08,300,-374,-2016,4,31,42,-238,-675,437,456
,69,2023-10-20 13:45:08.09,290,-370,-2009,15,33,54,-451,-572,121,511
,70,2023-10-20 13:45:08.10,290,-355,-2010,29,28,55,-244,-623,379,433
,71,2023-10-20 13:45:08.11,292,-337,-2003,37,26,53,-450,-546,96,498
,72,2023-10-20 13:45:08.12,294,-347,-2010,40,26,54,-239,-668,429,453
,73,2023-10-20 13:45:08.13,283,-365,-2011,37,29,61,-440,-588,148,514
,74,2023-10-20 13:45:08.14,292,-355,-2016,38,23,71,-244,-670,426,457
,75,2023-10-20 13:45:08.15,293,-356,-2024,38,19,76,-441,-588,147,514
,76,2023-10-20 13:45:08.16,289,-350,-2022,35,9,77,-247,-703,456,475
,77,2023-10-20 13:45:08.17,285,-350,-2019,32,7,76,-434,-623,189,528
,78,2023-10-20 13:45:08.18,295,-343,-2013,31,7,70,-248,-740,492,494
,79,2023-10-20 13:45:08.19,286,-338,-2015,31,5,60,-436,-636,200,536
,80,2023-10-20 13:45:08.20,293,-344,-2014,33,4,49,-245,-732,487,488
,81,2023-10-20 13:45:08.21,294,-349,-2004,30,0,43,-424,-631,207,527
,82,2023-10-20 13:45:08.22,279,-352,-2006,34,-2,35,-250,-727,477,488
,83,2023-10-20 13:45:08.23,293,-360,-2013,33,-8,33,-423,-612,189,517
,84,2023-10-20 13:45:08.24,282,-362,-2016,32,-11,35,-260,-677,417,468
,85,2023-10-20 13:45:08.25,287,-370,-2005,29,-11,39,-423,-595,172,509
,86,2023-10-20 13:45:08.26,281,-367,-2009,31,-6,38,-266,-746,480,506
,87,2023-10-20 13:45:08.27,277,-377,-2010,34,-5,46,-415,-632,217,523
,88,2023-10-20 13:45:08.28,271,-376,-2015,35,-1,50,-263,-684,421,473
,89,2023-10-20 13:45:08.29,286,-384,-2007,30,1,59,-410,-580,170,495
,90,2023-10-20 13:45:08.30,289,-385,-2014,23,9,66,-263,-718,455,490
,91,2023-10-20 13:45:08.31,280,-380,-2021,26,9,69,-405,-620,215,512
,92,2023-10-20 13:45:08.32,277,-376,-2018,27,2,73,-267,-667,400,467
,93,2023-10-20 13:45:08.33,288,-371,-2017,24,2,70,-399,-544,145,471
