// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-20 13:26:28.56,81,-54,-2039,22,24,74,846,-642,1488,-102
,2,2023-10-20 13:26:28.57,80,-33,-2059,15,24,75,702,-523,1225,-89
,3,2023-10-20 13:26:28.58,77,-44,-2064,4,18,65,844,-588,1432,-128
,4,2023-10-20 13:26:28.59,96,-40,-2054,5,12,61,654,-465,1119,-94
,5,2023-10-20 13:26:28.60,92,-51,-2048,2,16,57,795,-546,1341,-124
,6,2023-10-20 13:26:28.61,77,-55,-2064,-9,27,55,689,-451,1140,-119
,7,2023-10-20 13:26:28.62,84,-47,-2068,-9,20,56,837,-547,1384,-145
,8,2023-10-20 13:26:28.63,101,-31,-2073,-8,14,53,701,-452,1153,-124
,9,2023-10-20 13:26:28.64,109,-25,-2058,-11,11,45,821,-560,1381,-130
,10,2023-10-20 13:26:28.65,103,-25,-2069,-12,18,38,716,-457,1173,-129
,11,2023-10-20 13:26:28.66,106,-21,-2058,-11,28,37,837,-565,1402,-136
,12,2023-10-20 13:26:28.67,116,-30,-2062,-7,23,30,712,-468,1180,-122
,13,2023-10-20 13:26:28.68,118,-41,-2064,-7,25,27,821,-586,1407,-117
,14,2023-10-20 13:26:28.69,120,-53,-2077,0,27,38,731,-498,1229,-116
,15,2023-10-20 13:26:28.70,92,-41,-2072,13,20,47,844,-621,1465,-111
,16,2023-10-20 13:26:28.71,98,-44,-2054,23,11,47,739,-539,1278,-100
,17,2023-10-20 13:26:28.72,116,-44,-2053,22,6,49,813,-657,1470,-78
,18,2023-10-20 13:26:28.73,95,-36,-2061,17,6,55,667,-542,1209,-62
,19,2023-10-20 13:26:28.74,110,-26,-2049,15,2,55,762,-643,1405,-59
,20,2023-10-20 13:26:28.75,90,-38,-2043,11,1,55,688,-500,1188,-94
,21,2023-10-20 13:26:28.76,106,-38,-2041,8,6,56,795,-580,1375,-107
,22,2023-10-20 13:26:28.77,99,-46,-2053,7,12,56,670,-447,1117,-111
,23,2023-10-20 13:26:28.78,111,-63,-2048,6,10,60,760,-565,1325,-97
,24,2023-10-20 13:26:28.79,107,-70,-2046,21,9,70,631,-449,1080,-91
,25,2023-10-20 13:26:28.80,104,-66,-2044,33,8,77,728,-553,1281,-87
,26,2023-10-20 13:26:28.81,101,-49,-2040,36,9,81,648,-452,1100,-98
,27,2023-10-20 13:26:28.82,111,-53,-2053,38,9,81,749,-584,1333,-82
,28,2023-10-20 13:26:28.83,106,-41,-2063,43,-1,91,652,-463,1115,-94
,29,2023-10-20 13:26:28.84,116,-23,-2051,52,-8,81,730,-564,1294,-83
,30,2023-10-20 13:26:28.85,103,-26,-2051,64,-15,62,626,-469,1095,-78
,31,2023-10-20 13:26:28.86,111,-41,-2053,59,-11,56,709,-600,1309,-54
,32,2023-10-20 13:26:28.87,95,-47,-2061,55,-7,51,641,-498,1139,-71
,33,2023-10-20 13:26:28.88,89,-58,-2060,60,-10,45,718,-606,1324,-56
,34,2023-10-20 13:26:28.89,103,-54,-2048,65,-12,39,639,-496,1135,-71
,35,2023-10-20 13:26:28.90,108,-55,-2047,58,-3,36,710,-603,1313,-53
,36,2023-10-20 13:26:28.91,99,-57,-2047,45,9,39,656,-468,1124,-94
,37,2023-10-20 13:26:28.92,104,-63,-2043,32,20,43,717,-568,1285,-74
,38,2023-10-20 13:26:28.93,107,-76,-2039,28,21,46,662,-411,1073,-125
,39,2023-10-20 13:26:28.94,94,-61,-2032,18,31,46,706,-513,1219,-96
,40,2023-10-20 13:26:28.95,99,-69,-2050,15,32,45,645,-398,1043,-123
,41,2023-10-20 13:26:28.96,107,-64,-2052,22,31,46,683,-524,1207,-79
