// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:57:58.00,48,-230,-2049,4,16,23,-399,-741,342,570
,2,2023-10-27 11:57:58.01,53,-229,-2049,4,10,24,-343,-690,347,516
,3,2023-10-27 11:57:58.02,59,-230,-2050,6,6,28,-394,-737,343,565
,4,2023-10-27 11:57:58.03,47,-224,-2041,7,8,34,-334,-686,352,510
,5,2023-10-27 11:57:58.04,48,-215,-2049,6,7,34,-400,-745,345,572
,6,2023-10-27 11:57:58.05,33,-219,-2043,10,10,38,-335,-688,353,511
,7,2023-10-27 11:57:58.06,47,-227,-2046,15,18,44,-402,-747,345,574
,8,2023-10-27 11:57:58.07,51,-222,-2033,15,23,47,-331,-682,351,506
,9,2023-10-27 11:57:58.08,46,-219,-2040,15,29,48,-396,-744,348,570
,10,2023-10-27 11:57:58.09,44,-226,-2044,15,32,49,-325,-677,352,501
,11,2023-10-27 11:57:58.10,40,-220,-2045,14,32,49,-396,-747,351,571
,12,2023-10-27 11:57:58.11,49,-219,-2047,13,29,51,-333,-682,349,507
,13,2023-10-27 11:57:58.12,40,-217,-2050,12,29,50,-398,-748,350,573
,14,2023-10-27 11:57:58.13,36,-229,-2047,14,16,48,-323,-671,348,497
,15,2023-10-27 11:57:58.14,26,-222,-2055,26,-6,48,-401,-753,352,577
,16,2023-10-27 11:57:58.15,52,-217,-2049,31,-12,50,-324,-669,345,496
,17,2023-10-27 11:57:58.16,49,-211,-2050,17,7,49,-431,-738,307,584
,18,2023-10-27 11:57:58.17,60,-222,-2052,5,26,45,-324,-609,285,466
,19,2023-10-27 11:57:58.18,52,-234,-2043,7,18,43,-431,-729,298,580
,20,2023-10-27 11:57:58.19,49,-231,-2040,14,20,45,-363,-684,321,523
