// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:23:25.33,127,-41,-2066,-22,-24,16,307,392,-85,-349
,2,2023-10-27 12:23:25.34,127,-36,-2052,-18,-39,16,496,624,-128,-560
,3,2023-10-27 12:23:25.35,127,-42,-2046,-12,-29,17,321,400,-79,-360
,4,2023-10-27 12:23:25.36,123,-34,-2046,-10,-29,17,485,625,-140,-555
,5,2023-10-27 12:23:25.37,141,-36,-2055,-11,-25,14,313,405,-92,-359
,6,2023-10-27 12:23:25.38,131,-31,-2046,-7,-26,14,494,627,-133,-560
,7,2023-10-27 12:23:25.39,127,-41,-2051,0,-20,10,335,409,-74,-372
,8,2023-10-27 12:23:25.40,126,-39,-2052,8,-33,6,489,613,-124,-551
,9,2023-10-27 12:23:25.41,128,-47,-2057,11,-35,8,337,407,-70,-372
,10,2023-10-27 12:23:25.42,132,-51,-2039,20,-38,6,487,611,-124,-549
,11,2023-10-27 12:23:25.43,133,-49,-2053,37,-37,10,343,416,-73,-379
,12,2023-10-27 12:23:25.44,130,-57,-2045,47,-43,7,467,612,-145,-539
,13,2023-10-27 12:23:25.45,131,-51,-2046,46,-43,5,335,420,-85,-377
,14,2023-10-27 12:23:25.46,126,-46,-2039,47,-46,2,451,604,-153,-527
,15,2023-10-27 12:23:25.47,115,-42,-2051,52,-43,4,337,418,-81,-377
,16,2023-10-27 12:23:25.48,115,-43,-2051,50,-44,5,449,598,-149,-523
,17,2023-10-27 12:23:25.49,112,-38,-2056,43,-38,6,348,424,-76,-386
,18,2023-10-27 12:23:25.50,119,-41,-2056,40,-40,13,454,595,-141,-524
,19,2023-10-27 12:23:25.51,124,-37,-2046,34,-36,8,360,432,-72,-396
,20,2023-10-27 12:23:25.52,118,-40,-2064,26,-33,13,452,596,-144,-524
,21,2023-10-27 12:23:25.53,109,-26,-2067,15,-39,5,369,438,-69,-403
,22,2023-10-27 12:23:25.54,104,-34,-2060,8,-42,2,452,594,-142,-523
,23,2023-10-27 12:23:25.55,112,-39,-2072,7,-53,2,386,445,-59,-415
,24,2023-10-27 12:23:25.56,108,-38,-2062,-4,-48,6,455,591,-136,-523
,25,2023-10-27 12:23:25.57,114,-36,-2052,-13,-49,7,389,455,-66,-422
,26,2023-10-27 12:23:25.58,107,-23,-2064,-21,-50,8,445,589,-144,-517
,27,2023-10-27 12:23:25.59,105,-29,-2061,-35,-45,7,396,461,-65,-428
,28,2023-10-27 12:23:25.60,124,-23,-2058,-42,-42,14,446,584,-138,-515
,29,2023-10-27 12:23:25.61,100,-17,-2057,-48,-39,13,414,464,-50,-439
,30,2023-10-27 12:23:25.62,98,-15,-2057,-50,-49,17,444,580,-136,-512
,31,2023-10-27 12:23:25.63,99,-1,-2047,-56,-51,20,422,482,-60,-452
,32,2023-10-27 12:23:25.64,107,-9,-2065,-52,-61,23,440,578,-138,-509
,33,2023-10-27 12:23:25.65,121,8,-2037,-57,-62,26,426,480,-54,-453
,34,2023-10-27 12:23:25.66,99,-18,-2065,-53,-58,31,443,571,-128,-507
,35,2023-10-27 12:23:25.67,92,-13,-2067,-50,-77,32,431,481,-50,-456
,36,2023-10-27 12:23:25.68,96,-16,-2063,-43,-78,42,435,570,-135,-502
,37,2023-10-27 12:23:25.69,98,-5,-2060,-41,-86,50,437,487,-50,-462
,38,2023-10-27 12:23:25.70,88,-3,-2037,-37,-83,53,428,564,-136,-496
,39,2023-10-27 12:23:25.71,88,-16,-2061,-26,-82,57,441,491,-50,-466
,40,2023-10-27 12:23:25.72,76,-12,-2079,-13,-94,65,410,541,-131,-475
,41,2023-10-27 12:23:25.73,89,-11,-2057,-1,-108,69,449,496,-47,-472
,42,2023-10-27 12:23:25.74,91,-28,-2058,15,-104,78,419,551,-132,-485
,43,2023-10-27 12:23:25.75,61,-13,-2055,15,-102,80,454,506,-52,-480
,44,2023-10-27 12:23:25.76,87,-17,-2059,10,-81,82,418,547,-129,-482
,45,2023-10-27 12:23:25.77,76,-14,-2061,21,-88,83,470,518,-48,-494
,46,2023-10-27 12:23:25.78,86,-14,-2057,35,-87,82,416,543,-127,-479
,47,2023-10-27 12:23:25.79,58,-9,-2058,38,-81,79,473,515,-42,-494
,48,2023-10-27 12:23:25.80,71,-20,-2060,40,-98,85,405,533,-128,-469
,49,2023-10-27 12:23:25.81,86,-17,-2050,47,-102,90,479,525,-46,-502
,50,2023-10-27 12:23:25.82,68,-14,-2058,52,-90,92,408,528,-120,-468
,51,2023-10-27 12:23:25.83,64,-17,-2063,48,-89,94,492,532,-40,-512
,52,2023-10-27 12:23:25.84,75,-2,-2060,49,-90,93,405,531,-126,-468
,53,2023-10-27 12:23:25.85,73,-10,-2080,57,-98,101,496,541,-45,-518
,54,2023-10-27 12:23:25.86,70,-17,-2069,60,-109,105,397,522,-125,-459
,55,2023-10-27 12:23:25.87,79,-15,-2061,63,-110,103,500,541,-41,-520
,56,2023-10-27 12:23:25.88,76,-9,-2063,72,-107,106,393,512,-119,-452
,57,2023-10-27 12:23:25.89,67,-20,-2059,74,-94,107,505,549,-44,-527
,58,2023-10-27 12:23:25.90,70,-18,-2057,80,-100,106,387,508,-121,-447
,59,2023-10-27 12:23:25.91,76,-29,-2051,86,-96,109,512,552,-40,-532
,60,2023-10-27 12:23:25.92,78,-25,-2052,92,-93,108,380,502,-122,-441
,61,2023-10-27 12:23:25.93,65,-22,-2043,96,-85,105,516,557,-41,-536
,62,2023-10-27 12:23:25.94,63,-43,-2047,103,-84,108,376,498,-122,-437
,63,2023-10-27 12:23:25.95,64,-48,-2046,109,-73,111,525,561,-36,-543
,64,2023-10-27 12:23:25.96,45,-60,-2061,122,-74,110,371,491,-120,-431
,65,2023-10-27 12:23:25.97,45,-62,-2061,131,-67,112,527,570,-43,-548
,66,2023-10-27 12:23:25.98,55,-63,-2051,141,-67,119,365,489,-124,-427
,67,2023-10-27 12:23:25.99,51,-62,-2048,151,-52,124,532,575,-43,-553
,68,2023-10-27 12:23:26.00,50,-75,-2058,160,-52,124,362,483,-121,-422
,69,2023-10-27 12:23:26.01,35,-80,-2056,167,-46,127,539,577,-38,-558
,70,2023-10-27 12:23:26.02,45,-77,-2046,180,-43,121,354,478,-124,-416
,71,2023-10-27 12:23:26.03,39,-71,-2040,195,-30,122,538,583,-45,-560
,72,2023-10-27 12:23:26.04,42,-83,-2057,199,-22,124,346,476,-130,-411
,73,2023-10-27 12:23:26.05,26,-80,-2051,203,-22,116,538,585,-47,-561
,74,2023-10-27 12:23:26.06,23,-82,-2045,212,-5,106,343,466,-123,-404
,75,2023-10-27 12:23:26.07,14,-83,-2045,218,-2,99,556,591,-35,-573
,76,2023-10-27 12:23:26.08,14,-83,-2016,222,8,91,342,458,-116,-400
,77,2023-10-27 12:23:26.09,16,-93,-2019,226,26,86,549,595,-46,-572
,78,2023-10-27 12:23:26.10,10,-110,-2049,227,41,77,323,452,-129,-387
,79,2023-10-27 12:23:26.11,20,-119,-2030,223,55,71,548,605,-57,-576
,80,2023-10-27 12:23:26.12,26,-113,-2036,225,61,66,324,457,-133,-390
,81,2023-10-27 12:23:26.13,30,-127,-2043,228,87,63,551,608,-57,-579
,82,2023-10-27 12:23:26.14,24,-117,-2020,226,107,57,318,448,-130,-383
,83,2023-10-27 12:23:26.15,32,-109,-2016,228,109,45,551,609,-58,-580
,84,2023-10-27 12:23:26.16,34,-110,-2022,217,134,36,305,449,-144,-377
,85,2023-10-27 12:23:26.17,31,-119,-2024,205,143,22,543,617,-74,-580
,86,2023-10-27 12:23:26.18,46,-114,-2035,201,142,10,290,440,-150,-365
,87,2023-10-27 12:23:26.19,33,-111,-2051,198,143,1,540,614,-74,-577
,88,2023-10-27 12:23:26.20,59,-108,-2040,185,131,-12,288,431,-143,-359
,89,2023-10-27 12:23:26.21,40,-123,-2031,172,143,-23,542,620,-78,-581
,90,2023-10-27 12:23:26.22,49,-125,-2069,164,148,-31,272,432,-160,-352
,91,2023-10-27 12:23:26.23,57,-131,-2058,148,144,-44,529,625,-96,-577
,92,2023-10-27 12:23:26.24,55,-146,-2043,143,142,-48,262,429,-167,-345
,93,2023-10-27 12:23:26.25,65,-148,-2076,140,138,-55,528,629,-101,-578
