// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:00:40.97,194,-229,-2042,-1,5,30,46,223,-177,-134
,2,2023-10-27 11:00:40.98,184,-226,-2040,3,-2,30,-126,60,-186,33
,3,2023-10-27 11:00:40.99,184,-222,-2033,2,-1,29,44,214,-170,-129
,4,2023-10-27 11:00:41.00,190,-221,-2034,5,0,29,-131,53,-184,39
,5,2023-10-27 11:00:41.01,188,-224,-2035,6,3,28,36,208,-172,-122
,6,2023-10-27 11:00:41.02,182,-227,-2035,8,3,27,-138,48,-186,45
,7,2023-10-27 11:00:41.03,181,-223,-2045,7,3,30,28,202,-174,-115
,8,2023-10-27 11:00:41.04,193,-225,-2053,5,-1,29,-143,42,-185,50
,9,2023-10-27 11:00:41.05,179,-218,-2047,8,-7,28,15,186,-171,-100
,10,2023-10-27 11:00:41.06,188,-219,-2038,12,-7,28,-148,36,-184,56
,11,2023-10-27 11:00:41.07,185,-223,-2039,11,-6,27,13,188,-175,-100
,12,2023-10-27 11:00:41.08,182,-225,-2041,6,-4,23,-155,37,-192,59
,13,2023-10-27 11:00:41.09,174,-227,-2046,5,-6,24,-2,169,-171,-83
,14,2023-10-27 11:00:41.10,179,-234,-2054,8,-10,26,-163,25,-188,69
,15,2023-10-27 11:00:41.11,175,-229,-2040,10,-16,32,-2,165,-167,-81
,16,2023-10-27 11:00:41.12,186,-231,-2035,8,-14,30,-160,37,-197,61
,17,2023-10-27 11:00:41.13,183,-228,-2024,6,-6,31,-12,161,-173,-74
,18,2023-10-27 11:00:41.14,186,-226,-2029,3,-3,29,-173,26,-199,73
,19,2023-10-27 11:00:41.15,184,-231,-2040,5,-3,29,-24,147,-171,-61
,20,2023-10-27 11:00:41.16,183,-227,-2036,6,-1,29,-187,13,-200,87
,21,2023-10-27 11:00:41.17,170,-233,-2047,7,-1,31,-31,144,-175,-56
,22,2023-10-27 11:00:41.18,180,-232,-2049,4,-3,28,-170,36,-206,67
,23,2023-10-27 11:00:41.19,169,-240,-2045,7,-5,32,-29,147,-176,-59
,24,2023-10-27 11:00:41.20,176,-235,-2038,9,-3,30,-163,44,-207,59
,25,2023-10-27 11:00:41.21,176,-234,-2028,13,-3,30,-21,149,-170,-64
,26,2023-10-27 11:00:41.22,191,-241,-2030,18,5,28,-153,56,-209,48
,27,2023-10-27 11:00:41.23,181,-238,-2030,19,9,27,-15,158,-173,-71
,28,2023-10-27 11:00:41.24,188,-242,-2032,20,12,26,-147,64,-211,41
,29,2023-10-27 11:00:41.25,183,-238,-2029,25,14,26,-17,156,-173,-69
,30,2023-10-27 11:00:41.26,191,-222,-2028,24,22,22,-146,62,-208,42
,31,2023-10-27 11:00:41.27,191,-226,-2019,13,43,22,-24,149,-173,-62
,32,2023-10-27 11:00:41.28,192,-227,-2032,17,24,19,-133,78,-211,27
,33,2023-10-27 11:00:41.29,202,-226,-2041,22,23,17,-14,156,-170,-71
,34,2023-10-27 11:00:41.30,199,-228,-2031,25,23,20,-131,85,-216,23
,35,2023-10-27 11:00:41.31,189,-246,-2047,22,30,16,-16,154,-170,-69
,36,2023-10-27 11:00:41.32,189,-231,-2055,18,31,16,-132,90,-222,21
,37,2023-10-27 11:00:41.33,195,-230,-2062,14,26,16,-19,157,-176,-69
,38,2023-10-27 11:00:41.34,190,-224,-2059,18,23,14,-118,100,-218,9
