// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-20 13:05:47.97,-5,-383,-2038,135,-18,24,1244,176,1068,-710
,2,2023-10-20 13:05:47.98,-7,-392,-2042,168,-43,33,1050,223,827,-636
,3,2023-10-20 13:05:47.99,-23,-399,-2046,186,-49,43,1249,175,1074,-712
,4,2023-10-20 13:05:48.00,-15,-390,-2054,186,-58,52,1050,238,812,-644
,5,2023-10-20 13:05:48.01,-26,-370,-2066,169,-57,58,1253,187,1066,-720
,6,2023-10-20 13:05:48.02,-36,-371,-2025,129,-27,64,1054,231,823,-642
,7,2023-10-20 13:05:48.03,-33,-391,-2004,105,-10,70,1260,178,1082,-719
,8,2023-10-20 13:05:48.04,-45,-398,-2042,86,-3,78,1046,209,837,-627
,9,2023-10-20 13:05:48.05,-55,-413,-2043,75,-10,92,1256,167,1089,-711
,10,2023-10-20 13:05:48.06,-44,-414,-2018,78,-22,109,1036,198,838,-617
,11,2023-10-20 13:05:48.07,-48,-398,-1974,76,-17,124,1251,171,1080,-711
,12,2023-10-20 13:05:48.08,-19,-363,-1978,54,8,129,1035,193,842,-614
,13,2023-10-20 13:05:48.09,-15,-331,-1982,28,27,131,1262,169,1093,-715
,14,2023-10-20 13:05:48.10,10,-279,-2000,-9,66,128,1040,186,854,-613
,15,2023-10-20 13:05:48.11,16,-273,-1984,-65,119,122,1270,175,1095,-722
,16,2023-10-20 13:05:48.12,48,-245,-2001,-114,157,105,1043,199,844,-621
,17,2023-10-20 13:05:48.13,49,-227,-2013,-141,158,88,1282,192,1090,-737
,18,2023-10-20 13:05:48.14,78,-233,-2010,-141,138,69,1041,193,848,-617
,19,2023-10-20 13:05:48.15,72,-213,-2039,-125,97,54,1274,186,1088,-730
,20,2023-10-20 13:05:48.16,99,-204,-2050,-121,65,41,1026,180,846,-603
