// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:31:57.45,190,-331,-2035,5,-12,27,-277,74,-351,101
,2,2023-10-27 12:31:57.46,208,-334,-2030,13,-14,28,-215,-34,-181,124
,3,2023-10-27 12:31:57.47,193,-329,-2026,17,-16,27,-288,76,-364,106
,4,2023-10-27 12:31:57.48,198,-328,-2035,21,-19,28,-212,-30,-182,121
,5,2023-10-27 12:31:57.49,184,-333,-2026,25,-21,27,-291,74,-365,108
,6,2023-10-27 12:31:57.50,174,-326,-2029,27,-22,30,-208,-27,-181,117
,7,2023-10-27 12:31:57.51,176,-330,-2026,26,-22,29,-304,72,-376,116
,8,2023-10-27 12:31:57.52,189,-331,-2024,24,-20,26,-212,-19,-193,115
,9,2023-10-27 12:31:57.53,185,-331,-2022,20,-19,24,-299,75,-374,112
,10,2023-10-27 12:31:57.54,177,-334,-2027,18,-17,23,-198,-10,-188,104
,11,2023-10-27 12:31:57.55,179,-329,-2029,13,-13,23,-290,75,-365,107
,12,2023-10-27 12:31:57.56,181,-332,-2023,9,-10,22,-191,-16,-175,103
,13,2023-10-27 12:31:57.57,186,-335,-2019,3,-7,21,-294,67,-361,113
,14,2023-10-27 12:31:57.58,181,-330,-2027,1,-2,20,-193,-17,-176,105
,15,2023-10-27 12:31:57.59,183,-326,-2026,-2,3,20,-297,76,-373,110
,16,2023-10-27 12:31:57.60,179,-326,-2023,-3,4,19,-188,-5,-183,96
,17,2023-10-27 12:31:57.61,177,-325,-2026,-4,6,18,-295,70,-365,112
,18,2023-10-27 12:31:57.62,184,-327,-2030,-5,8,18,-183,-14,-169,98
,19,2023-10-27 12:31:57.63,180,-325,-2037,-3,3,17,-300,59,-359,120
,20,2023-10-27 12:31:57.64,190,-323,-2031,-3,5,16,-184,-16,-168,100
,21,2023-10-27 12:31:57.65,189,-327,-2031,1,1,17,-312,58,-370,127
,22,2023-10-27 12:31:57.66,193,-326,-2030,3,-1,20,-184,0,-184,92
,23,2023-10-27 12:31:57.67,179,-325,-2031,6,-3,20,-310,63,-373,123
,24,2023-10-27 12:31:57.68,192,-324,-2027,8,-4,19,-176,8,-184,84
,25,2023-10-27 12:31:57.69,187,-324,-2026,9,-5,21,-308,62,-370,123
,26,2023-10-27 12:31:57.70,192,-322,-2024,8,-7,23,-170,6,-176,82
,27,2023-10-27 12:31:57.71,188,-329,-2028,7,-7,25,-307,61,-368,123
,28,2023-10-27 12:31:57.72,187,-326,-2034,8,-8,26,-165,24,-189,70
,29,2023-10-27 12:31:57.73,183,-324,-2027,9,-10,29,-316,67,-383,124
,30,2023-10-27 12:31:57.74,171,-318,-2026,6,-9,31,-171,16,-187,77
,31,2023-10-27 12:31:57.75,192,-325,-2027,7,-7,32,-311,56,-367,127
,32,2023-10-27 12:31:57.76,176,-321,-2037,4,-6,32,-159,20,-179,69
,33,2023-10-27 12:31:57.77,181,-325,-2032,4,-4,34,-311,64,-375,123
,34,2023-10-27 12:31:57.78,177,-324,-2028,3,-4,33,-169,23,-192,73
,35,2023-10-27 12:31:57.79,171,-318,-2030,2,-2,32,-330,55,-385,137
,36,2023-10-27 12:31:57.80,183,-319,-2037,2,-5,30,-172,16,-188,78
,37,2023-10-27 12:31:57.81,183,-322,-2031,0,-3,30,-334,48,-382,143
,38,2023-10-27 12:31:57.82,186,-316,-2039,2,-5,31,-160,24,-184,68
,39,2023-10-27 12:31:57.83,191,-312,-2027,0,-8,27,-321,54,-375,133
,40,2023-10-27 12:31:57.84,176,-317,-2033,0,-5,25,-152,29,-181,61
,41,2023-10-27 12:31:57.85,172,-311,-2030,0,-3,24,-307,53,-360,127
,42,2023-10-27 12:31:57.86,176,-315,-2024,-1,-6,23,-140,39,-179,50
,43,2023-10-27 12:31:57.87,177,-319,-2032,2,-6,19,-307,50,-357,128
