// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:44:55.21,-221,493,-2014,97,199,1005,-155,-1060,905,607
,2,2023-10-27 11:44:55.22,-222,488,-2008,106,171,983,-442,-997,555,719
,3,2023-10-27 11:44:55.23,-209,503,-2009,118,148,949,-165,-1029,864,597
,4,2023-10-27 11:44:55.24,-200,534,-2026,119,124,916,-457,-963,506,710
,5,2023-10-27 11:44:55.25,-202,512,-2003,104,128,883,-171,-1041,870,606
,6,2023-10-27 11:44:55.26,-181,524,-2015,93,115,849,-445,-989,544,717
,7,2023-10-27 11:44:55.27,-185,534,-2016,76,115,822,-148,-1059,911,603
,8,2023-10-27 11:44:55.28,-161,523,-1986,62,120,787,-434,-986,552,710
,9,2023-10-27 11:44:55.29,-157,538,-1997,66,124,747,-156,-1048,892,602
,10,2023-10-27 11:44:55.30,-155,542,-2007,74,117,691,-449,-977,528,713
,11,2023-10-27 11:44:55.31,-149,539,-2010,94,114,637,-160,-1051,891,605
,12,2023-10-27 11:44:55.32,-149,539,-1999,113,102,579,-442,-980,538,711
,13,2023-10-27 11:44:55.33,-138,524,-2013,130,84,526,-154,-1064,910,609
,14,2023-10-27 11:44:55.34,-156,531,-2014,143,64,479,-444,-985,541,714
,15,2023-10-27 11:44:55.35,-144,531,-2015,151,55,437,-152,-1045,893,598
,16,2023-10-27 11:44:55.36,-153,526,-2021,143,58,398,-440,-958,518,699
,17,2023-10-27 11:44:55.37,-141,528,-2036,131,56,360,-155,-1045,890,600
,18,2023-10-27 11:44:55.38,-142,509,-2003,125,47,318,-434,-966,532,700
,19,2023-10-27 11:44:55.39,-138,514,-2028,119,57,293,-160,-1051,891,605
,20,2023-10-27 11:44:55.40,-135,505,-2022,107,40,265,-439,-964,525,701
,21,2023-10-27 11:44:55.41,-128,498,-2019,103,31,236,-162,-1058,896,610
,22,2023-10-27 11:44:55.42,-117,494,-2004,102,21,205,-435,-969,534,702
,23,2023-10-27 11:44:55.43,-113,492,-2002,99,11,178,-164,-1048,884,606
,24,2023-10-27 11:44:55.44,-119,491,-1996,100,6,152,-437,-958,521,697
,25,2023-10-27 11:44:55.45,-114,479,-1993,104,2,131,-164,-1058,894,611
,26,2023-10-27 11:44:55.46,-118,471,-2002,106,-7,107,-433,-972,539,702
,27,2023-10-27 11:44:55.47,-121,466,-1995,105,-14,95,-173,-1069,896,621
,28,2023-10-27 11:44:55.48,-123,465,-1997,103,-14,80,-442,-974,532,708
,29,2023-10-27 11:44:55.49,-132,452,-2000,97,-16,66,-166,-1074,908,620
,30,2023-10-27 11:44:55.50,-124,465,-1994,92,-20,54,-424,-978,554,701
,31,2023-10-27 11:44:55.51,-125,461,-2003,84,-20,42,-157,-1077,920,617
,32,2023-10-27 11:44:55.52,-118,453,-1997,79,-18,20,-417,-975,558,696
,33,2023-10-27 11:44:55.53,-122,458,-2001,82,-19,8,-170,-1078,908,624
,34,2023-10-27 11:44:55.54,-133,456,-2002,81,-21,-8,-418,-970,552,694
,35,2023-10-27 11:44:55.55,-130,445,-1996,83,-22,-16,-174,-1066,892,620
,36,2023-10-27 11:44:55.56,-134,439,-1994,81,-21,-29,-415,-958,543,686
,37,2023-10-27 11:44:55.57,-132,438,-1990,83,-16,-37,-182,-1068,886,625
,38,2023-10-27 11:44:55.58,-136,438,-1990,81,-11,-46,-403,-963,560,683
,39,2023-10-27 11:44:55.59,-136,435,-1987,78,-6,-55,-169,-1072,903,620
,40,2023-10-27 11:44:55.60,-131,434,-1987,77,4,-59,-402,-964,562,683
,41,2023-10-27 11:44:55.61,-138,432,-1994,76,12,-68,-182,-1062,880,622
,42,2023-10-27 11:44:55.62,-142,428,-1990,76,15,-72,-410,-956,546,683
,43,2023-10-27 11:44:55.63,-145,428,-1996,77,17,-78,-186,-1065,879,625
,44,2023-10-27 11:44:55.64,-129,425,-2002,76,21,-82,-399,-965,566,682
,45,2023-10-27 11:44:55.65,-139,417,-2003,77,13,-88,-189,-1080,891,634
,46,2023-10-27 11:44:55.66,-149,415,-2014,76,16,-92,-400,-973,573,686
,47,2023-10-27 11:44:55.67,-140,418,-2012,79,13,-99,-203,-1081,878,642
,48,2023-10-27 11:44:55.68,-136,420,-2000,78,12,-103,-399,-969,570,684
,49,2023-10-27 11:44:55.69,-144,410,-1995,78,18,-106,-190,-1069,879,629
