// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:18:44.61,14,-270,-1973,-86,54,-334,-399,129,-528,135
,2,2023-10-27 12:18:44.62,42,-287,-1943,-75,55,-304,-467,3,-470,232
,3,2023-10-27 12:18:44.63,75,-290,-1941,-77,119,-302,-398,137,-535,130
,4,2023-10-27 12:18:44.64,111,-284,-1937,-76,92,-316,-468,9,-477,229
,5,2023-10-27 12:18:44.65,143,-261,-1947,-52,139,-272,-421,136,-557,142
,6,2023-10-27 12:18:44.66,161,-255,-1955,-62,154,-303,-489,-7,-482,248
,7,2023-10-27 12:18:44.67,200,-250,-1954,-57,147,-288,-433,120,-553,156
,8,2023-10-27 12:18:44.68,213,-223,-2016,-52,207,-282,-478,-20,-458,249
,9,2023-10-27 12:18:44.69,214,-227,-2065,-53,158,-322,-429,113,-542,158
,10,2023-10-27 12:18:44.70,226,-192,-2098,-37,142,-292,-481,-27,-454,254
,11,2023-10-27 12:18:44.71,215,-164,-2108,-39,184,-293,-448,117,-565,165
,12,2023-10-27 12:18:44.72,201,-188,-2129,-66,97,-309,-480,-27,-453,253
,13,2023-10-27 12:18:44.73,188,-211,-2164,-73,113,-278,-438,117,-555,160
,14,2023-10-27 12:18:44.74,175,-217,-2161,-77,29,-285,-463,-28,-435,245
,15,2023-10-27 12:18:44.75,176,-204,-2160,-67,-42,-263,-434,101,-535,166
,16,2023-10-27 12:18:44.76,170,-213,-2137,-86,24,-241,-442,-39,-403,240
,17,2023-10-27 12:18:44.77,161,-192,-2125,-109,-50,-253,-419,98,-517,160
,18,2023-10-27 12:18:44.78,159,-188,-2110,-110,-4,-229,-429,-38,-391,233
,19,2023-10-27 12:18:44.79,137,-208,-2077,-122,-52,-259,-412,105,-517,153
