// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:59:24.53,14,-261,-2029,-14,3,59,-336,-691,355,513
,2,2023-10-27 11:59:24.54,24,-244,-2024,-23,14,59,-352,-739,387,545
,3,2023-10-27 11:59:24.55,24,-238,-2022,-29,28,53,-335,-696,361,515
,4,2023-10-27 11:59:24.56,32,-249,-2019,-30,31,46,-351,-739,388,545
,5,2023-10-27 11:59:24.57,35,-248,-2026,-24,38,43,-335,-700,365,517
,6,2023-10-27 11:59:24.58,43,-247,-2030,-12,41,36,-343,-736,393,539
,7,2023-10-27 11:59:24.59,38,-252,-2048,-3,40,30,-334,-702,368,518
,8,2023-10-27 11:59:24.60,50,-250,-2036,7,39,28,-344,-734,390,539
,9,2023-10-27 11:59:24.61,58,-254,-2042,15,39,24,-343,-706,363,524
,10,2023-10-27 11:59:24.62,48,-260,-2063,24,34,19,-346,-731,385,538
,11,2023-10-27 11:59:24.63,58,-264,-2068,27,27,21,-346,-708,362,527
,12,2023-10-27 11:59:24.64,58,-264,-2058,34,13,21,-341,-729,388,535
,13,2023-10-27 11:59:24.65,60,-264,-2057,39,-1,22,-348,-712,364,530
,14,2023-10-27 11:59:24.66,57,-258,-2049,41,-5,21,-341,-728,387,534
,15,2023-10-27 11:59:24.67,57,-258,-2036,41,-5,21,-349,-716,367,532
,16,2023-10-27 11:59:24.68,60,-267,-2034,40,-2,23,-336,-724,388,530
,17,2023-10-27 11:59:24.69,56,-261,-2038,38,4,21,-344,-715,371,529
,18,2023-10-27 11:59:24.70,50,-263,-2047,33,11,23,-327,-718,391,522
,19,2023-10-27 11:59:24.71,54,-272,-2049,30,10,26,-343,-714,371,528
