// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-20 13:48:32.66,295,-381,-1990,78,-44,121,-250,-246,-4,248
,2,2023-10-20 13:48:32.67,293,-388,-1979,79,-38,121,-256,-292,36,274
,3,2023-10-20 13:48:32.68,296,-397,-1983,78,-31,118,-241,-218,-23,229
,4,2023-10-20 13:48:32.69,292,-380,-2008,79,-23,110,-258,-275,17,266
,5,2023-10-20 13:48:32.70,309,-389,-2003,74,-19,102,-236,-210,-26,223
,6,2023-10-20 13:48:32.71,292,-394,-1999,62,-8,93,-260,-277,17,268
,7,2023-10-20 13:48:32.72,309,-374,-2005,49,0,90,-228,-238,10,233
,8,2023-10-20 13:48:32.73,316,-363,-2015,35,-1,85,-260,-315,55,287
,9,2023-10-20 13:48:32.74,302,-370,-2022,25,-7,76,-236,-261,25,248
,10,2023-10-20 13:48:32.75,307,-354,-1994,16,-12,64,-265,-305,40,285
,11,2023-10-20 13:48:32.76,323,-365,-1999,8,-20,58,-225,-237,12,231
,12,2023-10-20 13:48:32.77,296,-371,-1988,12,-31,51,-273,-291,18,282
,13,2023-10-20 13:48:32.78,295,-370,-1996,10,-39,49,-224,-204,-20,214
,14,2023-10-20 13:48:32.79,283,-363,-2020,19,-46,49,-282,-250,-32,266
,15,2023-10-20 13:48:32.80,276,-364,-2004,25,-60,51,-220,-238,18,229
,16,2023-10-20 13:48:32.81,275,-360,-2005,25,-61,49,-286,-322,36,304
,17,2023-10-20 13:48:32.82,261,-375,-2014,16,-62,50,-211,-262,51,236
,18,2023-10-20 13:48:32.83,263,-368,-2004,15,-56,51,-286,-305,19,295
,19,2023-10-20 13:48:32.84,263,-385,-2012,14,-53,59,-209,-233,24,221
,20,2023-10-20 13:48:32.85,247,-386,-2003,11,-45,59,-304,-291,-13,297
,21,2023-10-20 13:48:32.86,239,-377,-2008,11,-25,57,-212,-237,25,224
,22,2023-10-20 13:48:32.87,239,-367,-2016,33,-8,50,-296,-295,-1,295
,23,2023-10-20 13:48:32.88,250,-323,-2011,71,7,14,-196,-260,64,228
,24,2023-10-20 13:48:32.89,237,-326,-1997,88,4,-26,-297,-327,30,312
,25,2023-10-20 13:48:32.90,256,-362,-2015,48,-21,-91,-196,-271,75,233
,26,2023-10-20 13:48:32.91,263,-406,-2013,23,-14,-92,-308,-312,4,310
,27,2023-10-20 13:48:32.92,279,-462,-2012,11,1,-61,-202,-252,50,227
,28,2023-10-20 13:48:32.93,277,-465,-2026,7,12,-19,-322,-308,-14,315
,29,2023-10-20 13:48:32.94,283,-443,-2012,13,14,10,-199,-261,62,230
,30,2023-10-20 13:48:32.95,288,-407,-2021,29,21,27,-323,-318,-5,320
,31,2023-10-20 13:48:32.96,277,-408,-2021,32,9,48,-192,-261,69,226
,32,2023-10-20 13:48:32.97,284,-386,-2022,27,-8,47,-318,-314,-4,316
,33,2023-10-20 13:48:32.98,278,-384,-2024,18,-24,36,-191,-268,77,229
,34,2023-10-20 13:48:32.99,278,-398,-2018,5,-38,31,-324,-318,-6,321
,35,2023-10-20 13:48:33.00,258,-394,-2022,-10,-44,37,-181,-283,102,232
,36,2023-10-20 13:48:33.01,265,-389,-2014,-13,-55,36,-331,-338,7,334
,37,2023-10-20 13:48:33.02,254,-396,-2005,-16,-71,24,-188,-287,99,237
,38,2023-10-20 13:48:33.03,274,-405,-2000,-21,-71,7,-337,-325,-12,331
,39,2023-10-20 13:48:33.04,248,-419,-1999,-25,-54,9,-178,-266,88,222
,40,2023-10-20 13:48:33.05,255,-416,-2020,-33,-38,29,-334,-312,-22,323
,41,2023-10-20 13:48:33.06,255,-393,-2003,-34,-33,36,-176,-287,111,231
,42,2023-10-20 13:48:33.07,257,-389,-2011,-34,-29,28,-350,-359,9,354
,43,2023-10-20 13:48:33.08,266,-397,-2014,-36,-22,38,-183,-289,106,236
,44,2023-10-20 13:48:33.09,277,-396,-2009,-36,-16,40,-344,-314,-30,329
,45,2023-10-20 13:48:33.10,256,-381,-2012,-24,-7,43,-178,-251,73,214
,46,2023-10-20 13:48:33.11,260,-368,-2018,-18,-6,51,-352,-300,-52,326
,47,2023-10-20 13:48:33.12,261,-367,-2024,-7,-12,46,-185,-270,85,227
,48,2023-10-20 13:48:33.13,256,-363,-2018,5,-15,28,-365,-319,-46,342
,49,2023-10-20 13:48:33.14,263,-357,-2006,18,-18,16,-180,-261,81,220
,50,2023-10-20 13:48:33.15,271,-368,-2001,25,-18,1,-367,-304,-63,335
,51,2023-10-20 13:48:33.16,255,-386,-1995,23,-10,-9,-164,-260,96,212
,52,2023-10-20 13:48:33.17,249,-377,-1994,29,-4,-11,-355,-315,-40,335
,53,2023-10-20 13:48:33.18,248,-380,-2011,39,0,-19,-170,-264,94,217
,54,2023-10-20 13:48:33.19,255,-385,-2014,32,1,-22,-369,-305,-64,337
,55,2023-10-20 13:48:33.20,256,-381,-2020,23,6,-28,-170,-270,100,220
,56,2023-10-20 13:48:33.21,253,-367,-2018,21,12,-36,-365,-320,-45,342
,57,2023-10-20 13:48:33.22,252,-379,-2023,12,22,-38,-174,-273,99,223
,58,2023-10-20 13:48:33.23,261,-371,-2023,2,23,-39,-379,-310,-69,344
,59,2023-10-20 13:48:33.24,246,-365,-2008,-5,23,-41,-180,-276,96,228
,60,2023-10-20 13:48:33.25,267,-367,-2002,-10,23,-45,-384,-314,-70,349
,61,2023-10-20 13:48:33.26,269,-362,-2003,-15,25,-45,-177,-304,127,240
,62,2023-10-20 13:48:33.27,271,-367,-2001,-16,26,-46,-378,-341,-37,359
,63,2023-10-20 13:48:33.28,274,-371,-2011,-16,29,-48,-166,-314,148,240
,64,2023-10-20 13:48:33.29,269,-368,-2016,-20,26,-47,-378,-333,-45,355
,65,2023-10-20 13:48:33.30,269,-378,-2020,-22,22,-47,-166,-280,114,223
,66,2023-10-20 13:48:33.31,269,-373,-2027,-28,18,-45,-380,-301,-79,340
,67,2023-10-20 13:48:33.32,280,-365,-2025,-25,13,-43,-165,-269,104,217
,68,2023-10-20 13:48:33.33,274,-368,-2017,-24,15,-44,-379,-306,-73,342
,69,2023-10-20 13:48:33.34,271,-363,-2011,-20,11,-42,-157,-280,123,218
,70,2023-10-20 13:48:33.35,275,-363,-2003,-21,13,-44,-371,-307,-64,339
,71,2023-10-20 13:48:33.36,275,-371,-2015,-19,7,-38,-162,-258,96,210
,72,2023-10-20 13:48:33.37,278,-377,-2022,-15,9,-35,-385,-281,-104,333
,73,2023-10-20 13:48:33.38,294,-372,-2006,-9,7,-38,-167,-264,97,215
,74,2023-10-20 13:48:33.39,278,-391,-2014,-20,11,-28,-381,-298,-83,339
,75,2023-10-20 13:48:33.40,281,-371,-2005,-23,19,-19,-165,-284,119,224
,76,2023-10-20 13:48:33.41,269,-379,-2023,-18,22,-13,-388,-302,-86,345
,77,2023-10-20 13:48:33.42,259,-367,-2039,-11,27,-3,-171,-285,114,228
,78,2023-10-20 13:48:33.43,276,-323,-2029,19,19,-28,-388,-320,-68,354
,79,2023-10-20 13:48:33.44,260,-344,-2002,41,9,-64,-157,-441,284,299
,80,2023-10-20 13:48:33.45,274,-341,-1982,62,13,-98,-379,-460,81,419
,81,2023-10-20 13:48:33.46,272,-340,-1981,71,15,-123,-162,-460,298,311
,82,2023-10-20 13:48:33.47,274,-353,-1989,59,19,-135,-382,-415,33,398
,83,2023-10-20 13:48:33.48,274,-375,-2006,27,28,-139,-172,-480,308,326
,84,2023-10-20 13:48:33.49,290,-385,-2016,-5,32,-135,-387,-462,75,424
,85,2023-10-20 13:48:33.50,296,-406,-2015,-32,44,-116,-168,-466,298,317
,86,2023-10-20 13:48:33.51,303,-432,-2019,-50,58,-86,-384,-410,26,397
,87,2023-10-20 13:48:33.52,304,-417,-2020,-44,65,-50,-170,-474,304,322
,88,2023-10-20 13:48:33.53,302,-389,-2023,-30,66,-21,-388,-456,68,422
,89,2023-10-20 13:48:33.54,319,-362,-2029,-34,62,-3,-169,-459,290,314
,90,2023-10-20 13:48:33.55,301,-349,-2041,-34,50,-1,-378,-401,23,389
,91,2023-10-20 13:48:33.56,306,-339,-2033,-34,34,-12,-176,-439,263,307
,92,2023-10-20 13:48:33.57,310,-327,-2027,-36,22,-23,-379,-408,29,393
,93,2023-10-20 13:48:33.58,304,-328,-2027,-26,16,-38,-183,-455,272,319
,94,2023-10-20 13:48:33.59,297,-328,-2028,-23,14,-51,-390,-411,21,400
,95,2023-10-20 13:48:33.60,297,-329,-2022,-11,6,-74,-175,-446,271,310
,96,2023-10-20 13:48:33.61,283,-333,-2009,-2,-5,-104,-371,-420,49,395
,97,2023-10-20 13:48:33.62,305,-347,-2001,-13,-11,-122,-169,-563,394,366
,98,2023-10-20 13:48:33.63,310,-353,-2000,-31,-7,-132,-374,-518,144,446
