// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:19:08.76,257,-124,-2062,31,14,54,8,-1133,1141,562
,2,2023-10-27 11:19:08.77,260,-112,-2068,25,7,53,-160,-1196,1036,678
,3,2023-10-27 11:19:08.78,265,-108,-2067,27,2,44,26,-1133,1159,553
,4,2023-10-27 11:19:08.79,262,-102,-2054,28,-5,33,-150,-1198,1048,674
,5,2023-10-27 11:19:08.80,268,-89,-2055,29,-13,17,32,-1123,1155,545
,6,2023-10-27 11:19:08.81,262,-66,-2061,22,-18,2,-139,-1190,1051,664
,7,2023-10-27 11:19:08.82,258,-60,-2070,11,-27,-19,40,-1119,1159,539
,8,2023-10-27 11:19:08.83,259,-42,-2080,3,-47,-42,-132,-1193,1061,662
,9,2023-10-27 11:19:08.84,252,-73,-2081,-1,-66,-65,49,-1119,1168,535
,10,2023-10-27 11:19:08.85,249,-73,-2083,1,-93,-85,-120,-1196,1076,658
,11,2023-10-27 11:19:08.86,270,-71,-2046,1,-118,-103,62,-1120,1182,529
,12,2023-10-27 11:19:08.87,253,-95,-2073,18,-116,-130,-93,-1200,1107,646
,13,2023-10-27 11:19:08.88,256,-91,-2087,37,-151,-156,83,-1120,1203,518
,14,2023-10-27 11:19:08.89,264,-75,-2056,60,-179,-186,-99,-1200,1101,649
,15,2023-10-27 11:19:08.90,270,-79,-2033,93,-200,-221,72,-1120,1192,524
,16,2023-10-27 11:19:08.91,262,-86,-2061,122,-217,-256,-110,-1205,1095,657
,17,2023-10-27 11:19:08.92,264,-87,-2081,134,-232,-287,53,-1119,1172,533
,18,2023-10-27 11:19:08.93,263,-97,-2117,132,-226,-319,-121,-1204,1083,662
,19,2023-10-27 11:19:08.94,250,-122,-2142,106,-233,-354,55,-1119,1174,532
,20,2023-10-27 11:19:08.95,250,-121,-2105,88,-258,-368,-115,-1208,1093,661
,21,2023-10-27 11:19:08.96,242,-127,-2064,85,-274,-377,54,-1123,1177,534
,22,2023-10-27 11:19:08.97,222,-139,-2076,82,-289,-382,-130,-1210,1080,670
,23,2023-10-27 11:19:08.98,234,-162,-2076,65,-306,-377,30,-1114,1144,542
,24,2023-10-27 11:19:08.99,277,-255,-2039,66,-311,-354,-134,-1201,1067,667
,25,2023-10-27 11:19:09.00,193,-150,-2017,101,-284,-368,31,-1115,1146,542
,26,2023-10-27 11:19:09.01,226,-230,-2030,106,-295,-342,-125,-1209,1084,667
,27,2023-10-27 11:19:09.02,192,-243,-2055,71,-308,-309,32,-1121,1153,544
,28,2023-10-27 11:19:09.03,210,-229,-2050,57,-315,-265,-131,-1210,1079,670
,29,2023-10-27 11:19:09.04,189,-251,-2038,67,-306,-230,24,-1118,1142,547
,30,2023-10-27 11:19:09.05,198,-272,-2004,73,-289,-189,-135,-1212,1077,673
,31,2023-10-27 11:19:09.06,203,-280,-1988,62,-267,-142,27,-1116,1143,544
,32,2023-10-27 11:19:09.07,199,-294,-1974,50,-235,-93,-120,-1210,1090,665
,33,2023-10-27 11:19:09.08,184,-294,-1966,50,-193,-50,43,-1112,1155,534
,34,2023-10-27 11:19:09.09,175,-295,-2003,65,-171,-2,-90,-1210,1120,650
,35,2023-10-27 11:19:09.10,171,-292,-1989,71,-146,46,63,-1115,1178,526
,36,2023-10-27 11:19:09.11,165,-286,-1985,82,-122,83,-83,-1213,1130,648
,37,2023-10-27 11:19:09.12,175,-285,-1979,94,-97,122,59,-1110,1169,525
,38,2023-10-27 11:19:09.13,166,-275,-1981,106,-68,153,-76,-1210,1134,643
,39,2023-10-27 11:19:09.14,156,-282,-1980,121,-32,175,65,-1113,1178,524
,40,2023-10-27 11:19:09.15,145,-285,-2010,143,-10,199,-63,-1217,1154,640
,41,2023-10-27 11:19:09.16,144,-279,-2017,164,5,222,73,-1119,1192,523
,42,2023-10-27 11:19:09.17,168,-278,-2006,187,26,240,-76,-1220,1144,648
,43,2023-10-27 11:19:09.18,157,-291,-2017,205,56,254,46,-1115,1161,534
,44,2023-10-27 11:19:09.19,153,-281,-2027,218,78,262,-79,-1217,1138,648
,45,2023-10-27 11:19:09.20,147,-274,-2025,232,87,273,54,-1112,1166,529
,46,2023-10-27 11:19:09.21,140,-261,-2041,233,101,281,-90,-1217,1127,653
,47,2023-10-27 11:19:09.22,137,-249,-2045,227,99,284,18,-1114,1132,548
,48,2023-10-27 11:19:09.23,135,-238,-2053,217,98,290,-113,-1216,1103,664
,49,2023-10-27 11:19:09.24,146,-233,-2059,200,89,293,13,-1109,1122,548
,50,2023-10-27 11:19:09.25,149,-235,-2036,183,80,289,-133,-1214,1081,673
,51,2023-10-27 11:19:09.26,147,-243,-2037,163,79,282,-26,-1112,1086,569
,52,2023-10-27 11:19:09.27,143,-249,-2042,146,75,273,-163,-1215,1052,689
,53,2023-10-27 11:19:09.28,157,-248,-2044,123,73,265,-35,-1107,1072,571
,54,2023-10-27 11:19:09.29,147,-254,-2042,111,65,254,-142,-1210,1068,676
,55,2023-10-27 11:19:09.30,159,-253,-2042,98,64,241,-28,-1108,1080,568
,56,2023-10-27 11:19:09.31,130,-249,-2029,86,71,222,-146,-1215,1069,680
,57,2023-10-27 11:19:09.32,134,-243,-2048,75,69,202,-27,-1118,1091,572
,58,2023-10-27 11:19:09.33,137,-217,-2073,50,54,183,-132,-1218,1086,675
,59,2023-10-27 11:19:09.34,129,-208,-2120,8,42,164,-17,-1109,1092,563
,60,2023-10-27 11:19:09.35,133,-211,-2053,-27,13,144,-96,-1208,1112,652
,61,2023-10-27 11:19:09.36,137,-227,-2035,-27,1,122,13,-1107,1120,547
,62,2023-10-27 11:19:09.37,132,-216,-2070,-23,-8,95,-77,-1214,1137,645
,63,2023-10-27 11:19:09.38,156,-243,-2044,-43,-26,70,18,-1119,1137,550
,64,2023-10-27 11:19:09.39,145,-240,-2039,-56,-29,47,-55,-1222,1167,638
,65,2023-10-27 11:19:09.40,147,-241,-2047,-52,-34,27,34,-1122,1156,544
,66,2023-10-27 11:19:09.41,133,-257,-2051,-51,-45,8,-81,-1219,1138,650
,67,2023-10-27 11:19:09.42,146,-242,-2056,-58,-52,-3,-23,-1120,1097,571
,68,2023-10-27 11:19:09.43,144,-252,-2034,-71,-49,-15,-133,-1224,1091,678
,69,2023-10-27 11:19:09.44,150,-256,-2026,-73,-36,-27,-62,-1126,1064,594
,70,2023-10-27 11:19:09.45,133,-262,-2016,-65,-28,-35,-149,-1214,1065,681
,71,2023-10-27 11:19:09.46,137,-255,-2027,-64,-27,-32,-85,-1114,1029,599
,72,2023-10-27 11:19:09.47,163,-261,-2052,-79,-19,-33,-184,-1131,947,657
,73,2023-10-27 11:19:09.48,140,-263,-2044,-89,-7,-28,-116,-1016,900,566
,74,2023-10-27 11:19:09.49,145,-260,-2027,-80,-1,-19,-195,-1159,964,677
,75,2023-10-27 11:19:09.50,153,-282,-2029,-78,6,-12,-127,-1120,993,623
,76,2023-10-27 11:19:09.51,154,-272,-2028,-77,15,-1,-177,-1237,1060,707
,77,2023-10-27 11:19:09.52,150,-272,-2028,-71,30,11,-118,-1152,1034,635
,78,2023-10-27 11:19:09.53,153,-259,-2020,-66,47,25,-186,-1233,1047,709
,79,2023-10-27 11:19:09.54,167,-258,-2021,-59,68,32,-140,-1143,1003,641
,80,2023-10-27 11:19:09.55,160,-246,-2027,-47,84,38,-196,-1229,1033,712
,81,2023-10-27 11:19:09.56,152,-221,-2039,-37,89,45,-150,-1146,996,648
,82,2023-10-27 11:19:09.57,153,-209,-2031,-35,93,48,-203,-1227,1024,715
,83,2023-10-27 11:19:09.58,151,-207,-2042,-35,97,51,-158,-1142,984,650
,84,2023-10-27 11:19:09.59,145,-204,-2066,-39,92,57,-207,-1220,1013,713
,85,2023-10-27 11:19:09.60,141,-182,-2089,-41,86,55,-173,-1140,967,656
,86,2023-10-27 11:19:09.61,167,-194,-2083,-62,71,62,-214,-1222,1008,718
,87,2023-10-27 11:19:09.62,171,-198,-2027,-73,62,64,-179,-1148,969,663
,88,2023-10-27 11:19:09.63,170,-197,-2022,-64,69,59,-184,-1224,1040,704
,89,2023-10-27 11:19:09.64,172,-218,-2070,-62,63,58,-158,-1149,991,653
,90,2023-10-27 11:19:09.65,174,-213,-2048,-40,34,61,-192,-1217,1025,704
,91,2023-10-27 11:19:09.66,175,-189,-2035,-9,33,59,-183,-1144,961,663
,92,2023-10-27 11:19:09.67,165,-200,-2044,-15,48,47,-203,-1213,1010,708
,93,2023-10-27 11:19:09.68,156,-191,-2066,-38,32,48,-192,-1146,954,669
,94,2023-10-27 11:19:09.69,156,-161,-2085,-46,11,44,-201,-1207,1006,704
,95,2023-10-27 11:19:09.70,161,-160,-2083,-40,5,36,-200,-1138,938,669
,96,2023-10-27 11:19:09.71,158,-168,-2062,-43,-24,25,-206,-1204,998,705
,97,2023-10-27 11:19:09.72,156,-174,-2051,-52,-34,18,-207,-1146,939,676
,98,2023-10-27 11:19:09.73,146,-179,-2062,-56,-38,10,-202,-1212,1010,707
,99,2023-10-27 11:19:09.74,158,-189,-2064,-51,-48,2,-204,-1154,950,679
,100,2023-10-27 11:19:09.75,148,-184,-2055,-44,-56,-2,-192,-1210,1018,701
,101,2023-10-27 11:19:09.76,155,-191,-2046,-48,-59,-8,-209,-1148,939,678
,102,2023-10-27 11:19:09.77,154,-202,-2042,-48,-56,-10,-204,-1164,960,684
,103,2023-10-27 11:19:09.78,163,-196,-2047,-45,-49,-13,-236,-1093,857,664
,104,2023-10-27 11:19:09.79,170,-211,-2051,-41,-46,-13,-207,-1062,855,634
,105,2023-10-27 11:19:09.80,164,-215,-2052,-38,-38,-16,-236,-1005,769,620
