// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-20 13:29:07.54,-68,-138,-2064,52,17,36,1075,-1076,2151,0
,2,2023-10-20 13:29:07.55,-65,-128,-2078,36,19,41,990,-1055,2045,32
,3,2023-10-20 13:29:07.56,-71,-136,-2069,19,11,43,1077,-1084,2161,3
,4,2023-10-20 13:29:07.57,-69,-131,-2059,6,5,51,987,-1051,2038,32
,5,2023-10-20 13:29:07.58,-68,-134,-2059,-1,5,54,1094,-1076,2170,-9
,6,2023-10-20 13:29:07.59,-78,-111,-2041,-3,6,45,975,-1035,2010,30
,7,2023-10-20 13:29:07.60,-85,-96,-2035,-12,11,32,1036,-1060,2096,12
,8,2023-10-20 13:29:07.61,-69,-69,-2035,-30,14,13,941,-1017,1958,38
,9,2023-10-20 13:29:07.62,-43,-72,-2028,-59,30,-5,1072,-1062,2134,-5
,10,2023-10-20 13:29:07.63,-52,-106,-2018,-59,44,-15,973,-1024,1997,25
,11,2023-10-20 13:29:07.64,-43,-106,-2025,-45,53,-21,1098,-1087,2185,-5
,12,2023-10-20 13:29:07.65,-36,-117,-2035,-37,74,-23,964,-1042,2006,39
,13,2023-10-20 13:29:07.66,-65,-107,-2062,-26,70,-18,1075,-1086,2161,5
,14,2023-10-20 13:29:07.67,-57,-92,-2067,-18,52,-13,943,-1024,1967,40
,15,2023-10-20 13:29:07.68,-47,-95,-2065,-26,44,-17,1074,-1086,2160,6
,16,2023-10-20 13:29:07.69,-42,-103,-2057,-19,32,-17,952,-1033,1985,40
,17,2023-10-20 13:29:07.70,-45,-98,-2056,4,17,-13,1108,-1098,2206,-5
,18,2023-10-20 13:29:07.71,-31,-91,-2047,15,14,-11,938,-1032,1970,47
,19,2023-10-20 13:29:07.72,-21,-84,-2060,11,22,-12,1053,-1083,2136,15
,20,2023-10-20 13:29:07.73,-38,-77,-2060,17,20,-16,915,-1010,1925,47
,21,2023-10-20 13:29:07.74,-20,-88,-2056,24,27,-16,1088,-1083,2171,-2
,22,2023-10-20 13:29:07.75,-29,-96,-2057,21,37,-14,935,-1018,1953,41
,23,2023-10-20 13:29:07.76,-22,-106,-2068,25,38,-12,1088,-1094,2182,3
,24,2023-10-20 13:29:07.77,-25,-119,-2070,29,37,-2,902,-1019,1921,58
,25,2023-10-20 13:29:07.78,-37,-121,-2071,35,34,1,1042,-1094,2136,26
,26,2023-10-20 13:29:07.79,-19,-121,-2066,35,29,10,901,-1016,1917,57
,27,2023-10-20 13:29:07.80,-26,-119,-2060,34,24,17,1103,-1101,2204,-1
,28,2023-10-20 13:29:07.81,-31,-121,-2053,33,25,26,919,-1019,1938,50
,29,2023-10-20 13:29:07.82,-21,-114,-2063,32,22,33,1086,-1100,2186,7
,30,2023-10-20 13:29:07.83,-29,-118,-2049,18,25,38,923,-1012,1935,44
,31,2023-10-20 13:29:07.84,-27,-114,-2046,15,24,40,1124,-1110,2234,-7
,32,2023-10-20 13:29:07.85,-10,-129,-2055,11,27,41,930,-1020,1950,45
,33,2023-10-20 13:29:07.86,-13,-105,-2029,6,28,47,1119,-1106,2225,-6
,34,2023-10-20 13:29:07.87,-43,-145,-2043,1,53,68,923,-1007,1930,42
,35,2023-10-20 13:29:07.88,-45,-93,-2067,23,51,69,1132,-1107,2239,-12
,36,2023-10-20 13:29:07.89,-30,-81,-2063,59,15,35,912,-1013,1925,50
,37,2023-10-20 13:29:07.90,-36,-82,-2046,80,-3,5,1107,-1109,2216,1
,38,2023-10-20 13:29:07.91,-25,-74,-2051,51,-1,-9,914,-1008,1922,47
,39,2023-10-20 13:29:07.92,-23,-98,-2054,8,-6,-16,1152,-1086,2238,-33
,40,2023-10-20 13:29:07.93,-30,-130,-2058,-16,-11,-16,876,-981,1857,52
,41,2023-10-20 13:29:07.94,-26,-129,-2043,-20,-24,0,1005,-1081,2086,38
,42,2023-10-20 13:29:07.95,-29,-143,-2049,-27,-11,1,769,-987,1756,109
,43,2023-10-20 13:29:07.96,-29,-137,-2052,-19,0,2,931,-1088,2019,78
,44,2023-10-20 13:29:07.97,-31,-145,-2046,-14,3,11,726,-988,1714,131
,45,2023-10-20 13:29:07.98,-34,-132,-2048,-15,12,16,878,-1091,1969,106
,46,2023-10-20 13:29:07.99,-35,-112,-2060,-18,25,19,677,-992,1669,157
,47,2023-10-20 13:29:08.00,-39,-109,-2067,-17,18,19,837,-1095,1932,129
,48,2023-10-20 13:29:08.01,-40,-91,-2060,-19,9,13,632,-993,1625,180
,49,2023-10-20 13:29:08.02,-45,-84,-2072,-30,7,10,773,-1103,1876,165
,50,2023-10-20 13:29:08.03,-24,-96,-2059,-34,-6,2,572,-998,1570,213
,51,2023-10-20 13:29:08.04,-20,-94,-2047,-24,-3,-10,738,-1103,1841,182
,52,2023-10-20 13:29:08.05,-37,-96,-2044,-16,7,-17,546,-995,1541,224
,53,2023-10-20 13:29:08.06,-34,-103,-2055,-9,1,-20,725,-1105,1830,190
,54,2023-10-20 13:29:08.07,-25,-109,-2039,-14,-5,-21,519,-996,1515,238
,55,2023-10-20 13:29:08.08,7,-150,-2042,-38,15,-10,665,-1103,1768,219
,56,2023-10-20 13:29:08.09,-16,-179,-2057,-43,41,20,492,-993,1485,250
,57,2023-10-20 13:29:08.10,-27,-130,-2049,-3,41,40,699,-1110,1809,205
,58,2023-10-20 13:29:08.11,-44,-89,-2070,21,35,52,518,-1000,1518,241
,59,2023-10-20 13:29:08.12,-38,-72,-2068,29,12,51,729,-1110,1839,190
,60,2023-10-20 13:29:08.13,-20,-70,-2070,30,9,45,510,-992,1502,241
,61,2023-10-20 13:29:08.14,-21,-69,-2060,40,2,30,664,-1108,1772,222
,62,2023-10-20 13:29:08.15,-22,-74,-2055,47,11,13,466,-998,1464,266
,63,2023-10-20 13:29:08.16,-15,-84,-2045,57,3,7,678,-1117,1795,219
,64,2023-10-20 13:29:08.17,-23,-101,-2045,57,-1,12,502,-1004,1506,251
,65,2023-10-20 13:29:08.18,-27,-108,-2061,63,-2,13,736,-1121,1857,192
,66,2023-10-20 13:29:08.19,-37,-116,-2062,61,-10,18,530,-1003,1533,236
,67,2023-10-20 13:29:08.20,-43,-96,-2059,53,-23,21,737,-1119,1856,191
,68,2023-10-20 13:29:08.21,-23,-110,-2050,51,-34,21,510,-1002,1512,246
,69,2023-10-20 13:29:08.22,-20,-113,-2038,42,-34,19,738,-1122,1860,192
,70,2023-10-20 13:29:08.23,-18,-104,-2028,46,-27,15,526,-1004,1530,239
,71,2023-10-20 13:29:08.24,-14,-93,-2038,49,-19,8,744,-1121,1865,188
,72,2023-10-20 13:29:08.25,-25,-100,-2043,36,-12,-1,502,-1005,1507,251
,73,2023-10-20 13:29:08.26,-32,-104,-2038,16,2,-11,702,-1121,1823,209
,74,2023-10-20 13:29:08.27,-29,-116,-2052,8,4,-15,490,-1001,1491,255
,75,2023-10-20 13:29:08.28,-22,-115,-2039,7,0,-19,724,-1118,1842,197
,76,2023-10-20 13:29:08.29,-29,-114,-2034,3,9,-22,502,-998,1500,248
,77,2023-10-20 13:29:08.30,-12,-115,-2032,-9,22,-21,722,-1117,1839,197
,78,2023-10-20 13:29:08.31,-15,-114,-2036,-16,38,-22,489,-998,1487,254
,79,2023-10-20 13:29:08.32,-8,-123,-2055,-22,46,-18,716,-1114,1830,199
,80,2023-10-20 13:29:08.33,-17,-119,-2072,-25,46,-14,486,-997,1483,255
,81,2023-10-20 13:29:08.34,-7,-118,-2069,-33,42,-8,720,-1117,1837,198
,82,2023-10-20 13:29:08.35,-18,-111,-2073,-37,31,0,471,-1001,1472,265
,83,2023-10-20 13:29:08.36,-22,-85,-2051,-42,28,5,684,-1118,1802,217
,84,2023-10-20 13:29:08.37,-26,-126,-2068,-48,15,6,477,-1001,1478,262
,85,2023-10-20 13:29:08.38,-17,-113,-2060,-48,3,11,726,-1116,1842,195
,86,2023-10-20 13:29:08.39,-19,-113,-2077,-41,-9,17,525,-1002,1527,238
,87,2023-10-20 13:29:08.40,-20,-107,-2071,-29,-40,19,780,-1117,1897,168
,88,2023-10-20 13:29:08.41,-20,-91,-2082,-18,-53,16,529,-1003,1532,237
,89,2023-10-20 13:29:08.42,-31,-82,-2082,-9,-68,8,744,-1115,1859,185
,90,2023-10-20 13:29:08.43,-29,-78,-2077,-9,-77,-4,483,-1012,1495,264
,91,2023-10-20 13:29:08.44,-31,-56,-2058,-15,-70,-20,702,-1136,1838,217
,92,2023-10-20 13:29:08.45,-24,-92,-2063,-23,-64,-32,580,-1028,1608,224
,93,2023-10-20 13:29:08.46,-45,-90,-2053,-16,-80,-35,904,-1136,2040,116
,94,2023-10-20 13:29:08.47,-60,-89,-2035,-16,-80,-41,804,-1019,1823,107
,95,2023-10-20 13:29:08.48,-49,-65,-2053,-14,-64,-55,1057,-1122,2179,32
,96,2023-10-20 13:29:08.49,-36,-81,-2051,4,-75,-76,910,-1011,1921,50
,97,2023-10-20 13:29:08.50,-66,-125,-2001,30,-53,-83,1123,-1118,2241,-2
,98,2023-10-20 13:29:08.51,-49,-119,-2026,36,-38,-83,920,-1013,1933,46
,99,2023-10-20 13:29:08.52,-45,-148,-2037,2,-42,-76,1107,-1117,2224,5
,100,2023-10-20 13:29:08.53,-71,-130,-2057,4,-46,-58,955,-1012,1967,28
,101,2023-10-20 13:29:08.54,-76,-116,-2060,-11,-35,-57,1144,-1115,2259,-14
,102,2023-10-20 13:29:08.55,-87,-143,-2053,-26,-41,-52,979,-1013,1992,17
,103,2023-10-20 13:29:08.56,-56,-139,-2030,-22,-59,-38,1138,-1109,2247,-14
,104,2023-10-20 13:29:08.57,-55,-139,-2023,-9,-50,-26,939,-1007,1946,34
,105,2023-10-20 13:29:08.58,-46,-139,-1997,-11,-30,-13,1095,-1104,2199,4
,106,2023-10-20 13:29:08.59,-58,-135,-2021,-14,-12,-7,943,-1009,1952,33
,107,2023-10-20 13:29:08.60,-68,-140,-2025,-13,-6,6,1107,-1098,2205,-4
,108,2023-10-20 13:29:08.61,-69,-116,-2050,-17,0,15,939,-999,1938,30
,109,2023-10-20 13:29:08.62,-90,-141,-2054,-26,-7,26,1089,-1081,2170,-4
,110,2023-10-20 13:29:08.63,-83,-124,-2069,-37,-1,37,951,-996,1947,22
,111,2023-10-20 13:29:08.64,-87,-122,-2071,-41,-12,46,1098,-1083,2181,-7
,112,2023-10-20 13:29:08.65,-89,-123,-2057,-40,-21,52,914,-993,1907,39
,113,2023-10-20 13:29:08.66,-85,-106,-2060,-45,-19,60,1049,-1073,2122,12
,114,2023-10-20 13:29:08.67,-93,-85,-2065,-45,-22,53,904,-992,1896,44
,115,2023-10-20 13:29:08.68,-83,-84,-2064,-45,-22,43,1056,-1070,2126,7
,116,2023-10-20 13:29:08.69,-51,-106,-2038,-55,-27,42,907,-999,1906,46
,117,2023-10-20 13:29:08.70,-59,-127,-2046,-71,1,49,1043,-1073,2116,15
,118,2023-10-20 13:29:08.71,-49,-120,-2022,-72,25,56,880,-1008,1888,64
,119,2023-10-20 13:29:08.72,-66,-92,-2055,-63,41,64,996,-1080,2076,42
,120,2023-10-20 13:29:08.73,-83,-67,-2072,-45,36,67,867,-1017,1884,75
,121,2023-10-20 13:29:08.74,-93,-40,-2083,-36,24,64,993,-1087,2080,47
,122,2023-10-20 13:29:08.75,-87,-30,-2090,-32,9,49,858,-1016,1874,79
,123,2023-10-20 13:29:08.76,-77,-23,-2080,-38,-6,31,986,-1069,2055,41
,124,2023-10-20 13:29:08.77,-77,-21,-2075,-35,-6,18,856,-1010,1866,77
,125,2023-10-20 13:29:08.78,-55,-39,-2056,-21,-12,-2,970,-1068,2038,49
,126,2023-10-20 13:29:08.79,-60,-48,-2032,-17,-9,-14,816,-1017,1833,100
,127,2023-10-20 13:29:08.80,-41,-68,-2031,-10,1,-18,938,-1067,2005,64
,128,2023-10-20 13:29:08.81,-53,-68,-2056,5,15,-13,851,-1016,1867,82
,129,2023-10-20 13:29:08.82,-71,-51,-2070,19,6,-13,974,-1060,2034,43
,130,2023-10-20 13:29:08.83,-61,-59,-2062,23,-1,-11,907,-1021,1928,57
,131,2023-10-20 13:29:08.84,-76,-48,-2069,35,-14,-9,1000,-1067,2067,33
,132,2023-10-20 13:29:08.85,-68,-66,-2033,38,-24,1,923,-1043,1966,60
,133,2023-10-20 13:29:08.86,-57,-79,-2040,33,-22,3,1000,-1085,2085,42
,134,2023-10-20 13:29:08.87,-57,-63,-2039,30,-13,7,998,-1048,2046,25
,135,2023-10-20 13:29:08.88,-65,-62,-2057,45,-17,13,1046,-1071,2117,12
,136,2023-10-20 13:29:08.89,-60,-86,-2050,60,-31,23,1027,-1032,2059,2
,137,2023-10-20 13:29:08.90,-81,-93,-2041,50,-21,28,1046,-1053,2099,3
,138,2023-10-20 13:29:08.91,-81,-79,-2040,43,-23,28,1050,-1029,2079,-10
,139,2023-10-20 13:29:08.92,-67,-83,-2039,46,-11,33,1054,-1053,2107,0
,140,2023-10-20 13:29:08.93,-75,-72,-2042,41,-5,33,1035,-1040,2075,2
,141,2023-10-20 13:29:08.94,-79,-78,-2046,33,4,38,1031,-1057,2088,13
,142,2023-10-20 13:29:08.95,-87,-82,-2044,22,8,45,1045,-1043,2088,-1
,143,2023-10-20 13:29:08.96,-69,-94,-2047,16,16,42,1037,-1052,2089,7
,144,2023-10-20 13:29:08.97,-85,-88,-2045,15,24,39,1047,-1047,2094,0
,145,2023-10-20 13:29:08.98,-80,-81,-2049,14,25,38,1019,-1054,2073,17
,146,2023-10-20 13:29:08.99,-71,-90,-2042,8,35,35,1042,-1047,2089,2
,147,2023-10-20 13:29:09.00,-78,-91,-2032,2,43,31,1014,-1047,2061,16
,148,2023-10-20 13:29:09.01,-75,-98,-2046,4,47,28,1052,-1052,2104,0
,149,2023-10-20 13:29:09.02,-64,-84,-2060,10,50,24,1008,-1050,2058,21
,150,2023-10-20 13:29:09.03,-57,-63,-2045,11,53,16,1033,-1060,2093,13
,151,2023-10-20 13:29:09.04,-55,-76,-2050,7,65,9,990,-1049,2039,29
,152,2023-10-20 13:29:09.05,-56,-73,-2060,2,76,3,1063,-1050,2113,-6
,153,2023-10-20 13:29:09.06,-44,-77,-2066,1,79,-2,990,-1030,2020,20
,154,2023-10-20 13:29:09.07,-63,-78,-2062,-2,73,-4,1010,-1051,2061,20
,155,2023-10-20 13:29:09.08,-46,-75,-2064,-3,69,-3,964,-1039,2003,37
,156,2023-10-20 13:29:09.09,-61,-73,-2051,-15,74,-4,1073,-1063,2136,-5
,157,2023-10-20 13:29:09.10,-68,-64,-2059,-7,77,-2,992,-1039,2031,23
,158,2023-10-20 13:29:09.11,1,-56,-2031,9,65,-11,1011,-1061,2072,25
,159,2023-10-20 13:29:09.12,-49,-73,-1986,43,90,-25,923,-1034,1957,55
,160,2023-10-20 13:29:09.13,-18,-74,-2026,39,92,-26,986,-1062,2048,38
,161,2023-10-20 13:29:09.14,-28,-126,-2043,35,83,-14,920,-1028,1948,54
,162,2023-10-20 13:29:09.15,-49,-117,-2092,40,84,6,984,-1060,2044,38
,163,2023-10-20 13:29:09.16,-30,-93,-2092,19,48,17,910,-1025,1935,57
,164,2023-10-20 13:29:09.17,-41,-87,-2098,-12,26,7,969,-1061,2030,46
,165,2023-10-20 13:29:09.18,-13,-80,-2052,-21,20,11,887,-1022,1909,67
,166,2023-10-20 13:29:09.19,-12,-94,-2036,-13,40,6,933,-1063,1996,65
