// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 11:59:50.66,54,-316,-2029,-6,-3,10,-316,-690,374,503
,2,2023-10-27 11:59:50.67,56,-316,-2023,-6,1,8,-310,-708,398,509
,3,2023-10-27 11:59:50.68,49,-311,-2031,-3,-3,6,-321,-691,370,506
,4,2023-10-27 11:59:50.69,56,-323,-2032,3,5,8,-308,-704,396,506
,5,2023-10-27 11:59:50.70,48,-318,-2033,5,2,7,-319,-688,369,503
,6,2023-10-27 11:59:50.71,57,-310,-2041,7,13,8,-305,-704,399,504
,7,2023-10-27 11:59:50.72,63,-313,-2032,-1,29,6,-325,-697,372,511
,8,2023-10-27 11:59:50.73,56,-321,-2030,-6,37,8,-303,-700,397,501
,9,2023-10-27 11:59:50.74,69,-328,-2034,3,29,8,-327,-696,369,511
,10,2023-10-27 11:59:50.75,57,-309,-2036,10,29,7,-308,-697,389,502
,11,2023-10-27 11:59:50.76,77,-315,-2043,7,33,5,-332,-700,368,516
,12,2023-10-27 11:59:50.77,60,-320,-2033,-1,39,5,-307,-694,387,500
,13,2023-10-27 11:59:50.78,71,-320,-2040,2,42,1,-334,-704,370,519
,14,2023-10-27 11:59:50.79,82,-311,-2041,3,39,-2,-315,-700,385,507
,15,2023-10-27 11:59:50.80,67,-312,-2033,-2,44,-2,-336,-708,372,522
,16,2023-10-27 11:59:50.81,71,-320,-2031,0,42,-6,-304,-687,383,495
,17,2023-10-27 11:59:50.82,64,-314,-2035,2,33,-6,-336,-709,373,522
,18,2023-10-27 11:59:50.83,78,-315,-2037,4,30,-7,-301,-685,384,493
,19,2023-10-27 11:59:50.84,77,-329,-2036,7,25,-4,-344,-713,369,528
,20,2023-10-27 11:59:50.85,80,-324,-2024,9,19,-2,-303,-682,379,492
