// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-27 12:26:15.36,118,-44,-2046,73,-37,54,183,326,-143,-254
,2,2023-10-27 12:26:15.37,132,-51,-2052,82,-31,52,430,508,-78,-469
,3,2023-10-27 12:26:15.38,117,-65,-2052,88,-28,46,230,339,-109,-284
,4,2023-10-27 12:26:15.39,124,-66,-2046,95,-27,49,483,541,-58,-512
,5,2023-10-27 12:26:15.40,122,-68,-2047,103,-27,45,264,360,-96,-312
,6,2023-10-27 12:26:15.41,113,-73,-2049,108,-26,47,506,560,-54,-533
,7,2023-10-27 12:26:15.42,116,-78,-2047,113,-25,48,267,369,-102,-318
,8,2023-10-27 12:26:15.43,114,-84,-2048,116,-29,45,509,566,-57,-537
,9,2023-10-27 12:26:15.44,124,-90,-2047,118,-30,50,265,360,-95,-312
,10,2023-10-27 12:26:15.45,119,-91,-2047,118,-32,50,521,574,-53,-547
,11,2023-10-27 12:26:15.46,123,-99,-2048,119,-29,49,272,365,-93,-318
,12,2023-10-27 12:26:15.47,126,-108,-2058,120,-39,53,526,582,-56,-554
,13,2023-10-27 12:26:15.48,108,-115,-2055,126,-40,63,276,366,-90,-321
,14,2023-10-27 12:26:15.49,109,-123,-2048,127,-43,64,535,591,-56,-563
,15,2023-10-27 12:26:15.50,111,-121,-2045,130,-41,75,269,367,-98,-318
,16,2023-10-27 12:26:15.51,106,-126,-2047,127,-35,84,531,590,-59,-560
,17,2023-10-27 12:26:15.52,109,-131,-2042,120,-30,91,264,360,-96,-312
,18,2023-10-27 12:26:15.53,110,-127,-2037,115,-21,98,544,602,-58,-573
,19,2023-10-27 12:26:15.54,108,-124,-2041,109,-21,103,322,411,-89,-366
,20,2023-10-27 12:26:15.55,109,-116,-2036,103,-7,112,554,639,-85,-596
,21,2023-10-27 12:26:15.56,115,-120,-2038,100,3,116,234,373,-139,-303
,22,2023-10-27 12:26:15.57,113,-114,-2029,93,5,114,461,586,-125,-523
,23,2023-10-27 12:26:15.58,116,-110,-2031,81,18,121,181,332,-151,-256
,24,2023-10-27 12:26:15.59,123,-109,-2044,67,16,120,443,572,-129,-507
,25,2023-10-27 12:26:15.60,129,-99,-2045,51,33,130,171,331,-160,-251
,26,2023-10-27 12:26:15.61,130,-89,-2054,36,29,125,420,562,-142,-491
,27,2023-10-27 12:26:15.62,131,-101,-2054,23,40,132,154,320,-166,-237
,28,2023-10-27 12:26:15.63,138,-105,-2067,8,34,136,418,566,-148,-492
,29,2023-10-27 12:26:15.64,154,-99,-2038,2,37,144,149,319,-170,-234
,30,2023-10-27 12:26:15.65,157,-104,-2044,-6,37,150,404,563,-159,-483
,31,2023-10-27 12:26:15.66,140,-105,-2044,-8,45,160,132,308,-176,-220
,32,2023-10-27 12:26:15.67,138,-113,-2041,-6,39,164,397,561,-164,-479
,33,2023-10-27 12:26:15.68,149,-120,-2062,0,39,177,129,303,-174,-216
,34,2023-10-27 12:26:15.69,148,-113,-2063,6,33,182,390,559,-169,-474
,35,2023-10-27 12:26:15.70,129,-112,-2084,11,27,195,130,303,-173,-216
,36,2023-10-27 12:26:15.71,140,-97,-2096,7,21,199,391,564,-173,-477
,37,2023-10-27 12:26:15.72,116,-82,-2092,-2,14,206,128,305,-177,-216
,38,2023-10-27 12:26:15.73,121,-79,-2073,-5,7,214,381,557,-176,-469
,39,2023-10-27 12:26:15.74,129,-84,-2031,-1,-16,216,124,298,-174,-211
,40,2023-10-27 12:26:15.75,131,-80,-1996,3,-15,220,376,557,-181,-466
,41,2023-10-27 12:26:15.76,150,-86,-1984,-2,-7,221,117,302,-185,-209
,42,2023-10-27 12:26:15.77,151,-83,-1999,-16,11,218,363,555,-192,-459
,43,2023-10-27 12:26:15.78,149,-82,-2045,-30,32,221,113,296,-183,-204
,44,2023-10-27 12:26:15.79,144,-81,-2067,-45,18,223,352,550,-198,-451
,45,2023-10-27 12:26:15.80,132,-60,-2091,-63,14,233,100,291,-191,-195
,46,2023-10-27 12:26:15.81,126,-59,-2090,-83,13,238,343,546,-203,-444
,47,2023-10-27 12:26:15.82,137,-66,-2070,-91,-7,246,113,294,-181,-203
