// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-20 13:09:51.47,234,-208,-1995,-77,-11,53,963,-952,1915,-5
,2,2023-10-20 13:09:51.48,244,-223,-2046,-76,9,36,1008,-995,2003,-6
,3,2023-10-20 13:09:51.49,235,-236,-2078,-56,1,31,940,-933,1873,-3
,4,2023-10-20 13:09:51.50,245,-265,-2072,-30,-12,27,1001,-981,1982,-10
,5,2023-10-20 13:09:51.51,245,-262,-2068,-9,-16,32,979,-935,1914,-22
,6,2023-10-20 13:09:51.52,258,-261,-2062,11,-23,37,1033,-983,2016,-25
,7,2023-10-20 13:09:51.53,271,-253,-2008,36,-31,39,960,-938,1898,-11
,8,2023-10-20 13:09:51.54,285,-252,-1977,63,-14,30,978,-974,1952,-2
,9,2023-10-20 13:09:51.55,278,-255,-1991,73,19,16,935,-926,1861,-4
,10,2023-10-20 13:09:51.56,271,-275,-2034,83,36,6,972,-959,1931,-6
,11,2023-10-20 13:09:51.57,257,-298,-2068,93,28,6,954,-927,1881,-13
,12,2023-10-20 13:09:51.58,256,-327,-2077,97,2,7,990,-965,1955,-12
,13,2023-10-20 13:09:51.59,257,-340,-2060,98,-25,14,1007,-966,1973,-20
,14,2023-10-20 13:09:51.60,252,-324,-2042,98,-45,19,1036,-1018,2054,-9
,15,2023-10-20 13:09:51.61,244,-311,-2030,87,-61,24,978,-984,1962,3
,16,2023-10-20 13:09:51.62,257,-311,-2028,65,-57,24,970,-980,1950,5
,17,2023-10-20 13:09:51.63,263,-324,-2024,50,-58,25,965,-946,1911,-9
,18,2023-10-20 13:09:51.64,253,-335,-2018,36,-41,26,977,-960,1937,-8
,19,2023-10-20 13:09:51.65,235,-358,-2033,28,-31,31,984,-942,1926,-21
,20,2023-10-20 13:09:51.66,238,-361,-2053,37,-51,38,980,-957,1937,-11
,21,2023-10-20 13:09:51.67,235,-392,-2024,49,-59,58,980,-949,1929,-15
,22,2023-10-20 13:09:51.68,222,-391,-2016,61,-43,80,965,-961,1926,-2
,23,2023-10-20 13:09:51.69,200,-353,-2060,60,-54,88,992,-964,1956,-14
,24,2023-10-20 13:09:51.70,188,-338,-2067,56,-70,102,967,-974,1941,3
,25,2023-10-20 13:09:51.71,165,-350,-2067,46,-89,118,986,-966,1952,-10
,26,2023-10-20 13:09:51.72,159,-340,-2073,45,-112,124,955,-961,1916,3
,27,2023-10-20 13:09:51.73,147,-316,-2056,34,-139,132,996,-949,1945,-23
,28,2023-10-20 13:09:51.74,182,-336,-2007,15,-113,140,963,-946,1909,-8
,29,2023-10-20 13:09:51.75,182,-342,-1970,13,-76,138,997,-942,1939,-27
,30,2023-10-20 13:09:51.76,174,-359,-1974,14,-24,140,956,-946,1902,-5
,31,2023-10-20 13:09:51.77,173,-363,-2001,21,1,140,1005,-969,1974,-18
,32,2023-10-20 13:09:51.78,164,-364,-2001,36,12,153,969,-980,1949,5
,33,2023-10-20 13:09:51.79,158,-383,-2015,57,14,160,999,-978,1977,-10
,34,2023-10-20 13:09:51.80,151,-384,-2025,71,2,170,926,-943,1869,8
,35,2023-10-20 13:09:51.81,167,-366,-2054,79,-22,176,999,-968,1967,-15
,36,2023-10-20 13:09:51.82,156,-367,-2012,83,-28,183,938,-954,1892,8
,37,2023-10-20 13:09:51.83,159,-354,-1970,83,-24,181,1030,-990,2020,-20
,38,2023-10-20 13:09:51.84,172,-361,-2008,75,-23,180,945,-960,1905,7
,39,2023-10-20 13:09:51.85,196,-371,-1996,55,-14,191,1032,-985,2017,-23
,40,2023-10-20 13:09:51.86,195,-375,-1991,49,-1,204,936,-950,1886,7
,41,2023-10-20 13:09:51.87,213,-382,-2037,45,12,211,1023,-976,1999,-23
,42,2023-10-20 13:09:51.88,188,-372,-2051,39,17,223,922,-939,1861,8
,43,2023-10-20 13:09:51.89,166,-378,-2079,44,6,234,1037,-981,2018,-28
,44,2023-10-20 13:09:51.90,157,-373,-2097,44,-11,242,929,-943,1872,7
,45,2023-10-20 13:09:51.91,176,-341,-2090,26,-24,248,1043,-990,2033,-26
,46,2023-10-20 13:09:51.92,158,-340,-2036,10,-17,245,920,-944,1864,12
,47,2023-10-20 13:09:51.93,181,-319,-1988,-1,-8,233,1027,-983,2010,-22
,48,2023-10-20 13:09:51.94,194,-295,-1982,-7,15,210,902,-931,1833,14
,49,2023-10-20 13:09:51.95,190,-270,-1971,-16,41,180,1062,-977,2039,-42
,50,2023-10-20 13:09:51.96,188,-286,-2030,-29,70,154,938,-933,1871,-2
,51,2023-10-20 13:09:51.97,180,-300,-2057,-37,65,140,1081,-1004,2085,-38
,52,2023-10-20 13:09:51.98,186,-320,-2045,-34,42,139,948,-966,1914,9
,53,2023-10-20 13:09:51.99,190,-330,-2056,-25,32,141,1101,-1033,2134,-34
,54,2023-10-20 13:09:52.00,190,-317,-2059,-16,9,146,1077,-1069,2146,-4
